htid,author,title,year,authgender,female_category,england_as_such_intensity
mdp.39015002216672,"Musil, Robert,",Young Törless; | $c: translated from the German by Eithne Wilkins and Ernst Kaiser.,1955,m,high_male,4.105933073290905
mdp.39015001044778,"Mosley, Nicholas,",Imago bird : | a novel / | $c: by Nicholas Mosley.,1980,m,high_female,4.105427374989737
mdp.39015034275498,"Bissundyal, Churaumanie.",Whom the kiskadees call / | $c: Churaumanie Bissundyal.,1994,u,high_male,4.104079454978248
uiuo.ark:/13960/t89g61j5w,Author of No appeal.,Gerald Hastings of Barton,1870,u,,4.103995239365522
uc1.32106016264894,"Bennett, Alan,",The complete talking heads / | $c: Alan Bennett,2001,m,mixed,4.103742613263296
uc1.b3548451,"Barrie, J. M. (James Matthew),","J.M. Barrie's Peter Pan & Wendy, | $c: retold by May Byron for little people ; with the approval of the author ; pictures by Mabel Lucie Attwell.",1925,m,mixed,4.103742613263296
mdp.39015030738119,"Firbank, Ronald,","The artificial princess, | $c: by Ronald Firbank, with an introduction by Sir Coleridge Kennard.",1934,m,high_female,4.102227509537679
uiuo.ark:/13960/t14m9rx42,"Duchess,",A point of conscience,1896,f,mixed,4.101554489151388
uc1.32106009525731,"Trocchi, Alexander,",Cain's book / | $c: Alexander Trocchi.,1966,m,,4.1007135241532024
uc1.b4398072,"Gorky, Maksim,",Twenty-six men and a girl,1902,m,,4.1000410004100045
uc1.b4948968,"Nonweiler, Barry",That other realm of freedom / | $c: Barry Nonweiler,1983,m,high_male,4.099104638429692
uiuo.ark:/13960/t2697rx7j,"Scott, Walter,",Chronicles of the Canongate,1828,m,,4.098864614501783
dul1.ark:/13960/t82j77v6s,"Oliphant,",Salem Chapel,1863,f,,4.0984446402590216
mdp.39015059376122,,The New British novelist;,1830,u,high_male,4.097073323955588
uc1.b3327449,"White, William Hale,",The revolution in Tanner's lane,1887,m,,4.096933445316181
uiuo.ark:/13960/t2m61wd3z,Author of No appeal.,Gerald Hastings of Barton,1870,u,,4.09408200446255
uc1.b3546645,"Loudon,",First love,1830,f,,4.0935512921976915
mdp.39015024648571,"(Edward Harold) Visiak, E. H.","Medusa, | a story of mystery, and exstasy, & strange horror.",1963,u,high_male,4.093272025214556
mdp.39015006575974,"Defoe, Daniel,",The novels and miscellaneous works,1840,m,high_male,4.092043703026748
uc1.$b795568,"Ross, Victor.",Tightrope.,1952,m,high_male,4.091694882312626
mdp.39015080878013,"Gray, Simon M.",Blinkered : | a novel / | $c: by Simon M. Gray.,2008,m,mixed,4.091318222731364
njp.32101068168101,"Crommelin, May.","Joy, or, The light of Cold-home Ford",1884,f,high_female,4.090397791185193
uc2.ark:/13960/t6930px2m,"Harte, Bret,","The hoodlum band, and other stories",1878,m,,4.088641753209584
mdp.39015077127663,"Johnston, Paul,",The soul collector / | $c: Paul Johnston.,2008,m,mixed,4.088363155671241
uiuo.ark:/13960/t8gf1cm95,"Oliphant,",Carità,1877,f,,4.088251727286355
inu.32000006208294,"Bowen, Elizabeth,","The death of the heart, | $c: by Elizabeth Bowen.",1938,f,high_female,4.08613574142933
mdp.39015059417876,"Strong, L. A. G. (Leonard Alfred George),","Darling Tom, | and other stories.",1952,m,mixed,4.085593177059394
uiuo.ark:/13960/t6tx3q616,"Glemham, Henry.",George Hern,1878,m,mixed,4.08521763996977
uiuo.ark:/13960/t7pn9c79x,"Barrett, Frank,",Lieutenant Barnabas,1881,m,mixed,4.084883887175507
uc1.$b104867,"Rees, Goronwy,","Where no wounds were, | a novel.",1950,u,high_male,4.084166503300007
mdp.39015018939903,,In and out of time : | lesbian feminist fiction / | $c: edited by Patricia Duncker.,1990,u,high_female,4.08313257931485
uc1.b3910537,"Southon, Arthur E. (Arthur Eustace),",Drums of fate : | a romance of West Africa / | $c: Arthur E. Southon.,1928,m,,4.082507476091815
uiuo.ark:/13960/t6834g01r,"Smart, Hawley,",Without love or licence,1890,m,mixed,4.08146606260969
mdp.39015030854478,"Barker, George,",Alanna autumnal.,1933,m,,4.0806333142903775
hvd.32044012940235,"Holcraft, Richard,",Tales of humour and romance,1829,m,mixed,4.080522306855277
mdp.39015040037064,,The star : | & other Korean short stories / | $c: translated from the Korean by Agnita Tennant,1996,u,high_male,4.079578987448495
mdp.39015048475779,"Booth, Mary Warburton,","""These things I have seen"", | $c: by Mary Warburton Booth ...",1939,f,high_male,4.07955124936257
mdp.39015012064146,"Aldiss, Brian Wilson,",The eighty-minute hour; | a space opera / | $c: Brian W. Aldiss.,1975,m,,4.077596664525928
nyp.33433074853080,"Heddle, Ethel F.",A mystery of St. Rule's,1902,f,,4.077139478941574
uc1.b3488794,"Johnson, Pamela Hansford,",The good husband / | $c: Pamela Hansford Johnson.,1978,f,high_female,4.076017730677129
uc1.$b302195,"Parry, Dennis,",Fair house of joy / | $c: by Dennis Parry.,1950,m,,4.075050792597379
uc1.32106013035099,,The star : | & other Korean short stories / | $c: translated from the Korean by Agnita Tennant,1996,u,high_male,4.074315514993481
mdp.39015042816945,,Does the sun rise over Dagenham? : | and other stories : new writing from London : [with stories / | $c: by Nicola Barker ... et al.] ; foreword by Mark Lawson,1998,u,high_female,4.073209145712268
mdp.39015053576909,"Mole, John,","Thanks, Eddie. / | $c: John Mole.",1989,m,,4.069838427414432
uc1.32106013640393,"Freud, Esther",Gaglow / | $c: Esther Freud,1997,f,high_female,4.069714204320001
mdp.39015077135997,"Campbell, Alastair,",All in the mind / | $c: Alastair Campbell.,2008,u,mixed,4.0692091085176685
inu.30000026319594,"West, Morris L.",The ringmaster / | $c: Morris West.,1992,m,mixed,4.068900040689001
uc2.ark:/13960/t22b9145f,"Madden, Richard Robert,",The Mussulman,1830,m,high_male,4.067851767481593
nnc1.0315147940,,Yankee humour and Uncle Sam's fun,1853,m,,4.067741454353161
uc2.ark:/13960/t3ws8kx37,"Rolt-Wheeler, Ethel.",Behind the veil,1906,f,high_male,4.065371168387673
mdp.39015016414602,"Marshall, Emma,","On the banks of the Ouse; or, Life in Olney a hundred years ago;",1888,f,high_female,4.065329850700762
