htid,author,title,year,authgender,female_category,gb_intensity
mdp.39015021992469,"(Alfred), Alvarez, A.",Day of atonement / | $c: A. Alvarez.,1991,u,,153.69634947304107
hvd.hwadap,"Scott, Walter,",The Waverley novels,1829,m,,153.65478890758763
mdp.39015063961513,"Winter, John Strange,",A soldier's children,1892,m,high_female,153.59398461767705
uc1.b3331970,"Scott, Walter,",Peveril of the peak,1823,m,,153.5780737765439
mdp.39015054032639,"Rushdie, Salman.","East, west / | $c: Salman Rushdie.",1994,m,mixed,153.56996085047476
nnc1.0030180970,"Trollope, Anthony,",The chronicles of Barsetshire,1887,m,,153.55532185324498
inu.30000092205339,"Pritchard, Francis Henry,",Humour of to-day / | $c: selected by F. H. Pritchard.,1927,m,mixed,153.52407536636426
uiuo.ark:/13960/t0jt0264g,"Grant, James,",Love's labour won,1888,m,,153.5113287474253
njp.32101068177995,"Hervey, Elizabeth",Amabel;,1814,f,mixed,153.5084352885191
mdp.39015002327065,"Gerhardie, William Alexander,",Works.,1970,m,high_male,153.48288075560802
uc1.$b794585,"Fienburgh, Wilfred.",No love for Johnnie.,1959,m,,153.47780710909203
uiuo.ark:/13960/t7gq7dw2j,"Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie,",Lucille Belmont,1849,m,mixed,153.4636155250787
mdp.39015039926350,"Baxter, Walter,",The image and the search.,1953,m,high_female,153.4369885433715
uiuo.ark:/13960/t0xp79q0v,"Clarke, Charles.",Charlie Thornhill;,1863,m,,153.4145700008767
mdp.39015063513314,"Drage, Charles,",William King's profession.,1960,m,,153.37423312883433
uiuo.ark:/13960/t1gj01z3b,"Braddon, M. E.",The lady's mile,1866,f,high_female,153.32368492699214
hvd.hn6c1g,"Byron, George Gordon Byron,",The life of Lord Byron,1844,m,high_male,153.32208147090284
uiuo.ark:/13960/t87h24b83,"Braddon, M. E.","Lucius Davoren, or, Publican and sinners",1873,f,,153.2603750089801
uiuo.ark:/13960/t6vx0xb05,"Needell, Mary Anna Lupton,",The story of Philip Methuen,1886,f,,153.21202917807847
dul1.ark:/13960/t0ns18511,"Braddon, M. E.",Birds of prey,1867,f,mixed,153.16571153217342
nyp.33433074876164,"Machen, Arthur,",The three impostors;,1895,m,high_male,153.1431394343584
uiuo.ark:/13960/t55d9bk8w,"Martin, Herbert,",A girl's past,1893,f,high_female,153.12013655303977
uiuo.ark:/13960/t56d69q4h,"Hartstonge, Matthew Weld,",The eve of All-Hallows;,1825,m,high_male,153.09902049551405
mdp.39015073623517,"Cutler, Judith.",Shadow of the past / | $c: Judith Cutler.,2008,f,mixed,153.03618006294695
uiuo.ark:/13960/t7sn0g68r,"Caine, Hall,",A son of Hagar,1887,m,,153.00961052099143
uc1.31158010982378,"Bennett, Arnold,",Leonora,1910,m,high_female,152.95162904731376
mdp.39015048944790,"Francis, Dick.",Second wind / | $c: Dick Francis.,1999,m,high_male,152.93526468724738
uc2.ark:/13960/t31266s6k,"Taylor, Meadows,",Ralph Darnell,1865,m,,152.90694357277346
inu.30000035546377,"Perriam, Wendy,",Born of woman / | $c: Wendy Perriam.,1993,f,high_female,152.90011633704503
uiuo.ark:/13960/t03x8mz6z,"Finch, Emily.",The last days of Mary Stuart,1841,f,mixed,152.88571792585043
mdp.39015066188957,"Thackeray, William Makepeace,",Works,1883,m,,152.86382944184408
inu.30000026345441,"Kneale, Matthew,",Sweet Thames : | a novel / | $c: Matthew Kneale.,1992,m,mixed,152.86304974313995
