htid,author,title,year,authgender,female_category,urban_gb_intensity
uc2.ark:/13960/t6ww7d16f,"Smart, Hawley,",The master of Rathkelly,1888,m,mixed,44.65010553661309
uc2.ark:/13960/t72v2jq0r,"Shorthouse, J. H.","Blanche, Lady Falaise;",1891,u,,44.64691729571968
hvd.hn2spt,"Lathom, Francis,",Human beings,1807,m,,44.63735993104298
mdp.39015004319417,"Lively, Penelope,","Nothing missing but the samovar, and other stories / | $c: [by] Penelope Lively.",1978,f,high_female,44.62817682153427
uc1.32106017920841,"Hunt, Chris",The honey and the sting / | $c: Chris Hunt,1999,m,high_male,44.617901522649994
inu.39000003935447,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1981,m,high_female,44.58460200086994
uc2.ark:/13960/t45q4tn90,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,,44.57970765999401
mdp.39015004972470,"Maugham, W. Somerset (William Somerset),",Complete short stories.,1951,m,,44.57450725789259
uiuo.ark:/13960/t9765wb33,"Harding, Anne Raikes,",Realities,1825,f,high_female,44.56869656821036
mdp.39015069302829,"Faulks, Sebastian.",Engleby / | $c: Sebastian Faulks.,2007,m,,44.55503231953499
inu.39000002644297,"Story, Jack Trevor.",Morag's flying fortress / | $c: Jack Trevor Story.,1976,m,,44.55459330010304
uc2.ark:/13960/t77s7ph7v,"Buchanan, Robert Williams,",The new Abelard,1884,m,,44.5511471920402
uiuo.ark:/13960/t76t11v96,"Fothergill, Caroline.",Put to the proof,1883,f,high_female,44.54809884436991
uc1.32106014535824,"Woolf, Virginia,","The death of the moth,",1942,f,,44.536817102137775
uc1.32106005043234,"Allbeury, Ted.",Consequence of fear / | $c: Ted Allbeury.,1979,m,high_male,44.53218935086912
mdp.39015019635815,"Livia, Anna.",Relatively Norma / | $c: by Anna Livia.,1982,f,high_female,44.52454150323333
nyp.33433074875380,"Lysaght, Sidney Royse,",One of the Grenvilles,1899,m,,44.52215208952663
uc2.ark:/13960/t74t6gw1f,"Francillon, R. E.",A real queen,1885,f,mixed,44.518867399541655
uc1.b4064067,"Beerbohm, Max, Sir,",The dreadful dragon of Hay Hill / | $c: Max Beerbohm.,1929,m,high_male,44.51458864473311
uc1.b3324455,"Jerrold, Blanchard,",Cent per cent,1869,m,high_male,44.51227266946458
