htid,author,title,year,authgender,female_category,urban_gb_intensity
njp.32101035558053,"Radcliffe, Ann Ward,",The romance of the forest,1820,f,,1.3024394691256724
uc1.$b119435,"Rodoreda, Mercè,",The pigeon girl: | a novel; | $c: translated from the Catalan by Eda O'Shiel.,1967,u,high_female,1.2999675008124796
inu.30000038734996,"Tolstai͡a, Tatʹi͡ana,",Sleepwalker in a fog / | $c: Tatyana Tolstaya ; translated from the Russian by Jamey Gambrell.,1991,u,,1.2996464961530465
mdp.39015029925230,"Ginzburg, Natalia.",The city and the house / | $c: Natalia Ginzburg ; translated from the Italian by Dick Davis.,1986,f,,1.2993087677355646
uc1.32106018494366,"Coetzee, J. M.,",Life & times of Michael K / | $c: J.M. Coetzee.,1983,m,high_male,1.2975385693339734
uiuo.ark:/13960/t9d50xs06,"Bramley-Moore, William,",The six sisters of the valleys,1864,m,mixed,1.2963947262662536
mdp.39015050607830,"Mikdadi, F. J.",Tamra / | $c: Faysal Mikdadi.,1988,u,,1.2946827379950543
mdp.49015001327015,"Coulter, Stephen,",Damned shall be desire; | the passionate life of Guy de Maupassant.,1958,m,mixed,1.2941716977591418
uc1.$b799192,"Engstrand, Stuart David,",The scattered seed.,1954,m,mixed,1.2929585477489591
mdp.39015013763563,"Druon, Maurice,","The last detachment: the cadets of Saumur, 1940; | a novel. | $c: Translated from the French by Humphrey Hare.",1957,m,,1.292407108239095
inu.30000078265943,"Hedges, Dick.",Jade Sea B.C. : | a book of the Turkana Trilogy / | $c: by Dick Hedges.,1999,m,high_male,1.2922233995813197
uc1.$b361314,"Canaday, John,","The Cabinda affair, | $c: by Matthew Head [pseud.]",1950,m,,1.291138913635718
uiuo.ark:/13960/t5h99gc5g,"Cuthbertson, Catherine.",Forest of Montalbano,1810,f,mixed,1.290505749203113
nyp.33433074833298,"Blissett, Nellie K.",The bindweed,1904,f,,1.290472441961002
uc1.$b568065,"Meester, James.",And the river flowed on; | an adventurous journey down the Tana River.,1958,m,high_male,1.2903725305495697
uc1.$b118702,"Griffiths, Sally,",Winter day in a glasshouse.,1968,f,high_female,1.2897068496330784
inu.32000009218639,"Golding, William,","Sometime, never; | three tales of imagination, | $c: by William Golding, John Wyndham [and] Mervyn Peake.",1956,m,mixed,1.2893410178057991
uc1.$b252101,"Manning, Arthur.",Tainted money.,1963,m,mixed,1.2885435592150192
mdp.39015059384290,"Aiken, Conrad,","King Coffin, | $c: by Conrad Aiken.",1935,m,high_male,1.2878797635452754
mdp.39015029877738,"Groult, Benoîte",Salt on our skin / | $c: Benoîte Groult ; translated by Mo Teitelbaum.,1992,u,high_male,1.287365792116172
mdp.39015066017982,"Abrahams, Peter,",Mine boy.,1956,m,high_female,1.287249790821909
dul1.ark:/13960/t0jt05v5q,"Bury, Charlotte Campbell,",The manœuvring mother,1842,f,high_female,1.2872000823808052
uiuo.ark:/13960/t39z9jk92,"Grey, Edward.",Dr. Sinclair's sister,1891,m,,1.2866204341057346
mdp.39015011825448,"Asher, Michael,",A desert dies / | $c: Michael Asher.,1986,m,high_male,1.286314259436723
uc1.$b323494,"Burnett, W. R. (William Riley),","Tomorrows another day, | $c: by W.R. Burnett ...",1946,m,,1.28628944084998
mdp.39015066824171,"McCall Smith, Alexander,",The good husband of Zebra Drive / | $c: Alexander McCall Smith.,2007,m,high_male,1.285545328328277
mdp.39015020809144,"Chekhov, Anton Pavlovich,","The kiss, and other stories",1908,m,high_female,1.2854792266556971
mdp.39015033556617,"Pavese, Cesare.","Festival night, and other stories.",1964,m,,1.2849671690888298
mdp.39015028749664,"Farmer, Philip José.",The alley god / | $c: Philip José Farmer.,1972,m,high_female,1.2839772479231668
mdp.39015033442453,"Proust, Marcel,","The Guermantes way, | $c: by Marcel Proust: translated by C. K. Scott Moncrieff ...",1925,m,high_male,1.2839525194358312
mdp.39015017744668,"Borodin, Leonid,",The third truth / | $c: Leonid Borodin ; translated from the Russian by Catriona Kelly.,1989,u,high_male,1.2831699430272543
mdp.39015053680529,"Green, Julien,",Moira;,1951,m,high_male,1.2824458807838308
uc1.b3834597,"Cronin, Vincent.",The last migration / | $c: Vincent Cronin.,1957,m,high_male,1.282141689478104
uc2.ark:/13960/t00z75s7v,"Art͡sybashev, M.",Tales of the revolution,1917,m,high_female,1.2819526703074122
inu.30000042720155,"Miller, Henry,",Nexus / | $c: Henry Miller.,1960,m,,1.2818705054415402
uc1.b4389739,"Criddle, Russell,",Love is not blind.,1954,m,high_female,1.2814762606522714
inu.30000041634266,"Proust, Marcel,",Remembrance of things past / | $c: [Marcel Proust ; translated by C.K. Scott Moncrieff].,1949,m,high_male,1.2812792291824158
mdp.39015048903143,"Malory, Thomas,",La mort d'Arthure,1858,m,high_male,1.279565971222561
mdp.39015036753898,"Roscoe, Thomas,",The Italian novelists,1836,m,high_male,1.2794268167860798
uc1.$b242722,"Kirstein, Lincoln,",For my brother : | a true story / | $c: by José Martínez Berlanga as told to Lincoln Kirstein.,1943,m,mixed,1.2765359919322925
mdp.39015024518659,,"The story of Burnt Njal, from the Icelandic of the Njals saga, | by George Webbe Dasent.",1923,u,,1.2764219340345144
wu.89104418421,"Quatrelles,","The days of chivalry, or, the legend of Croquemitaine",1877,m,high_male,1.2761287358668745
uiuo.ark:/13960/t4wh34v61,"Oliphant,",Miss Marjoribanks,1866,f,high_female,1.2759821872886654
njp.32101064629577,"Sherer, Moyle,",Tales of the wars of our times,1829,m,,1.275900785954884
uc1.$b243637,"Onions, Oliver,",The story of Ragged Robyn.,1949,m,,1.275591555583902
mdp.39015014137973,"Leiber, Fritz,","Gather, darkness! / | $c: Fritz Leiber.",1968,m,high_male,1.2754613981607847
uc2.ark:/13960/t3vt1jm0q,"Baillie, W. W.,",Days and nights of shikar,1921,f,,1.2752824750682277
mdp.39015030062668,,"The story of Burnt Njal, from the Icelandic of the Njals saga, | $c: by George Webbe Dasent.",1923,u,,1.2752743433931224
uc1.$b82976,"Krasnov, P. N. (Petr Nikolaevich),","From the two-headed eagle to the red flag, 1894-1921, | $c: by P. N. Krassnoff.  Translated from the 2d Russian ed.",1923,u,high_female,1.2751442506933597
inu.32000007466461,"Mackworth, Cecily.",I came out of France.,1942,u,,1.2748922716030495
inu.30000007145497,,The story of Burnt Njal. | $c: Translated by Sir George Webbe Dasent; introduction by E. O. G. Turville-Petre.,1960,u,,1.274705383718188
mdp.39015055080876,"Charry, Brinda.",The hottest day of the year / | $c: Brinda Charry.,2001,f,high_female,1.2746160219233955
inu.30000047618552,"Pavese, Cesare.","The political prisoner, and, The beautiful summer / | $c: translated from the Italian by W.J. Strachan.",1966,m,mixed,1.2745997756704397
njp.32101068169380,"Aulney, Léonie, d',",The notary's daughter,1878,m,mixed,1.27396649468119
mdp.39015018648249,"Byng, Lucy Margaret (Greenly) Schomberg.",Roumanian stories,1921,f,,1.2739502649816552
uc1.$b244386,"Wilson, Phillip.",Beneath the thunder.,1963,m,,1.2739015783640557
uc2.ark:/13960/t1wd3vq81,"Taylor, Meadows,",Tippoo Sultaun,1840,m,,1.2737555408366026
uc1.$b188331,"Didelot, Francis,",Warrant for arrest | $c: [by] Francis Didelot. Translated by W.G. Corp.,1963,m,high_female,1.2729772391669636
mdp.39015018386261,"Allen, Hugh,",The lonely tiger / | $c: Hugh Allen.,1987,m,mixed,1.2700993217669625
mdp.39015038144773,"Leonov, Leonid,",Sot / | $c: Leonid Leonov ; with a foreword by Maxim Gorky [pseud.] ; [translated from the Russian by Ivor Montagu & Sergei Nolbandov],1931,u,,1.2700831904489744
uc1.32106002042221,"Head, Bessie,",When rain clouds gather: | a novel.,1969,f,,1.2697284050941504
uc1.32106001785135,"Vian, Boris,",Heartsnatcher; | $c: translated from the French by Stanley Chapman.,1968,m,,1.269341592515962
inu.30000126983950,"Dolan, Mike.",Another Santana morning : | stories / | $c: Mike Dolan.,2008,m,mixed,1.2685043065721209
uc1.b3796822,"Baybars, Taner.","A trap for the burglar, | a novel. | $c: Specially illustrated with 15 original drawings by Arthur Boyd.",1965,u,mixed,1.2669935510028254
wu.89070237797,"Arjouni, Jakob.",Magic Hoffman / | $c: Jakob Arjouni ; translated by Geoffrey Mulligan.,1998,m,high_male,1.266736759434022
mdp.39015013326197,"Synge, Ursula,",Kalevala : | heroic tales from Finland / | $c: Ursula Synge.,1977,f,high_female,1.2650701481397144
mdp.39015001511008,"Camus, Albert,",Collected fiction.,1960,m,,1.264872795959153
mdp.39015003666040,"Goddard, Donald.",Easy money / | $c: Donald Goddard.,1980,m,high_male,1.264558226583543
uc1.31822028405892,"Abbey, Lloyd Robert,",The last whales / | $c: Lloyd Abbey,1990,m,high_male,1.26415857605178
mdp.39015066986780,"Romanov, Panteleĭmon,",On the Volga and other stories | $c: [by] Panteleimon Romanof; translated by Ann Gretton.,1934,u,mixed,1.264142595284748
inu.30000110627217,"Robertis, Carolina de.",The invisible mountain / | $c: Carolina De Robertis.,2009,f,high_female,1.264022752409543
mdp.39015078802892,"Weingard, Jeremy.",Made in Yaroslavl / | $c: Jeremy Weingard.,2009,m,mixed,1.2639029322548028
mdp.39015082675789,"Swainston, Steph.",The modern world / | $c: Steph Swainston.,2008,f,high_female,1.2628175986260544
uc1.$b392190,"Stuart, Francis,",Memorial,1973,m,high_female,1.2624509222203988
wu.89092531771,"Hogg, James,",The three perils of woman,1823,m,,1.2617341273846776
uc1.b3711108,"Masters, John,",Trial at Monomoy.,1964,m,,1.2607717183688136
inu.39000002592520,"Eastlake, Elizabeth,",Livonian tales,1849,f,,1.2598425196850394
uc1.b3117791,"Evans, Colin,",An end to asking why.,1967,m,high_male,1.259429981990151
mdp.39015037500116,,"Roubles in words kopeks in figures, and other stories / | $c: by Vasily Shukshin ; translated from the Russian by Natasha Ward and David Iliffe.",1984,u,high_male,1.2566918842838113
mdp.39015003341230,"Findley, Timothy.",The last of the crazy people.,1967,m,mixed,1.2558081125204068
uc1.b4084443,"Stephens, James,",Irish fairy tales,1920,m,high_male,1.255209117839032
uc1.$b242881,"Fowler, Helen Marjorie,",The refugee / | $c: Helen Fowler.,1960,f,,1.2550043297649376
mdp.39015016451323,"Bergamini, David,",The fleet in the window : | a novel / | $c: by David Bergamini.,1961,m,,1.2535883967857993
mdp.39015056807418,"Lingard, Joan",The kiss / | $c: Joan Lingard,2002,f,mixed,1.2534469791927805
inu.30000120952456,"Kavanagh, Patrick,",Tarry Flynn : | a novel / | $c: Patrick Kavanagh.,1965,m,,1.2533213014488394
uc1.32106011364442,"Lingard, Joan",The kiss / | $c: Joan Lingard,2002,f,,1.2530386186502267
uiuo.ark:/13960/t6251zn27,"Cuthbertson, Catherine.",Forest of Montalbano,1810,f,mixed,1.2529915172474282
uc1.b5041314,"Angulo, Jaime de.","Red Indian tales; | $c: written and illustrated by Jaime de Angulo, with a foreword by Carl Carmer.",1954,m,high_male,1.2527246761706712
uc1.b3739869,"Baring-Gould, S.",In exitu Israel;,1870,m,,1.251517464926223
inu.30000066055785,"Shukshin, Vasiliĭ Makarovich.","Roubles in words, kopeks in figures and other stories / | $c: Vasily Shukshin ; translated from the Russian by Natasha Ward and David Iliffe ; introduction by Yevgeny Yevtushenko.",1985,u,high_male,1.2490320001998452
mdp.39015017962575,"Virtue, Noel,",In the country of salvation / | $c: Noel Virtue.,1990,m,high_male,1.2488916086972812
mdp.39015078787556,"McCall Smith, Alexander,",Tea time for the traditionally built / | $c: Alexander McCall Smith.,2009,m,high_male,1.2480810753466545
mdp.39015061135110,"Shafak, Elif,",The flea palace / | $c: by Elif Shafak ; translated by Müge Göçek.,2004,u,,1.2480265580051544
mdp.39015001687220,"Faulkner, William,",Faulkner's county; | tales of Yoknapatawpha County.,1955,m,,1.2473545688518932
mdp.39015022221298,"(Clive Staples), Lewis, C. S.","The pilgrim's regress, | an allegorical apology for Christianity, reason and romanticism, | $c: by C. S. Lewis ...",1944,m,high_male,1.2471471508923335
njp.32101013572068,"Freytag, Gustav,",Our forefathers,1873,m,,1.2468128346913203
wu.89016085169,"Haag, Lina.",How long the night; | $c: tr. by E. W. Dickes and Arnold Bender.,1948,f,,1.2464942349641632
uc2.ark:/13960/t38053876,"Ouida,",Pascarel,1873,f,mixed,1.2455006289778177
uc1.$b447386,"Kuncewiczowa, Maria Szczepańska,","The forester, | a novel. | $c: [Translated from the Polish by H. C. Stevens]",1954,f,,1.2451439386393066
mdp.39015008516778,"Rab, Gusztáv,",Sabaria. | $c: Translated from the Hungarian by Florence Ignotus and Anthony Rhodes.,1963,u,,1.2449579204222898
uc1.32106019992277,"Saramago, José",Death at intervals / | $c: José Saramago ; translated from the Portuguese by Margaret Jull Costa,2008,u,high_male,1.244539582581424
uc1.32106001622791,"Mishima, Yukio,",New writing in Japan; | $c: edited by Yukio Mishima and Geoffrey Bownas.,1972,m,high_female,1.2442453651860146
uc1.b3157702,"Bruckner, Karl,",The hour of the robots. | $c: Translated by Frances Lobb.,1964,m,,1.243781094527363
uc1.$b243508,"O'Brian, Patrick,","The frozen flame, | a novel.",1953,m,,1.2431935155026232
inu.39000002336563,"Sargeson, Frank.","That summer, and other stories | $c: [by] Frank Sargeson.",1946,m,mixed,1.2428690388893722
mdp.39015064690483,"Harvey, Kenneth J.",Inside / | $c: Kenneth J. Harvey.,2006,m,,1.241326232947281
uc1.b2801501,"Heym, Stefan,",The Lenz papers / | $c: Stefan Heym.,1964,m,high_male,1.2409372799275291
uc1.b3346922,"Forrest, David,",The last blue sea / | $c: David Forrest.,1959,m,high_male,1.2385741534345662
uc1.32106000768884,"(Robert Sutherland), Rattray, R. S.","Akan-Ashanti folk-tales,",1930,u,mixed,1.2376620563755067
uc2.ark:/13960/t54f1ww6k,"Woolf, Leonard,",The village in the jungle,1913,m,high_male,1.237654397386074
mdp.39015019139545,"Vincenz, Stanisław,","On the high uplands : | sagas, songs, tales and legends of the Carpathians / | $f: translated by H.C. Stevens; illus. by Z. Czermanski. -",1955,u,high_male,1.236200907371466
uc1.$b305461,"Heidenstam, Verner von,",The tree of the Folkungs.,1925,u,,1.2356204668174124
uc1.$b112597,"Barns, H. E.","Naju of the Nile, | $c: by H.E. Barns. With sixteen full-page illustrations by Warwick Reynolds.",1924,u,high_male,1.235589932413231
mdp.39015008376769,"Hanley, James,",Drift | $c: [by] James Hanley.,1944,m,mixed,1.2351626091574957
inu.30000111286070,"Uri, Helene,",Honey tongues : | a novel / | $c: by Helene Uri ; translated from the Norwegian by Kari Dickson.,2007,f,high_female,1.2344916980433307
inu.30000060951062,"Geldart, Edmund Martin,",Folk-lore of modern Greece,1884,m,high_male,1.234445980643887
uc1.31175029135012,"Clement, George.",The strange cult / | $c: by George Clement.,1920,m,high_female,1.2341260536351182
mdp.39015005674315,"Bowles, Jane Auer,",Two serious ladies.,1965,f,high_female,1.2315119271930148
uc2.ark:/13960/t75t3jg6g,"Trollope, Thomas Adolphus,",Giulio Malatesta,1863,m,mixed,1.2309964916599987
mdp.39015002715087,"pseud. Richardson, Henry Handel,","The end of a childhood, and other stories, | $c: by Henry Handel Richardson [pseud.]",1934,m,high_female,1.2298307752853208
mdp.39015030750791,"Howells, William Dean,",The rise of Silas Lapham,1891,m,,1.2298005263546252
mdp.39015022101409,"Amosov, Nikolaĭ Mikhaĭlovich.",Russian surgeon | $c: [by] Prof. N. Amosoff; translated from the Russian by George St. George.,1966,u,mixed,1.229362084014605
inu.30000132461256,"Foldes, Yolanda,",Golden earrings / | $c: by Yolanda Foldes.,1945,f,high_female,1.228863546991742
njp.32101066460062,"Grant, James,","Adventures of an aide-de-camp, or A campaign in Calabria",1848,m,mixed,1.22869745782496
mdp.39015017670186,"Alain-Fournier,",Lost domain | (Le grand Meaulnes),1959,u,,1.2281542070422362
uc1.$b252112,"Addison, Doris Maureen.","Bird of time, | $c: by Doris M. Addison.",1965,f,high_female,1.228124040528093
mdp.39015014138062,"Jenkins, Will,",A Murray Leinster omnibus.,1968,m,,1.2280109292972707
uc1.$b289593,"Linnankoski, Johannes,",The song of the blood-red flower / | $c: by Johannes Linnankoski [i. e. V. Peltonen].,1920,u,high_male,1.2279279943024142
mdp.39015005593200,"James, Henry,",Roderick Hudson,1883,m,mixed,1.2273402309854315
mdp.39015080851747,"Patterson, James,",8th confession / | $c: James Patterson with Maxine Paetro.,2009,m,mixed,1.22731010444409
uc2.ark:/13960/t0bv7k35z,"O'Hanrahan, Michael,",A swordsman of the brigade,1914,m,,1.2269487012747995
nyp.33433074872262,"Hort, Alfred,","Hena; or, Life in Tahiti",1866,f,high_female,1.2267379810346308
uc1.32106017800589,"Druzhnikov, I͡Uriĭ,",Madonna from Russia / | $c: Yuri Druzhnikov ; translated from the Russian by Thomas Moore,2006,u,mixed,1.2263468354119913
nc01.ark:/13960/t5w66wr25,"Hayward, William Stephens.",The black angel,1868,m,,1.2256929761664002
uc1.$b119539,"Giles, Norman","The ridge of white waters, | $c: by Norman Giles.",1934,m,,1.224972285002052
mdp.39015014855376,"Willis, Granville Pratt.","Escape at dawn, | $c: by G.P. Willis and Michael P. O'Connor.",1961,m,mixed,1.223960245771217
njp.32101068970688,"Kavanagh, Julia,",Nathalie,1850,f,high_female,1.2236307571827123
inu.30000111254946,"Mengestu, Dinaw,",Children of the revolution / | $c: Dinaw Mengestu.,2008,u,high_female,1.2220158373252517
mdp.39015065677018,"Paustovsky, Konstantin,",Story of a life / | $c: Konstantin Paustovsky ; translated by Manya Harari and Michael Duncan.,1965,m,,1.220524337255285
uc1.b3468425,"Paustovsky, Konstantin,",Story of a life / | $c: Konstantin Paustovsky ; translated by Manya Harari and Michael Duncan.,1965,m,,1.2198543493906828
uc2.ark:/13960/t4wh2gq9f,"Rosegger, Peter,",The forest farm,1912,m,high_male,1.219556813054136
inu.39000001160014,"Trifonov, I͡Uriĭ Valentinovich,",Another life / | $c: Yuri Trifonov ; translated from the Russian by Michael Glenny.,1985,u,high_female,1.219348623965078
mdp.39015059414881,"Manhood, H. A. (Harold Alfred),",Crack of whips; | tales.,1934,m,mixed,1.2184423433083147
uiuo.ark:/13960/t3hx1x46t,"Oliphant,",Miss Marjoribanks,1866,f,high_female,1.218249375647195
mdp.39015012310390,"Warner, Rex,",Men and gods. | $c: Illustrated by Elizabeth Corsellis.,1950,m,,1.2173150898378535
uc2.ark:/13960/fk26970219,"Freeman, Mary Eleanor Wilkins,",A far-away melody,1905,f,high_female,1.217211368754184
uc1.32106008416064,"Cossery, Albert,",If all men were beggars / | $c: by Albert Cossery ; translated from the French by P.D. Cummins.,1957,m,high_male,1.2171372930866602
mdp.39015005665032,"Compton-Burnett, I. (Ivy),",Mother and son.,1955,f,mixed,1.2170039796030132
uc1.$b252099,"Mackenzie, Kenneth Theodore,",The deserter | $c: [by] Kenneth Mackenzie.,1965,m,high_male,1.216234295374661
njp.32101035558061,"Radcliffe, Ann Ward,",The romance of the forest,1820,f,,1.2158202531337767
mdp.39015053113166,"Clarke, Lindsay.",Parzival and the stone from heaven : | a grail romance retold for our time / | $c: Lindsay Clarke.,2001,u,,1.2152883271556176
uiuo.ark:/13960/t9086xn6w,"Trollope, Thomas Adolphus,",Giulio Malatesta,1863,m,mixed,1.2147125989990768
njp.32101072858242,,Weird tales,1888,u,,1.2138868657441126
umn.31951002103586j,"De la Mare, Walter,","The three royal monkeys; or, The three Mulla-Mulgars / | $c: by Walter de la Mare, with illustrations by J.A. Shepherd.",1927,m,high_male,1.2137837280153423
wu.89040827529,"Enquist, Per Olov.",The magnetist's fifth winter / | $c: Per Olov Enquist ; translated from the Swedish by Paul Britten Austin.,1989,m,high_male,1.21206244545719
uiuo.ark:/13960/t8nc6mq2s,"Trollope, Thomas Adolphus,",Giulio Malatesta,1863,m,mixed,1.212033064261993
uc1.b5076483,"Hermary-Vieille, Catherine.",The grand vizier of the night / | $c: Catherine Hermary-Vieille ; translated by Charles Penwarden.,1988,f,,1.2117686975910038
inu.30000025826607,"Ricci, N. P. (Nino Pio),",Lives of the saints / | $c: Nino Ricci.,1991,m,,1.2115631587874676
uc1.b3441234,"Döblin, Alfred,",Men without mercy. | $c: Trans. by Trevor and Phyllis Blewitt.,1937,u,,1.2100531213320265
uc2.ark:/13960/t16m34w2j,"Ebers, Georg,",Cleopatra,1894,m,,1.2099945550245024
uc1.32106014434168,"Hamilton, Hugo",Headbanger / | $c: Hugo Hamilton,1996,m,high_male,1.209614012168717
mdp.39015008517693,"Lagerkvist, Pär,","The eternal smile, | $c: and other stories by Pär Lagerkvist; [translated from the Swedish]",1971,m,mixed,1.2095701187797856
uc1.b4098288,"Rolleston, T. W.","The high deeds of Finn, and other bardic romances;",1910,u,high_male,1.2082985947487344
mdp.39015001983728,"Buechner, Frederick,",The final beast; | a novel.,1965,m,,1.2082255998840103
uc1.$b704824,"Maurois, André,",Whatever gods may be / | $c: by André Maurois ; translated by Dr. Joseph Collins.,1929,m,high_female,1.2073066196621955
uc2.ark:/13960/t79s1tn65,"Zola, Émile,",The conquest of Plassans,1887,m,,1.2068840667165512
nyp.33433081588240,"Lynch, Lawrence L.",No proof,1895,m,,1.2067821154890483
uc2.ark:/13960/t27945p24,"Cronin, Bernard.",Timber wolves,1920,m,,1.2067093037287318
inu.30000037307232,"Manea, Norman.",October eight o'clock / | $c: Norman Manea ; translated from the Romanian by Cornelia Golna ... [et al.] ; with an introduction by Louis Begley.,1993,m,mixed,1.2059962131718909
mdp.39015067673478,"Eyre, Lucy.",If minds had toes / | $c: Lucy Eyre.,2007,f,,1.2054873785471467
uc2.ark:/13960/t6542jz85,"Potter, Margaret Horton,",The genius,1906,f,,1.20468139188888
mdp.39015059414170,"Stauffer, Donald A. (Donald Alfred),",The saint and the hunchback.,1947,m,mixed,1.203919963400833
mdp.39015022273133,"Brooke-Rose, Christine,",Textermination / | $c: Christine Brooke-Rose.,1991,f,,1.202587969309955
nyp.33433075859417,,The Italian novelists,1825,m,high_male,1.201157916231247
uc1.$b64932,Homer.,"Homer's Odyssey, | a line-for-line translation in the metre of the original | $c: by H.B. Cotterill ... with an introduction by Walter Leaf ...",1924,m,high_male,1.200141616710772
njp.32101064911983,"Marryat, Frederick,",The novels of Captain Marryat,1895,m,mixed,1.2000840058804116
nyp.33433074919600,"Allardyce, Alexander,",The city of sunshine,1877,m,high_male,1.1999472023230977
mdp.39015078791822,"Phillips, Marc.",The legend of Sander Grant / | $c: Marc Phillips.,2009,m,,1.198609612849095
inu.32000006912846,"Ouida,",Princess Napraxine,1884,f,mixed,1.1985377839036375
uiuo.ark:/13960/t3kw62633,"Pottinger, Henry,","Blue and green, or, The gift of God",1879,m,,1.1983510689291534
uc1.$b300957,"Hurst, Fannie,",A president is born / | $c: by Fannie Hurst.,1928,f,,1.1974470429045276
nyp.33433074964754,"Banim, John,",Tales,1825,m,,1.196988377242857
mdp.39015080845004,"Berry, Steve,",The Charlemagne pursuit / | $c: Steve Berry.,2009,m,,1.1965014298192087
mdp.39015056946943,"Dorrestein, Renate.",Without mercy / | $c: Ronate Dorrestein ; translated from the Dutch by Hester Velmans.,2002,f,,1.1964012251148546
uc2.ark:/13960/t74t6hv6t,"Korolenko, Vladimir Galaktionovich,","The murmuring forest, and other stories",1916,m,,1.1960005740802755
uc1.32106011190763,"Ellroy, James,",L.A. confidential / | $c: James Ellroy,1994,m,,1.195871850372514
uc1.b3539518,"Clements, Arthur Frederick,","Tudor translations; | an anthology, | $c: chosen by His Honour Judge Clements.",1940,m,high_male,1.1955001374825158
mdp.39015011579797,"Figes, Eva.",Nelly's version / | $c: Eva Figes.,1985,f,,1.1954429713930497
inu.39000005567115,,Irish folk and fairy tales / | $c: [edited by] Michael Scott.,1983,u,,1.194500519607726
mdp.39015063943560,"Howitt, Mary Botham,",Our cousins in Ohio,1849,f,,1.192221944037102
nyp.33433044509416,"Louvet de Couvray, Jean-Baptiste,",The amours of the Chevalier de Faublas,1898,m,,1.1920798216648587
mdp.39015058131080,"Madsen, David.",A box of dreams / | $c: David Madsen.,2003,m,,1.1920229822030968
uc1.$b396537,"Ireland, David,",The chantic bird.,1968,m,,1.1917388661796426
uc2.ark:/13960/t2j67k655,"Kuprin, A. I.",The bracelet of garnets,1917,m,high_female,1.1915258680265948
mdp.39015004398650,,"Something wrong? | $c: by Mrs. Anderson ... [and others]; [editors, Liz Cooper and Roberta Henderson].",1973,u,high_male,1.1914123001405867
mdp.39015001044786,"Howard, Clark.",The zebra killings / | $c: Clark Howard.,1979,m,high_male,1.1904478464798458
uc1.32106010286729,"Lombard, Carl.",The disappearance of Rory Brophy / | $c: Carl Lombard.,1992,m,high_male,1.1902636433970124
njp.32101068989068,"Genlis, Stéphanie Félicité,","The tales of the castle: or, Stories of instruction and delight",1819,f,high_female,1.1902636433970124
mdp.39015061562594,"Barnes, Betsey.",Unforgiving heights / | $c: Betsey Barnes.,2003,f,,1.188997021562461
mdp.39015028303462,"Chaves Nogales, Manuel,",And in the distance a light-- ?,1938,m,high_male,1.1880153016370851
mdp.39015015503199,,Korean classical literature : an anthology / | $c: edited by Chung Chong-wha.,1989,u,,1.1863803535413453
mdp.39015041445845,"Asch, Sholem,",From many countries; | the collected short stories of Sholem Asch. | $c: [Translated by Maurice Samuel and Meyer Levin],1958,m,,1.1859371571900406
mdp.39015014575883,"Banville, John.",The book of evidence / | $c: John Banville.,1989,m,,1.184988564860349
nyp.33433081639761,"Stephens, Ann S.",High life in New York,1844,f,,1.1841606669192877
mdp.39015008776612,"U. Htin Aung,",Burmese folk-tales.,1959,u,high_male,1.183179914337774
uc1.$b20493,"Pawley, Edith Muriel (Phillips) Mrs.","My bandit hosts, | $c: by Tinko Pawley as told to Joy Packer.",1935,f,high_male,1.1828860052756716
uc1.b5063732,"Piasecki, Serginsz,",Lover of the Great Bear.,1938,u,mixed,1.1824593973004451
mdp.39015000618770,"Greene, Graham,",The collected edition.,1970,m,mixed,1.1805399789863884
mdp.39015053541481,"Jullian, Philippe.",Chateau-Bonheur / | $c: Philippe Jullian ; translated from the French by Edward Hyams.,1962,m,,1.1795930404010615
uc1.$b161785,"Ongaro, Alberto,",Excelsior; | $c: translated from the Italian by Giles Cremonesi.,1967,m,,1.1792591893772333
mdp.39015012418243,"Aksenov, Vasiliĭ,",A starry ticket.,1962,u,,1.1788838327871172
uiuo.ark:/13960/t2988w55b,"Tinsley, Lily.",In the ring,1886,f,mixed,1.1788560381006272
mdp.39015047067304,"Guerra-Cunningham, Lucía.",The street of night / | $c: Lucía Guerra ; translated by Richard Cunningham and Lucía Guerra.,1997,u,,1.1788282447247436
uc1.b3178046,"Müller, Filip.",Auschwitz inferno : | the testimony of a Sonderkommando / | $c: Filip Müller ; literary collaboration by Helmut Freitag ; edited and translated by Susanne Flatauer.,1979,u,high_male,1.1782310039706383
uc1.b3473210,"Sahgal, Nayantara,","Storm in Chandigarh: | a novel, | $c: by Nayantara Sahgal.",1969,u,mixed,1.1779811758608096
mdp.39015068802860,"Litt, Toby,",Hospital : | a dream-vision / | $c: Toby Litt.,2007,m,mixed,1.1774541087261123
njp.32101064911975,"Marryat, Frederick,",The novels of Captain Marryat,1895,m,high_male,1.1766782373360003
nyp.33433074920558,"Bailey, H. C.",Karl of Erbach,1903,m,,1.1759587003304444
uc1.b2806719,"Wahlöö, Per,",The assignment | $c: [by] Peter Wahlöö.  Translated from the Swedish by Joan Tate.,1965,u,high_male,1.1752124196448508
mdp.39015051168774,"Astley, Thea.",It's raining in Mango : | pictures from the family album / | $c: Thea Astley.,1987,f,mixed,1.1748948469112015
uc1.32106006271958,,"The golden lotus; a translation, from the Chinese original, of the novel Chin p'ing mei, by Clement Egerton.",1957,u,mixed,1.1738673647264597
nyp.33433074902093,"Mitford, Bertram,",The induna's wife,1898,m,high_male,1.1733646230566148
mdp.39076002274244,"Andersen, H. C.",Stories & fairy tales,1893,f,,1.173075569528189
