text_string,formatted_address,location_type,occurs_100k
ildegarda,"Accademia Ildegarda Srl, Via Belvedere, 204, 80127 Napoli, Italy",health,0.0662
greendale,"Greendale, WI, USA",locality,0.06572
shannon,"Shannon Medical Center, 120 E Harris Ave, San Angelo, TX 76903, USA",hospital,0.06568
abbeville,"Abbeville, LA 70510, USA",locality,0.06564
otranto,"Otranto LE, Italy",locality,0.06562
ottawa,"Ottawa, ON, Canada",locality,0.06552
tunis,"Tunis, Tunisia",locality,0.06516
georgia,"Georgia, USA",administrative_area_level_1,0.06452
fontainebleau,"77300 Fontainebleau, France",locality,0.06445
mahomet,"Mahomet, IL, USA",locality,0.06441
hamburg,"Hamburg, Germany",locality,0.06377
st domingo,"Santo Domingo, Dominican Republic",locality,0.06328
holy city,"Holy City, Wyoming 82414, USA",natural_feature,0.06318
belgrade,"Belgrade, Serbia",locality,0.06311
north wales,"North Wales, PA 19454, USA",locality,0.06302
berwick,"Berwick, PA, USA",locality,0.06301
calicut,"Kozhikode, Kerala 673001, India",locality,0.0627
boscawen,"Boscawen, NH, USA",locality,0.06269
ayrshire,"Ayrshire, IA 50515, USA",locality,0.06255
montesecco,"Monte Secco, 24020 Parre, Province of Bergamo, Italy",natural_feature,0.06219
wharton,"The Wharton School, 3730 Walnut St, Philadelphia, PA 19104, USA",school,0.06182
picardy,"Picardy, France",administrative_area_level_1,0.06171
st dorval,"St Veronica's Church, 1300 Ave Carson, Dorval, QC H9S 1M6, Canada",church,0.06151
beauvilliers,"Beauvilliers, France",locality,0.06149
joinville,"Joinville, Joinville - SC, Brazil",locality,0.06148
ephesus,"Selçuk, İzmir, Turkey",locality,0.06111
maine,"Maine, USA",administrative_area_level_1,0.06073
mariton,"Mariton, 26780, France",colloquial_area,0.06059
south sea,Oceania,continent,0.06032
sadgrove,"Sadgrove Neal P & Associates, 16 Kalmore Pl, Dannemora 2016, New Zealand",point_of_interest,0.06023
tyburn,"Tyburn Academy of Mary Immaculate, 17 Clymer St, Auburn, NY 13021, USA",school,0.06012
bern,"Bern, Switzerland",locality,0.06011
melbourne,"Melbourne VIC, Australia",colloquial_area,0.05963
selwood,"Selwood Farm, 706 Selwood Rd, Alpine, AL 35014, USA",food,0.0595
seaview,"Stockton Seaview Hotel Atlantic City, 401 S New York Rd, Galloway, NJ 08205, USA",lodging,0.05921
garonne,Garonne,natural_feature,0.05883
adele,"Adele's Nashville, 1210 McGavock St, Nashville, TN 37203, USA",restaurant,0.05879
transylvania,Romania,country,0.05871
ellesif,"Elisif Photography, 22 Hall St #1, Waltham, MA 02453, USA",point_of_interest,0.05866
elbe,Elbe,natural_feature,0.05855
marana,"Marana, AZ, USA",locality,0.0581
saragossa,"Zaragoza, Zaragoza, Spain",administrative_area_level_4,0.05791
st kilda,"St Kilda VIC 3182, Australia",locality,0.05786
pau,"Pau, France",locality,0.05767
tehran,"Tehran, Tehran, Iran",locality,0.05765
tagus,"Río Tajo, Spain",natural_feature,0.05704
pompeii,"Amphitheatre of Pompeii, Via Plinio, 80045 Pompei NA, Italy",point_of_interest,0.05702
euphrates,"Euphrates, Iraq",natural_feature,0.05699
sardinia,"Sardinia, Italy",administrative_area_level_1,0.05698
judaea,"Young Judaea Shaliach, 990 Grove St, Evanston, IL 60201, USA",point_of_interest,0.05668
bombay,"Mumbai, Maharashtra, India",locality,0.05658
dunore,"Dunmore, PA, USA",locality,0.05646
lapland,"Lapland, Finland",administrative_area_level_1,0.05644
leinster,"Leinster, Ireland",colloquial_area,0.05621
ohio,"Ohio, USA",administrative_area_level_1,0.05613
turk,"Trina Turk Fashion Island, 581 Newport Center Dr, Newport Beach, CA 92660, USA",clothing_store,0.05599
chippewa,"Chippewa Boots, 721 8th Ave, New York, NY 10036, USA",shoe_store,0.05595
st petersburgh,"St Petersburg, Russia",locality,0.05594
culloden,"Culloden Mennonite Brethren Church, 6060 Culloden St, Vancouver, BC V5W 3S2, Canada",church,0.05584
la mancha,"La Mancha, Cuenca, Spain",administrative_area_level_3,0.05523
dumain,"Sanford P. Dumain, 1 Pennsylvania Ave, Brooklyn, NY 11207, USA",lawyer,0.05502
longinus,"Dr. Longinus O. Agor, MD, 107 N Summey St, Dallas, NC 28034, USA",doctor,0.05499
tuileries,"Tuileries Garden, 113 Rue de Rivoli, 75001 Paris, France",park,0.05487
vincennes,"Vincennes University, 1002 N 1st St, Vincennes, IN 47591, USA",university,0.05481
judea,"Temple Judea, 5429 Lindley Ave, Tarzana, CA 91356, USA",synagogue,0.05476
duca,"DUCA Financial Services Credit Union Ltd, 2184 Kipling, Etobicoke, ON M9W 4K9, Canada",atm,0.0546
belmour,"Belmour, 50890, France",colloquial_area,0.05447
phoenix,"Phoenix, AZ, USA",locality,0.05443
dunkirk,"Dunkirk, France",locality,0.05443
antioch,"Antioch, CA, USA",locality,0.0543
thebes,"Thebes, Greece",administrative_area_level_4,0.05429
grenada,Grenada,country,0.05423
masseran,"Masseran Gestion, 47 Avenue George V, 75008 Paris, France",point_of_interest,0.0541
st denis,"Saint-Denis, France",locality,0.05409
kars,"Kars, 36000 Kars Merkez/Kars, Turkey",locality,0.05405
