htid,author,title,year,authgender,female_category,walking
uiuo.ark:/13960/t1tf0f532,"St. Leger, Barry,",Mr. Blount's mss.;,1826,m,,18.86634244507798
mdp.39015003931147,"Godwin, William,",Fleetwood,1832,m,,18.85415399586425
uc2.ark:/13960/t3ws8pd3r,"Hook, Theodore Edward,","Sayings and doings, or, Sketches from life",1828,m,mixed,18.850338782477564
mdp.39015061868363,"Christie, Agatha,",The mirror crack'd from side to side / | $c: by Agatha CHristie.,1962,f,high_female,18.85014137606032
uc1.b3136831,"Gerstäcker, Friedrich,",The little whaler,1857,m,high_male,18.849943973777634
uiuo.ark:/13960/t78s50349,"Ainsworth, William Harrison,",The Spanish match,1865,m,high_male,18.845878406392522
uiuo.ark:/13960/t3029776n,"Gibbon, Charles,",In love and war,1877,m,mixed,18.838304552590266
njp.32101067173037,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,,18.835643315701077
uiuo.ark:/13960/t8bg31q2v,"Davies, Charles Maurice,","'Verts, or, The three creeds",1876,m,mixed,18.834326415998905
uc1.$b32965,"Chichester, Francis Charles,","Seaplane solo, | $c: by Francis C. Chichester.",1933,m,high_male,18.82801165121662
nyp.33433081613642,,Four and twenty fairy tales,1858,f,,18.81640790769551
uiuo.ark:/13960/t5z614h53,"Gunning,",The exile of Erin,1808,f,,18.814675446848543
uc1.b4102902,"Tupper, Martin Farquhar,",Rides and reveries of the late Mr. Æsop Smith,1858,m,,18.81356928684814
uiuo.ark:/13960/t3pv75c60,"Wilton, Maurice.",The old love is the new,1880,m,,18.80052641473961
mdp.39015049907325,"Wills, C. J.",Laura Ruthven's widowhood,1892,m,high_female,18.789536315998248
mdp.39015034934185,"Mo, Timothy.",Brownout on Breadfruit Boulevard / | $c: Timothy Mo.,1995,m,,18.784710878797778
uiuo.ark:/13960/t0000tq23,"Ainsworth, William Harrison,",Old Saint Paul's,1841,m,mixed,18.782634828013673
mdp.39015059376056,,The New British novelist;,1830,u,high_female,18.77806039707062
ien.35558005335217,"Terton, Alice.",Lights and shadows in a hospital,1902,u,mixed,18.764073054791094
uc1.32106002020177,"Waugh, Alec,",Brief encounter : | a novel / | $c: by Alec Waugh.,1975,m,high_female,18.759379689844923
njp.32101064071192,"Belknap, Jeremy,",The foresters,1831,m,high_male,18.750732450486346
uiuo.ark:/13960/t41r79s6c,"Liardet, Frederick.",Tales by a barrister,1844,m,high_male,18.750703151368175
inu.39000000192240,"Jenkins, Geoffrey,",Southtrap / | $c: Geoffrey Jenkins.,1980,m,,18.74615034412576
uiuo.ark:/13960/t3pv74d80,"Siddons, Henry,",Virtuous poverty,1804,m,mixed,18.73516799200633
uc1.b3325102,"Trollope, Frank.",The lawyer's daughter,1878,m,mixed,18.72688400255934
njp.32101064749458,"Veer, Willem de,",An emperor in the dock,1915,u,high_male,18.722334407638712
nyp.33433075821847,"Le Sage, Alain René,",The adventures of Gil Blas;,1831,m,,18.721825846065638
uc1.b3630362,"Holmes, John Henry.","Way back in Papua, | $c: by J. H. Holmes.",1926,m,high_male,18.71846576647863
mdp.39015020609031,"pseud. York, Catherine,",If hopes were dupes.,1966,f,high_male,18.715785205171795
nyp.33433074951827,"Cunningham, H. S.",Late laurels,1864,m,mixed,18.713248260027783
nyp.33433076069578,"Lee, Hannah Farnham Sawyer,",The log cabin;,1844,f,,18.704620041150164
mdp.39015021991362,"Weldon, Fay.","Moon over Minneapolis, or, Why she couldn't stay / | $c: Fay Weldon.",1991,f,,18.698309960445883
uiuo.ark:/13960/t5r78w70b,"Braddon, M. E.",Hostages to fortune;,1875,f,mixed,18.69333582577811
mdp.39015057083985,"Taylor, Meadows,",Tara,1863,m,mixed,18.690715387131444
uiuo.ark:/13960/t0ht38132,"Roche, Regina Maria,",The tradition of the castle;,1824,f,mixed,18.6898420708345
uiuo.ark:/13960/t2v41d19m,"Wingfield, Lewis,",Barbara Philpot,1885,m,mixed,18.688750540221694
uc2.ark:/13960/t5w66cw75,"Drury, W. P.",The peradventures of Private Pagett,1915,u,high_male,18.688483741019144
uiuo.ark:/13960/t50g4932j,"Russell, William.",Autobiography of an English detective,1863,m,,18.68138184744496
nyp.33433074955448,,The Metropolis,1822,u,mixed,18.67917479556681
njp.32101067707487,"Gowing, Aylmer.",An unruly spirit,1890,u,high_female,18.66677728460613
mdp.39015010729542,"Enzensberger, Christian.",Smut: | an anatomy of dirt; | $c: translated by Sandra Morris.,1972,m,mixed,18.66417810958539
mdp.39015080814299,"Slater, Catherine Ponton.",Marget Pow / | $c: Catherine Ponton Slater ; with an introduction by Anne McManus Scriven and Jan Pilditch.,2008,f,high_female,18.66368047779022
mdp.39015063608353,"Opie, Amelia Alderson,",Simple tales,1806,f,,18.659617477841703
uiuo.ark:/13960/t2697rd89,"Pycroft, James,",Dragons' teeth,1863,m,mixed,18.637592023110614
uiuo.ark:/13960/t9863643p,"Farjeon, B. L.",Aaron the Jew,1894,m,mixed,18.635469510301274
uiuo.ark:/13960/t7vm4hj9x,"Banim, Michael,",The mayor of Wind-Gap ; and Canvassing,1835,m,mixed,18.63532110091743
mdp.39015031232336,"Earle, John,",Microcosmographie,1903,m,high_male,18.626598783062214
uc2.ark:/13960/t0tq5wc9d,"Barker, Bernard.",Eliot the younger;,1878,m,mixed,18.62474856589436
uc1.b3440940,"Enzensberger, Christian.",Smut: | an anatomy of dirt; | $c: translated by Sandra Morris.,1972,m,high_male,18.6219739292365
njp.32101065854604,"Reynolds, Frederic Mansel,",The parricide,1836,m,high_female,18.61816015341364
uc1.b4594152,"Deloney, Thomas,",The history of John Winchcomb,1859,m,high_male,18.61652615621925
uc2.ark:/13960/t3319zd5p,"Fison, Lois A.",Merry Suffolk;,1899,f,high_female,18.614347939391685
uiuo.ark:/13960/t4hm5jm5r,"Cook, Dutton,",Leo,1863,m,mixed,18.61344176856333
mdp.49015003174084,"Horwood, William.",The willows in winter / | $c: William Horwood ; illustrated by Patrick Benson.,1995,m,high_male,18.6132066175424
mdp.39076000791272,,Shorter novels: seventeenth century. | $c: Edited by Philip Henderson.,1962,u,,18.60344729966918
uc1.31175021780286,"Goodsir, Robert Anstruther.","An Arctic voyage to Baffin's Bay and Lancaster Sound, in search of friends with Sir John Franklin / | $c: by Robert Anstruther Goodsir.",1996,m,high_male,18.60020194504969
uiuo.ark:/13960/t09w0rt4b,"Corkran, John Frazer,","East and West, or, Once upon a time",1861,m,,18.59686642800688
mdp.39015073749015,,The British essayists;,1823,m,,18.593521370423368
njp.32101038029524,"Homer, A. N.","Hernani, the Jew;",1897,u,high_female,18.588712610420995
uiuo.ark:/13960/t7zk5nt75,,Constancy and contrition,1844,u,,18.586899952913186
njp.32101010941746,"Reynolds, George W. M.",The mysteries of the court of London,1850,m,,18.585825210639353
njp.32101065853291,"Reid, Mayne,",The white chief,1855,m,high_male,18.585825210639353
uiuo.ark:/13960/t42r47h1q,"Halsted, Leonora B.",Bethesda,1884,f,high_female,18.58390633711206
mdp.39015059896392,"Barclay, Marguerite",Letters from Fleet street,1910,f,high_male,18.57786447447866
wu.89092582386,"Birmingham, George A.,",Good intentions / | $c: by George A. Birmingham.,1945,m,high_female,18.569855818333753
uiuo.ark:/13960/t6737599r,"Gore,",Preferment;,1840,f,mixed,18.56952740552753
uiuo.ark:/13960/t1xd1k437,"Fullerton, Georgiana,",The countess de Bonneval,1858,f,high_male,18.56837805217714
uc1.32106000768884,"(Robert Sutherland), Rattray, R. S.","Akan-Ashanti folk-tales,",1930,u,mixed,18.5649308456326
wu.89004548004,"Bancroft, Francis.",The liquor king,1921,m,,18.562159021209283
uiuo.ark:/13960/t8kd2ht61,"Roche, Regina Maria,",The discarded son;,1807,f,,18.560701932000338
nyp.33433074963764,"De Iongh, Anna M.",Mossdale;,1872,f,high_female,18.559516392030012
mdp.39015064002721,"Bray,",The novels and romances of Anna Eliza Bray,1815,f,mixed,18.558483082617066
dul1.ark:/13960/t14m9s97v,"Trollope, Frances Milton,",The young heiress,1864,f,high_female,18.55622277776346
mdp.39015063617065,"Edgeworth, Maria,",Patronage,1814,f,,18.554596901382318
umn.31951002056112q,"Knight, Brigid.",The cloister and the citadel / | $c: Brigid Knight.,1958,f,mixed,18.541695638066102
