htid,author,title,year,authgender,female_category,farm
mdp.39015058691299,,Tales from  Blackwood.,1858,u,,0.0
mdp.39015058599625,"Jókai, Mór,",Timar's two worlds,1888,m,,0.0
mdp.39015058467526,"Marotta, Giuseppe,",Return to Naples. | $c: Translated from the Italian by Frances Frenaye. With illustrations by Laboccetta.,1951,u,,0.0
mdp.39015058387252,"(Francis William), Bain, F. W.",A heifer of the dawn.,1923,u,high_male,0.0
mdp.39015053158724,,"Piece of flesh / | $c: edited by Zadie Smith ; consultant editor, Katie Kitamura.",2001,u,high_female,0.0
mdp.39015058259006,"D'Arcy, Brett,",The mindless ferocity of sharks : | a novel / | $c: Brett D'Arcy.,2002,m,high_male,0.0
mdp.39015058255665,"Schonstein, Patricia.",A time of angels / | $c: Patricia Schonstein.,2003,f,,0.0
dul1.ark:/13960/t22b9s334,"Sewell, Elizabeth Missing,",The earl's daughter,1850,f,high_female,0.0
mdp.39015058210900,"Pichard, Pierre.",Inventory of monuments at Pagan / | $c: Pierre Pichard.,1992,u,high_male,0.0
mdp.39015058209969,"Cross, Neil.",Always the sun / | $c: Neil Cross.,2004,m,high_male,0.0
mdp.39015058209878,"Reed, Jeremy.",Boy Caesar / | $c: Jeremy Reed.,2004,m,high_male,0.0
mdp.39015058130405,"Taylor, Chad,",Electric / | $c: Chad Taylor.,2003,m,,0.0
dul1.ark:/13960/t1vd7n98c,"Oliphant,",Salem Chapel,1863,f,,0.0
mdp.39015058127112,"Sutton, Henry,",Kid's stuff / | $c: Henry Sutton.,2003,m,mixed,0.0
mdp.39015058120810,"Zeh, Juli,",Eagles and angels / | $c: Juli Zeh ; [translated by Christine Slenczka.],2003,f,high_female,0.0
wu.89093075133,"Hall, Michael,",The battle of Moira : | an adaptation of Sir Samuel Ferguson's Congal / | $c: by Michael Hall ; artwork by Gary Hamilton.,1995,m,,0.0
mdp.39015058120448,,Uncut diamonds : | a selection of new writing / | $c: edited by Maggie Hamand.,2003,u,,0.0
mdp.39015056688107,"Hussein, Aamer.",Mirror to the sun / | $c: Aamer Hussein.,1993,u,,0.0
wu.89098869100,"Pansy,",The Randolphs,1889,f,high_female,0.0
wu.89098985377,"Swinnerton, Frank,",Nocturne.,1926,m,high_female,0.0
mdp.39015054403087,"Gunn, Daniel.",Body language : | a novel / | $c: Dan Gunn.,2002,m,mixed,0.0
coo.31924013129774,"Greene, Robert,","Greene's Groats-worth of wit, bought with a million of repentance",1919,m,high_male,0.0
mdp.39015053616499,"Mortimer, Penelope,",My friend says it's bullet-proof.,1967,f,,0.0
wu.89100097930,"Duhamel, Georges,",The new book of martyrs,1918,u,high_male,0.0
coo.31924003598400,"Fraser, Grace Lovat.","Doll making at home, | $c: by Grace Lovat Fraser.  With drawings by Helen Lovat Fraser.",1940,f,high_female,0.0
mdp.39015053625730,"Downie, Walter I.",Reminiscences of a Blackwall midshipman,1912,m,high_male,0.0
mdp.39015055184520,"Stead, C. K. (Christian Karlson),",All visitors ashore / | $c: C.K. Stead.,2002,m,,0.0
mdp.39015055183647,"Riley, Gwendoline,",Cold water / | $c: Gwendoline Riley.,2002,f,,0.0
mdp.39015055174513,"Baker, Howard.",Sawdust Caesar / | $c: Howard Baker.,1999,m,,0.0
mdp.39015053654904,"Edgeworth, Maria,",Tales of fashionable life,1809,f,,0.0
mdp.39015053654912,"Edgeworth, Maria,",Tales of fashionable life,1809,f,,0.0
mdp.39015055116282,"Byatt, A. S. (Antonia Susan),",The game / | $c: A.S. Byatt.,1983,f,high_female,0.0
coo.31924002882581,"Jones, Ken,",Orphans of the sea.,1970,m,,0.0
mdp.39015054402972,"Anthony, Michael,",High tide of intrigue / | $c: Michael Anthony.,2001,m,,0.0
mdp.39015056653242,"Pichard, Pierre.",Inventory of monuments at Pagan / | $c: Pierre Pichard.,1992,u,high_male,0.0
coo.31924002521106,"Cohen, Max,",It was not in the news; | a novel.,1965,m,high_male,0.0
mdp.39015054286797,"Miller, Harland,","First I was afraid, I was petrified / | $c: Harland Miller.",2000,m,high_female,0.0
yale.39002029600468,"Palmer, Gertrude.",Word-pictures from Cherry-tree land,1909,f,mixed,0.0
mdp.39015053746841,"Weldon, Fay.",The Bulgari connection / | $c: Fay Weldon.,2001,f,,0.0
mdp.39015053757459,"King, Francis Henry,","The firewalkers : | a memoir, Frank Cauldwell [pseud.].",1956,m,high_male,0.0
mdp.39015054182723,"Lasdun, James.",The horned man / | $c: James Lasdun.,2002,m,high_female,0.0
mdp.39015054174043,"Ambler, Eric,",The night-comers.,1956,m,mixed,0.0
mdp.39015054159937,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,mixed,0.0
mdp.39015053780352,,"Goddess of the storm and other stories : | --a compilation of short stories by Nigerian authors. / | $c: [editor, Sola Adeyemi].",1999,u,,0.0
mdp.39015054028231,"Rushdie, Salman.",Haroun and the sea of stories / | $c: Salman Rushdie.,1990,m,high_male,0.0
mdp.39015054148310,"Ferguson, Diana,","Native American myths / | $c: Diana Ferguson ; consultant, Colin Taylor.",2001,f,high_male,0.0
