htid,author,title,year,authgender,female_category,gb_england_suba1_intensity
uiuo.ark:/13960/t4cn7cd4c,"Armstrong, F. C.",The wild gazelle,1868,m,,30.50433839479393
njp.32101064911900,"Marryat, Frederick,",The novels of Captain Marryat,1895,m,,30.500918937942355
njp.32101068170891,"Howitt, William,",The life and adventures of Jack of the mill,1844,m,high_male,30.488385830522695
uc1.b4457279,"Tomkies, Mike.",Golden eagle years / | $c: Mike Tomkies.,1982,m,,30.48275982198069
uiuo.ark:/13960/t9g450b9q,"Bunbury, Selina,",Sir Guy d'Esterre,1858,f,mixed,30.481890985673505
uc1.b3486106,"Cunninghame Graham, R. B.",A hatchment,1913,m,,30.48129972262017
mdp.39015048891082,"McBratney, Sam.",Lagan valley details : | short stories / | $c: by Sam McBratney.,1980,m,mixed,30.480835174883794
njp.32101073308114,"Dillon, Henry Augustus,",Rosaline de Vere,1824,m,,30.4752617063099
nyp.33433074909908,"Defoe, Daniel,",The novels and miscellaneous works of Daniel De Foe,1854,m,high_male,30.467867546519223
mdp.39015014135506,"Morrison, Nancy Brysson.","The other traveller, | a novel.",1957,f,,30.43887320825724
uc1.$b322943,"Beachcroft, T. O. (Thomas Owen),",Collected stories of T.O. Beachcroft.,1948,m,mixed,30.4244206683231
nyp.33433066579156,"Boswell, Thomas Alexander.",The journal of an exile,1825,m,,30.418981444421313
mdp.39015041107759,"Hawes, J. M. (James M.)",Rancid aluminium / | $c: James Hawes.,1997,m,mixed,30.414781583849752
uiuo.ark:/13960/t0ft8z28g,"Gambier, James W.",Swifter than a weaver's shuttle,1887,m,,30.412700343663516
uiuo.ark:/13960/t3611fb6z,,"Harden Hall, or, The three proposals",1847,m,high_female,30.40726733689352
nyp.33433082303102,,"The four sisters: Patience, Humility, Hope, & Love",1858,u,,30.406985810073287
hvd.hntfbl,"Sterne, Laurence,","The life and opinions of Tristram Shandy, gentleman",1832,m,,30.40308838814138
uiuo.ark:/13960/t2m62342r,"Kingsley, Charles,","Alton Locke, tailor and poet",1850,m,,30.397874400486373
umn.31951002076536k,"Watts, Stephen.",The sound of a trumpet.,1946,m,mixed,30.3970483417886
njp.32101068169588,"Galt, John,",Eben Erskine;,1833,m,,30.39610929800986
inu.39000005766469,"Potter, Frederick Felix.","The adventures of Kwaku; | Ashanti folk tales, | $c: by F. F. Potter and Harold Cooper, illus. by Elizabeth Quayle.",1938,m,high_male,30.38590094196293
mdp.39015027793119,"Langdon, Samuel.",Punchi Nona;,1884,m,,30.384362181597197
mdp.39015018903511,"Kelly, Maeve,",Florrie's girls / | Maeve Kelly.,1989,f,high_female,30.378348522507597
njp.32101066714179,"Boldrewood, Rolf,",Nevermore,1892,m,,30.373595221221017
mdp.39015014637022,"McGinley, Patrick,",The devil's diary.,1988,m,high_male,30.368552756249848
uiuo.ark:/13960/t62524j1v,"Lockhart, Laurence W. M.",Mine is thine,1878,m,,30.361176556313907
wu.89004700464,"Hookham, Albert E.",Amid the strife,1912,m,,30.355985461944258
mdp.39015034101835,"Middleton, Stanley,",Terms of reference.,1966,m,,30.35574599245776
uiuo.ark:/13960/t59c79v7q,"Fothergill, Caroline.",An enthusiast,1887,f,high_female,30.320750221991208
uiuo.ark:/13960/t1tf05388,"Davenport, Selina,",The hypocrite;,1814,f,high_female,30.317117044283204
inu.32000006175014,"Eaton, Charlotte A.",Continental adventures,1826,f,,30.311832981800265
njp.32101075688893,"Defoe, Daniel,",Romances and narratives,1899,m,high_male,30.311090766251994
dul1.ark:/13960/t8qc0s39h,"Riddell, J. H.,",Mitre Court,1885,f,mixed,30.303904874599553
uiuo.ark:/13960/t58d05r35,"Banks, G. Linnaeus",God's providence house,1865,f,mixed,30.303397616940817
uc1.b4948964,"Muldoon, Paul.",New weather.,1973,m,high_male,30.303030303030305
