htid,author,title,year,authgender,female_category,vertical
wu.89004714226,"Drummond, Hamilton,",The king's scapegoat,1905,m,high_male,253.67001678273115
mdp.39015002749052,"Ross Williamson, Hugh,",A wicked pack of cards.,1961,m,high_male,253.65757863384937
nyp.33433082533971,"Edgeworth, Maria,","The parent's assistant, or, Stories for children",1822,f,,253.65227163268582
uiuo.ark:/13960/t45q5k469,"Steward, Isabella Travers,",The interdict,1840,f,high_female,253.65170996238956
mdp.39015051348723,"Bermant, Chaim,",The house of women / | $c: Chaim Bermant.,1983,u,high_female,253.63958663347665
nyp.33433074857933,"Haverfield, E. L.",The sow's ear,1904,u,high_female,253.63563494789878
uc2.ark:/13960/t3hx1bd1z,"Grant, James,",Second to none,1864,m,mixed,253.62463553940168
njp.32101066591742,"Lamb, Caroline,",Ada Reis,1823,f,high_female,253.6211463675816
uiuo.ark:/13960/t9x06n58w,"Braddon, M. E.",The Lovels of Arden,1871,f,,253.58058621031606
uc1.$b244920,"Stead, Philip John.",Fausta.,1950,m,,253.5733034856424
njp.32101064633447,"Putnam Weale, B. L.",The revolt,1912,m,high_female,253.5671308234485
nyp.33433074864913,"Gleig, Charles,",The edge of honesty,1898,m,high_female,253.53784187150487
njp.32101068166030,"Chatterton, Georgiana,","Aunt Dorothy's tale, or, Geraldine Morton",1837,f,high_female,253.51394326687966
inu.30000047566116,"Kentish,",The maid of the village,1835,f,,253.5084246183626
hvd.hwkd1s,"Hope, Thomas,","Anastasius, or, Memoirs of a Greek ;",1820,m,high_male,253.5006130105733
mdp.39015013115095,"Bernanos, Georges,",Joy. | $c: Translated by Louise Varese.,1948,m,high_female,253.49794238683128
dul1.ark:/13960/t3dz14r97,"Bayfield, E. G.,",A winter in Bath,1807,f,high_female,253.48542458808618
uc2.ark:/13960/t1gh9cz9f,"Grant, James,",Miss Cheyne of Essilmont,1883,m,mixed,253.4832390674576
uiuo.ark:/13960/t0ks7b73c,"Ellis, Sarah Stickney,","Agatha Beaufort; or, Family pride",1852,f,high_female,253.4655535086688
nyp.33433067303820,"Colman, George,",The history of Elsmere and Rosa;,1817,m,mixed,253.44180225281602
uiuo.ark:/13960/t58d0jb1c,"Saunders, John,","One against the world; or, Reuben's war. A novel in three volumes",1865,m,mixed,253.43132677968813
njp.32101068169455,"Fullerton, Georgiana,",Grantley Manor,1847,f,high_female,253.40513145391193
mdp.39015025105407,"Trefusis, Violet Keppel,",From dusk to dawn; | $c: illustrations by Philippe Julian.,1972,f,,253.35056117149298
uva.x001240922,"Devereux, W. A.",Sir Walter Ralegh,1909,u,,253.3390081271154
mdp.39015001183808,"Bielski, Nella.",Oranges for the son of Alexander Levy / | $c: Nella Bielski ; translated from the French by John Berger and Lisa Appignanesi.,1982,f,mixed,253.318471982977
uiuo.ark:/13960/t2b85x75t,"Robinson, Emma,","Whitefriars, or, The days of Charles the Second",1844,f,high_male,253.30197213678306
njp.32101064710922,"Pickering, Ellen,",The quiet husband,1840,f,mixed,253.27292833446296
mdp.39015010783804,"Porter, Anna Maria,",Don Sebastian,1809,f,,253.2597297243822
uc2.ark:/13960/t90865m6b,"Esmond, Henry.",A life's hazard,1878,m,mixed,253.25538695312665
dul1.ark:/13960/t6pz5zn09,"Morgan,",Florence Macarthy,1818,f,mixed,253.22235828888105
uiuo.ark:/13960/t5fb5rg4v,"Ainsworth, William Harrison,","Guy Fawkes, or, The gunpowder treason",1841,m,mixed,253.21894998542072
njp.32101063883274,"Norton, Caroline Sheridan,","The wife, and Woman's reward",1835,f,high_female,253.21584118302442
uiuo.ark:/13960/t8mc9b524,"Grey, Herbert.",The three paths,1859,m,,253.20462098433296
uc1.$b244308,"Young, E. H. (Emily Hilda),",Miss Mole / | $c: by E.H. Young.,1950,f,high_female,253.19178864277617
