htid,author,title,year,authgender,female_category,political_content
uc1.$b119714,"Ritchie, Paul.",The protagonist; | a novel.,1966,m,high_male,5.647356472435253
nyp.33433075728547,"Fletcher, J. S.",The making of Matthias,1898,m,high_male,5.646846236376984
uc2.ark:/13960/t2n58f36m,,Dacia Singleton,1867,u,high_female,5.645491369455069
uc1.b3327592,"Porter, Anna Maria,",Honor O'Hara,1826,f,,5.64448759341627
mdp.39015029533471,"Drevet, Patrick,",La micheline / | $c: Patrick Drevet ;translated by James Kirkup.,1993,m,high_female,5.644137152532807
mdp.39015019774317,"Gombrowicz, Witold.",Cosmos; | $c: English version by Eric Mosbacher [from the French translation by George Sedir and the German translation by Walter Tiel.],1967,m,mixed,5.64373897707231
mdp.39015019788077,"Gombrowicz, Witold.",Cosmos; | $c: English version by Eric Mosbacher [from the French translation by George Sedir and the German translation by Walter Tiel.],1967,m,mixed,5.64190809331716
uc2.ark:/13960/t1td9nv23,"Tibbits, Charles John.","English fairy tales, folklore and legends",1902,m,high_male,5.641112427370677
mdp.39015014138427,"Johnson, Pamela Hansford,","This bed thy centre, | a novel.",1961,f,high_female,5.639362752009023
uiuo.ark:/13960/t7jq1mf9x,"Payn, James,",A prince of the blood;,1888,m,high_female,5.639097744360902
njp.32101068974011,"Mallarmé, Camille.",The house of the enemy,1922,f,high_female,5.638965249876648
uiuo.ark:/13960/t3dz0j70r,,"Guards, hussars and infantry",1838,u,high_male,5.63888575617458
inu.30000029307232,"Oliphant,",A son of the soil,1872,f,mixed,5.638469979484644
njp.32101067646651,"Hook, Theodore Edward,",Jack Brag,1837,m,,5.636343140570398
mdp.39015050740557,"Sarif, Shamim.",The world unseen / | $c: Shamim Sarif.,2001,u,high_female,5.632745024408562
inu.39000003367807,"Heyer, Georgette,",April lady.,1957,f,,5.632057672270564
mdp.39015063617438,"Hook, James,",Percy Mallory,1824,m,,5.629283532938345
uiuo.ark:/13960/t8sb4kr00,"De Jongh, Bertha.",Loving and loth,1875,f,high_female,5.629045876723895
uiuo.ark:/13960/t6g16bg6q,"Cuthbertson, Catherine.","Santo Sebastiano, or, The young protector",1814,f,high_female,5.628602305475504
njp.32101064911967,"Marryat, Frederick,",The novels of Captain Marryat,1895,m,,5.627620360730465
