htid,author,title,year,authgender,female_category,geo_range
uiuo.ark:/13960/t7rn3k14n,"Hardy, Duffus,",Madge,1878,m,high_female,4115.635829646466
uiuo.ark:/13960/t7pn9qw7m,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,4114.701398249416
uiuo.ark:/13960/t71v60g1p,"Conway, Hugh,",Bound together,1884,m,,4099.028339306712
uc2.ark:/13960/t9b56vg7c,"Raven-Hill, L.",Our battalion,1902,u,high_male,4082.996284058054
mdp.39015005628212,"Lagerkvist, Pär,",The dwarf. | $c: [Translated from the Swedish by Alexandra Dick],1953,m,mixed,4080.7718476859063
uc1.32106008416064,"Cossery, Albert,",If all men were beggars / | $c: by Albert Cossery ; translated from the French by P.D. Cummins.,1957,m,high_male,4077.1587751975535
uiuo.ark:/13960/t6n01sp1p,"Trollope, Frank.",Old times revived;,1870,m,mixed,4067.024253104144
uiuo.ark:/13960/t2m61wn0n,"Feilden, Phoebe M.","Grantham secrets, a novel",1875,f,high_female,4058.443030719312
nyp.33433068233984,"Perrault, Charles,",The renowned tales of Mother Goose,1823,m,,4058.1296567291847
uiuo.ark:/13960/t82j71x1s,"Ponsonby, Emily,",Pride and irresolution,1850,f,high_female,4053.986995359307
hvd.32044100906221,"Hauff, Wilhelm,",The banished,1839,m,high_male,4048.7389973654217
nyp.33433022846897,"Rasmussen, Knud,",Eskimo folk-tales,1921,u,high_male,4047.7645793871975
mdp.39015026427222,"Godfrey, Walter Scott,","Philosophies of life; | a survey and a speculation; including a friendly criticism of Mr. McCabe's outlook, | $c: by W. S. Godfrey ... With prefatory letter by William Archer.",1923,m,high_male,4045.3938512365025
mdp.39015019489411,"Mills, Joseph,",Towards the end.,1989,m,high_male,4028.299940897941
uiuo.ark:/13960/t0vq3851z,"Crommelin, May.",In the west countrie,1883,f,mixed,4018.1225358706697
njp.32101013572068,"Freytag, Gustav,",Our forefathers,1873,m,,4016.092663308248
uc1.b3327326,"Montgomery, Florence,",Thrown together,1877,f,high_female,4007.769393911024
uc2.ark:/13960/t0ft8p04b,"Weyman, Stanley John,",A gentleman of France,1893,m,high_male,4005.2775655985697
uiuo.ark:/13960/t9w09n469,"Oliphant,","Lilliesleaf: being a concluding series of Passages in the life of Mrs. Margaret Maitland, of Sunnyside",1855,f,high_female,3997.97655720207
mdp.39015037047647,"Wain, John.",A travelling woman; | a novel.,1959,m,mixed,3977.524055177933
uiuo.ark:/13960/t3xs6cp6m,"Young, Mary Julia.","Right and wrong; or, The kinsmen of Naples",1803,f,high_male,3970.0065177352967
nyp.33433074949524,"Craik, Georgiana M.",Riverston,1857,f,,3949.69890900697
uc1.$b188681,"Leclecq, Léna.","Knave of hearts, | a novel; | $c: translated by Geoffrey Sainsbury.",1963,u,high_female,3943.0584427043887
uiuo.ark:/13960/t71v6546p,"Tabor, Eliza.",Alec's bride,1867,f,,3940.210928218001
mdp.39015011549105,"Vesaas, Tarjei,",Spring night; | $c: translated from the Norwegian by Kenneth G. Chapman.,1972,m,mixed,3931.581238414583
mdp.39015001802647,"Zola, Émile,",The fortune of the Rougons,1886,m,high_male,3902.979603227024
uiuo.ark:/13960/t09w0zp7g,"Macquoid, Katharine S.",At the red glove,1885,f,high_female,3900.389489431715
uiuo.ark:/13960/t21c2k61d,"Oliphant,",The son of his father,1887,f,mixed,3894.587839646525
uiuo.ark:/13960/t9474q59q,"Colquhoun, Katharine.","Maurice, the Elector of Saxony",1844,f,,3893.619637888392
uc1.b4105470,"Pain, Barry,",The octave of Claudius,1897,m,mixed,3889.9468623987823
njp.32101064790734,"Stepney, Catherine Pollock Manners,",The courtier's daughter,1838,f,,3868.435041788483
mdp.39015030074853,"Lie, Jonas Lauritz Idemil,","Weird tales from northern seas, from the Danish of Jonas Lie",1893,m,high_male,3858.67808841282
uiuo.ark:/13960/t9377n37v,"Brooke, Emma.",Life the accuser,1896,f,,3856.1817893454927
mdp.39015033409965,"Maeterlinck, Maurice,",The massacre of the innocents,1914,m,high_male,3837.8315316869976
mdp.39015018885163,"Sharqāwī, ʻAbd al-Raḥmān,",Egyptian earth / | $c: Abdel Rahman al-Sharqawi ; translated by Desmond Stewart ; foreword by Robin Ostle.,1990,u,high_male,3831.498487829196
uc1.$b119737,"Dennis, Nigel Forbes,",A house in order: | a novel | $c: [by] Nigel Dennis.,1966,f,high_male,3812.434583898691
uc2.ark:/13960/t21c1vd0j,,Favourite fairy tales,1861,u,high_male,3811.712797466804
njp.32101067644557,"Flamank, James.",The curate of Steinhollt,1837,m,high_male,3797.20576935858
mdp.39015042024961,"De Silva, Colin.",The founts of Sinhala.,1984,m,mixed,3777.6401835450456
uc1.$b236284,"Cicellis, Kay.",The way to Colonos : | a Greek triptych.,1960,f,high_female,3765.078834347706
uiuo.ark:/13960/t5v702v0c,"Peregrine, Peter.",Matilda Montfort,1809,m,mixed,3761.123785296236
njp.32101067630614,"Forrester,",The light of other days,1894,f,high_female,3755.81724948762
mdp.39015063940418,"Lowndes, Hannah Maria (Jones)",The Scottish chieftains;,1831,f,,3718.941608506081
mdp.39015030140290,"Booth, Martin.",On the death of Archdeacon Broix.,1971,m,high_male,3716.398750575708
mdp.39015004106830,"Ruyslinck, Ward,",Golden Ophelia : | a novel / | $c: Ward Ruyslinck [i.e. R. K. M. de Belser] ; translated from the Dutch by David Smith.,1975,m,high_male,3712.808736949771
mdp.39015039750230,"Bell, Catherine D.",Arnold Lee;,1868,u,,3697.9514739534793
uiuo.ark:/13960/t3gx4wm6h,"Pardoe,",The Mardens ; and The Daventrys,1835,f,,3695.822350445087
uc2.ark:/13960/t58c9t304,"Randolph,",Woodroffe,1883,f,,3687.16462168263
