htid,author,title,year,authgender,female_category,gb_fraction
uiuo.ark:/13960/t7fr0j10d,"Thomson, A. T.,",Constance,1833,f,,0.5586206896551724
hvd.hwadbw,"Scott, Walter,",The Waverley novels,1829,m,high_male,0.55859375
mdp.39015000630494,"Lawrence, D. H. (David Herbert),",Complete short stories.,1955,m,high_female,0.5585585585585586
uiuo.ark:/13960/t0zp4jb4x,"Lemon, Mark,","Falkner Lyle, or, The story of two wives",1866,m,,0.5585585585585585
uc1.b3322475,"Cathcart,",The heir of Mordaunt,1835,f,high_female,0.5585585585585585
inu.32000004496032,"Gore,","Mrs. Armytage, or Female domination",1836,f,high_female,0.5584905660377361
inu.30000110626037,"Gooch, Ivan A. V.",The new lords of tomorrow / | $c: Ivan A. V. Gooch.,2009,m,,0.5584905660377358
uiuo.ark:/13960/t8w95tg3q,"Strickland, Agnes,",How will it end?,1865,f,high_female,0.5584415584415585
uiuo.ark:/13960/t4zg6z88q,"Cook, Dutton,",Paul Foster's daughter,1861,m,,0.5583333333333335
inu.32000004496024,"Gore,","Mrs. Armytage, or Female domination",1836,f,high_female,0.5582822085889572
uc1.b3322533,"Gore,",Peers and parvenus,1846,f,,0.5582655826558265
mdp.39015063986825,"Black, William,",White wings,1880,m,mixed,0.5582329317269077
mdp.39015009294888,"Disraeli, Benjamin,",The novels & tales of the Right Hon. B. Disraeli,1866,m,mixed,0.5581896551724136
inu.30000132088950,"Basnett, Fred.",Country matters.,1971,m,,0.5581395348837208
uiuo.ark:/13960/t47p9cq48,"Grey,",Daughters,1847,f,high_female,0.5581395348837208
uc1.b4539013,"Gifford, Douglas.","Scottish short stories, 1800-1900.",1971,m,mixed,0.5579268292682926
uiuo.ark:/13960/t0ns19n45,"Molloy, J. Fitzgerald",It is no wonder,1882,m,mixed,0.5578947368421053
mdp.39015019773806,"Cole, Barry.",The search for Rita.,1970,m,mixed,0.5578947368421053
hvd.hn2tj4,"Lathom, Francis,",Human beings,1807,m,,0.5576923076923077
uc2.ark:/13960/t49p2zb2c,"Schwann, Duncan,",The book of a bachelor,1910,m,,0.5576923076923077
njp.32101063883068,"Norris, W. E.",My friend Jim,1886,f,,0.5576923076923076
mdp.39015082750558,"Maisey-Jackson, Gillian.",The watcher in the wood / | $c: Gillian Maisey-Jackson.,2008,f,,0.5576923076923076
nyp.33433074943634,"Austen, Jane,",Pride and prejudice,1853,f,high_female,0.5576519916142558
uc1.$b242966,"Gibbs, Philip,",The healing touch / | $c: Phillip Gibbs.,1957,m,mixed,0.5575757575757575
mdp.39015032437827,"Dunmore, Helen,",Burning bright / | $c: Helen Dunmore.,1994,f,high_female,0.557471264367816
uc2.ark:/13960/t92808h53,"Fittis, Robert S.",Gilderoy,1866,m,mixed,0.5574324324324325
uiuo.ark:/13960/t7fr08z44,,Happiness;,1821,u,high_female,0.5573770491803279
uiuo.ark:/13960/t0wq0m85j,"Nugent, Norman.",The amusements of a man of fashion,1873,m,,0.5573770491803279
mdp.39015019671166,"Bell, Sam Hanna.",The hollow ball / | $c: Sam Hanna Bell.,1990,m,high_male,0.5573770491803279
uiuo.ark:/13960/t5m90sd55,"Norris, W. E.",Matthew Austin,1894,f,mixed,0.5573770491803278
uiuo.ark:/13960/t52f83289,"Drewry, Edith Stewart.",On dangerous ground,1883,f,,0.5573770491803278
uc1.b3435552,"Summers, John,","Dylan, | $c: by John Summers.",1970,m,high_male,0.5573333333333335
mdp.39015057600036,"Jones, John Sam.",Fishboys of Vernazza / | $c: John Sam Jones.,2003,m,,0.5572519083969466
uiuo.ark:/13960/t7pn9cb8s,"Besant, Walter,","The captains' room, etc",1883,m,,0.5572519083969465
mdp.39015031241113,"Jacobson, Dan.",The wonder-worker; | a novel.,1973,m,,0.5571428571428572
mdp.39015014328374,"Moggach, Deborah.",Driving in the dark / | $c: by Deborah Moggach.,1988,f,high_female,0.5571428571428572
uiuo.ark:/13960/t5t72qv0p,"Cresswell, Henry.",A wily widow,1888,m,high_female,0.5571428571428572
uc2.ark:/13960/t22b92q40,"Wilson, John Mackay,",Wilson's tales of the borders and of Scotland,1857,m,mixed,0.557142857142857
mdp.39015073316773,"Carlyle, Thomas,",[Works],1885,m,high_male,0.5571350464734828
uc2.ark:/13960/t3319tq2m,"Laffan, May.",A singer's story,1885,f,high_female,0.5570175438596492
njp.32101037989942,"Nares, Edward,",Thinks-I-to-myself,1812,m,,0.5569620253164556
wu.89015991284,"Arlen, Michael.","""Piracy""; | a romantic chronicle of these days.",1924,m,,0.5569395017793595
mdp.39015061459601,"James, Siân.",Love & war / | $c: Siân James.,2004,u,,0.5568862275449101
mdp.39015078805382,"Taylor, D. J. (David John),",Ask Alice : | a novel / | $c: D.J. Taylor.,2009,m,high_female,0.5568312284730195
uiuo.ark:/13960/t5cc1n85m,"Pickering, Ellen,",The heiress,1833,f,,0.556818181818182
uiuo.ark:/13960/t4kk9sz3z,,Laura Gay,1856,u,,0.5568181818181818
nyp.33433074929310,"Brebner, Percy James,",The crucible of circumstance,1906,m,,0.5567567567567567
uiuo.ark:/13960/t6c257z78,"De Merle, William Henry,","Melton de Mowbray, or, The banker's son",1838,m,,0.5567010309278351
mdp.39015077129537,"Frewin, Anthony,",The Reich stuff / | $c: Anthony Frewin.,2008,m,mixed,0.5566037735849056
uc1.b3810796,"Boyd, Martin,","When blackbirds sing, | a novel.",1962,m,mixed,0.5565476190476191
mdp.39015060383323,"Leatherbarrow, Linda.",Essential kit / | $c: Linda Leatherbarrow.,2004,f,high_male,0.5565217391304346
uiuo.ark:/13960/t5w67451b,"Scott, Walter",Rob Roy,1818,m,,0.5563380281690139
mdp.39015056878278,"Forster, Margaret,",Diary of an ordinary woman / | $c: Margaret Forster.,2003,f,high_female,0.5563186813186813
wu.89100334630,"Kaye-Smith, Sheila,","Ember lane: | a winter's tale, | $c: by Sheila Kay-Smith.",1940,f,high_female,0.55625
mdp.39015008955489,"Murdoch, Iris.",An accidental man. -,1971,f,,0.5562130177514794
mdp.39015030701141,"Kersh, Gerald,",Night and the city.,1946,m,,0.5561797752808992
mdp.39015023536017,"Jerrold, Douglas William,",The barber's chair,1874,m,,0.5561694290976059
uc1.$b245069,"Malet, Oriel.","The green leaves of summer, | $c: by Oriel Malet [pseud.]",1950,u,,0.5561224489795918
uc2.ark:/13960/t4mk67860,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,mixed,0.5560538116591928
uiuo.ark:/13960/t7zk5wn5v,"Braddon, M. E.",The lady's mile,1866,f,high_female,0.5560344827586207
uiuo.ark:/13960/t5fb5bz07,"Besant, Walter,",This son of Vulcan,1876,m,,0.5555555555555558
