htid,author,title,year,authgender,female_category,streets
mdp.39015002710369,"Kuhn, Helmut,",Encounter with nothingness : | an essay on existentialism / | $c: Helmut Kuhn.,1951,u,,127.19433611103317
mdp.39015060662874,"Rose, Dilys,",Selected stories / | $c: Dilys Rose.,2005,u,,127.19158781153716
uc2.ark:/13960/t45q4tq9w,"Ransome, Arthur,",The soldier and death,1920,m,high_male,127.1657924018439
uc1.$b742633,"Tilsley, W. V.",Other ranks / | $c: W. V. Tilsley ; with an introduction by Edmund Blunden.,1931,u,high_male,127.11410832798116
mdp.39015066698344,"Nzekwu, Onuora,",Blade among the boys.,1972,u,high_male,126.97496573118822
uc1.b3880650,"Quinn, Niall.",Stolen air,1988,u,,126.95481562698367
mdp.39015002754144,"Scholefield, Alan.",The young masters. -,1971,m,high_male,126.9509371966246
mdp.39015026859036,"Tāmir, Zakarīyā.",Tigers on the tenth day and other stories / | $c: Zakaria Tamer ; translated by Denys Johnson-Davies.,1985,u,mixed,126.93284098776829
mdp.39015001511008,"Camus, Albert,",Collected fiction.,1960,m,,126.90890386123502
mdp.39015030140290,"Booth, Martin.",On the death of Archdeacon Broix.,1971,m,high_male,126.90355329949239
mdp.39015063974987,"Weyman, Stanley John,",The house of the wolf,1895,m,mixed,126.86611199622352
inu.30000011424490,"Joyce, James,",Ulysses / | $c: James Joyce.,1960,m,,126.77797414488099
mdp.39015079238781,"Barrington, James.",Timebomb / | $c: James Barrington.,2008,m,high_male,126.77101265549257
wu.89016145146,"Black, Jack.","You can't win, | $c: by Jack Black; with a foreword by Robert Herrick.",1927,m,mixed,126.66973744818056
mdp.39015032570882,"Rey Rosa, Rodrigo,",The Pelcari project / | $c: Rodrigo Rey Rosa ; translated from the Spanish by Paul Bowles.,1991,m,high_male,126.66666666666667
mdp.39015022004801,"Buchan, James.",Slide / | $c: James Buchan.,1991,m,high_female,126.6004891382535
uc1.b3739982,"Heath, Roy A. K.",Genetha : | a novel / | $c: by Roy A.K. Heath.,1981,m,,126.57345905522783
mdp.39015073483789,"Henty, G. A.",In times of peril,1893,m,high_male,126.56414175183876
mdp.39015059975840,"Darling, Julia,",The taxi driver's daughter / | $c: Julia Darling.,2003,f,high_female,126.5591986014136
uc1.32106012839574,"Davison, Philip,",The crooked man / | $c: Philip Davison,1997,m,mixed,126.48785392274512
inu.32000002740027,"(Charles Grimshaw), Campbell, C. G.","From town and tribe, | $c: translated & set down by C. G. Campbell.",1952,m,high_male,126.40366864601094
njp.32101065845917,"Munro, Neil,",The lost Pibroch,1896,m,high_male,126.35526208526942
nyp.33433075763676,"Thomson, Edward.",The adventures of a carpet bag,1853,m,high_male,126.3408820023838
uc1.$b244046,"Peters, Ellis,","Warfare accomplished, | being the third volume of the Eighth champion of Christendom.",1947,m,high_male,126.32669457482346
uc1.32106006749425,"Ambler, Eric,",The dark frontier / | $c: Eric Ambler.,1977,m,high_male,126.32642748863063
mdp.39015001068413,"Walker, David Esdaile,",Operation Amsterdam.,1980,m,,126.31459430306987
mdp.39015031233755,"Fisher, Michael,",The voyager.,1972,m,,126.31352629740117
uc1.$b120353,"Luard, Nicholas.",The warm and golden war.,1967,m,high_male,126.20837808807734
nyp.33433074942842,"Conyers, Dorothea,","The boy, some horses and a girl;",1905,f,mixed,126.20498912488924
mdp.39015019807349,"O'Faoláin, Seán,",Stories of Sean O'Faolain.,1970,m,,126.06165560974368
