htid,author,title,year,authgender,female_category,urban_metric_gb
mdp.39015049639100,"Sharma, Yojana.",The buffalo thief / | $c: Yojana Sharma.,1999,u,mixed,-0.4112000219114964
mdp.39015032577176,"Stangerup, Henrik.",Brother Jacob : | a novel / | $c: by Henrik Stangerup ; translated from the Danish by Anne Born.,1993,u,high_male,-0.4112524570152327
uiuo.ark:/13960/t0zp4j72m,Lady.,Julia de Vienne,1811,m,high_female,-0.41131504348663345
mdp.39015046441278,"Sánchez Ferlosio, Rafael,",The one day of the week / | $c: Rafael Sanchez Ferlosio ; translated from the Spanish by J.M. Cohen.,1962,m,mixed,-0.4113299879089282
uc1.b3435477,"Middleton, Stanley,",Distractions / | $c: [by] Stanley Middleton.,1975,m,high_female,-0.4113933250888452
uc1.b3475489,"Val Baker, Denys,",Karenza : | a novel of Cornwall / | $c: [by] Denys Val Baker.,1980,m,high_male,-0.4114147408953916
mdp.39015038426048,"Wickham, Madeleine,",The tennis party / | $c: Madeleine Wickham.,1995,f,,-0.41151596659646833
uiuo.ark:/13960/t17m0zx1m,E. C. A.,Geraldine,1837,u,high_female,-0.41160010085934856
uc1.$b745621,"Gordon, Ernest.",Miracle on the River Kwai.,1963,m,high_male,-0.4116490333194507
uiuo.ark:/13960/t0zp49h3s,"Carey, Rosa Nouchette,",Lover or friend?,1890,f,,-0.41165483150918636
mdp.39015009011118,"O'Brien, Darcy.","A way of life, like any other / | $c: Darcy O'Brien.",1977,m,,-0.41190323463314216
uc2.ark:/13960/t10p0zd3c,"Johns, Richard.","Legend and romance, African and European",1839,m,mixed,-0.4119203455537426
uiuo.ark:/13960/t7dr3cg9b,"Mangin, Edward,",George the third,1807,m,high_male,-0.41194035589737926
uc2.ark:/13960/t6c24sq2z,"Austen, Jane,",Sense and sensibility,1882,f,high_female,-0.4121579557860656
mdp.39015024903364,"Doyle, Roddy,",The van / | $c: Roddy Doyle.,1991,m,,-0.4121753701672383
mdp.39015053521236,"King, Francis Henry,",The custom house / | $c: Francis King.,1961,m,high_female,-0.4122116737356225
uiuo.ark:/13960/t64468c6g,"Oliphant,",Squire Arden,1871,f,,-0.4122730204237726
mdp.39015059395056,"Crawford, F. Marion",To leeward,1884,m,,-0.4122787040083081
uiuo.ark:/13960/t3jw8wj9v,"Manning, Anne,",Belforest,1865,f,high_female,-0.4123355239533147
mdp.39015011314914,"Durrell, Gerald,",The drunken forest; | $c: with illus. by Ralph Thompson.,1956,m,mixed,-0.412409531870845
mdp.39015040081997,"Wyndham, John,",Jizzle | $c: [by] John Wyndham.,1968,m,mixed,-0.41241169374368647
mdp.39015059376122,,The New British novelist;,1830,u,high_male,-0.4124860018459994
mdp.39015014854155,"(John Lighton), Synge, J. L.",Kandelman's Krim : | a realistic fantasy / | $c: by J.L. Synge.,1957,u,high_male,-0.4125099185449846
