htid,author,title,year,authgender,female_category,gb_subcity_intensity
mdp.39015063239902,"Miano, Sarah Emily.",Van Rijn / | $c: Sarah Miano.,2006,f,mixed,1.9320435869033208
uc1.b3767256,"Rosso, Renzo,",The bait and other stories; | $c: translated by Archibald Colquhoun.,1962,m,high_male,1.9316579420116289
mdp.39015023517025,"Chalmers, Thomas Wightman.","The automatic stabilisation of ships,",1931,m,high_male,1.9314713949086415
uiuo.ark:/13960/t09w0q71v,"Bainbridge, Maria.",Rose of Woodlee,1843,f,high_female,1.9310984087749112
mdp.39015018850894,"Francis, Richard,",The land where lost things go by Olive Watson / | $c: Richard Francis.,1990,m,high_male,1.930949254653588
inu.30000055910305,,12 American crime stories / | $c: selected and introduced by Rosemary Herbert.,1998,u,,1.9307628443998224
uiuo.ark:/13960/t8v98hw17,"Glaister, Elizabeth.",The perfect path,1884,f,high_female,1.930390131845646
uiuo.ark:/13960/t4jm2vz6m,"Putney, Charlotte.",The brazen mask,1826,f,,1.930390131845646
mdp.39015016466685,"Almedingen, E. M. (Edith Martha),",Frossia; | a novel of Russia.,1961,f,high_female,1.9303528685043625
wu.89009180225,"Medina, Enrique,",The Duke : | memories and anti-memories of a participant in the repression / | $c: by Enrique Medina ; translated by David William Foster.,1985,m,high_male,1.9290123456790125
uc1.$b243646,"Moorehead, Alan,",The rage of the vulture / | $c: Alan Moorehead.,1948,m,,1.928882116369458
uiuo.ark:/13960/t2p562z5b,"Marryat, Florence,",The prey of the gods,1871,f,,1.928751904642506
uc1.32106014882739,"Valenzuela, Luisa,",Symmetries : | stories / | $c: by Luisa Valenzuela ; translated from the Spanish by Margaret Jull Costa,1998,f,mixed,1.928603112765424
uc1.b4350622,"Perutz, Kathrin,",The garden / | $c: Kathrin Perutz.,1962,f,high_female,1.9274136036852147
wu.89086054038,"Sheppard, Elizabeth Sara,",Charles Auchester,1853,f,,1.9270793185847528
mdp.39015017894661,,Blues for a lost childhood : | a novel of Brazil / | $c: ,1989,u,high_female,1.9267822736030829
mdp.39076006778547,"Buzzati, Dino,",Restless nights : | selected stories of Dino Buzzati / | $c: chosen and translated by Lawrence Venuti.,1984,u,,1.9267451494190864
uiuo.ark:/13960/t0ht38k2r,"Tabor, Eliza.",Lady Lowater's companion,1884,f,high_female,1.9264110961279135
uc2.ark:/13960/t5fb50m13,"Lever, Charles James,",[Charles Lever's novels,1872,m,mixed,1.925641358925107
mdp.39015067674716,"Reig, Rafael.",Blood on the saddle / | $c: Rafael Reig ; translated by Paul Hammond.,2005,m,mixed,1.9252984212552944
hvd.hwxjuu,"Haliburton, Thomas Chandler,",The clockmaker;,1838,m,high_male,1.9248537111179551
uiuo.ark:/13960/t83j42z5r,"Reynolds, Baillie,",The Ides of March,1892,f,,1.9248166612130195
uiuo.ark:/13960/t6nz8qp53,"Acton, Eugenia de,",The microcosm,1801,f,,1.9247055200554315
uc1.b3880650,"Quinn, Niall.",Stolen air,1988,u,,1.9235578125300556
mdp.39015066843403,"Crace, Jim.",The pesthouse / | $c: Jim Crace.,2007,m,high_female,1.9234098209305457
uc1.32106018477379,,Home-made : | contemporary Russian folk artifacts / | $c: [compiled by] Vladimir Arkhipov,2006,u,,1.9210450485063877
mdp.39015000625940,"Kosinski, Jerzy,",The devil tree.,1973,m,high_female,1.9209712430604913
mdp.39015057014048,"Smith, Frederick E. (Frederick Escreet),",Saffron's trials / | $c: Frederick E. Smith.,1997,m,,1.920178192536267
mdp.39015065146287,"Rebreanu, Liviu,",The uprising : | a novel / | $c: by Liviu Rebreanu ; translated by P. Crandjean and S. Hartauer.,1964,u,,1.9198924860207829
mdp.39015028044512,"Sologub, Fyodor,","The sweet-scented name, and other fairy tales, fables and stories",1915,u,high_female,1.919827983412686
mdp.39015010822388,,The Tristan legend : | texts from Northern and Eastern Europe in modern English translation / | $c: edited by Joyce Hill.,1977,u,mixed,1.9197726989124488
nyp.33433034410674,"Parr, Louisa,",Adam and Eve,1881,f,mixed,1.9186370002750048
mdp.49015000341801,"Sembène, Ousmane,",Black docker / | $c: Sembène Ousmane ; translated from the French by Ros Schwartz.,1987,u,,1.9185020336121557
mdp.39015041912760,"Steven, Kenneth C.,",The summer is ended / | $c: Kenneth C Steven.,1997,m,high_male,1.918465227817746
uc1.b4562676,,The Tristan legend : | texts from Northern and Eastern Europe in modern English translation / | $c: edited by Joyce Hill.,1977,u,,1.9178581360336775
uiuo.ark:/13960/t12n5qk3w,"Christian, Sydney.","Sarah, a survival",1894,u,,1.9152685206465947
uc1.32106014873316,"Blackburn, Julia",The leper's companions / | $c: Julia Blackburn,1999,f,high_female,1.9151951583866396
mdp.39015031992699,"Theal, George McCall,",Kaffir folk-lore,1886,m,high_male,1.914095398514662
uc1.b4553762,,Any woman's blues : | stories by contemporary black women writers / | $c: edited and with an introduction by Mary Helen Washington.,1980,u,,1.9137657168009492
uc1.b3595548,"Moravia, Alberto,","Disobedience, | $c: [by Alberto Moravia [pseud.] Translated by Angus Davidson.",1950,m,high_male,1.913655848132272
