htid,author,title,year,authgender,female_category,gb_scotland_intensity
uc1.b4398236,"Veresaev, V. V. ",The sisters / | $c: by V. Veresaev ; translated from the Russian by Juliet Soskice.,1934,u,mixed,3.996035932355104
uc1.$b783880,"Birmingham, George A.,",Up,1919,m,,3.9950062421972534
wu.89012609285,"Abbott, J. H. M.",Plain and veldt,1903,u,high_male,3.994766855419401
uc2.ark:/13960/t9g44kx90,"Randolph,",Woodroffe,1883,f,,3.9945673883518418
mdp.39015014117744,"Porter, Anna Maria,",Roche-blanche;,1822,f,high_male,3.9944477176724353
mdp.39015063554029,"Thackeray, William Makepeace,",The Virginians;,1920,m,,3.9937884842632982
mdp.39015079245554,"Walsh, Louise.",Fighting pretty / | $c: Louise Walsh.,2008,f,mixed,3.9887782372259375
uc1.$b783870,"Greenwall, Harry J. (Harry James),",Such is life / | $c: Harry J. Greenwall.,1948,m,mixed,3.987749633127034
uiuo.ark:/13960/t13n2j187,"Fuller, J. F.",Chronicles of Westerly,1892,u,mixed,3.9847781474766393
mdp.39015030932829,,Voices on the green / | $c: edited by A.R.J. Wise and Reginald A. Smith ...,1945,u,,3.983905023704235
nyp.33433074872494,"Hume, Fergus,",Tracked by a tattoo;,1896,m,mixed,3.982794328500876
inu.30000027289606,"Milligan, Spike,",It ends with magic ... : | a Milligan family story / | $c: Spike Milligan.,1991,u,mixed,3.98184279684638
mdp.39015053381318,"Parsons, Tony.",One for my baby / | $c: Tony Parsons.,2001,m,,3.979180925398316
uc1.$b242808,"Keable, Robert,","Lighten our darkness; | a novel, | $c: by Robert Keable ...",1927,m,,3.978136163644609
uc1.$b243175,"Herbert, A. P. Sir, (Alan Patrick),",Made for man.,1958,m,mixed,3.976807260059334
uiuo.ark:/13960/t9j391j9m,"Boddington,",The gossip's week,1836,f,high_female,3.974681280244841
uiuo.ark:/13960/t8gf13w9f,"Cecil, Langford.","Fenacre grange, a novel",1870,m,,3.97456279809221
mdp.39015005155398,"Powell, Anthony,",From a view to a death.,1948,m,,3.97408894011048
uc2.ark:/13960/t05x2774c,"Scott, P. E. S.",The gates of Kut,1917,f,high_female,3.974009974765037
uc2.ark:/13960/t3bz64c64,"Baldwin, May.","Barbara Bellamy, a public school girl",1909,f,high_female,3.9739704932690874
uiuo.ark:/13960/t8bg3345h,"Halsted, Leonora B.",Bethesda,1884,f,high_female,3.973536248584428
inu.30000107317632,"Haskell, John,",I am not Jackson Pollock / | $c: John Haskell.,2006,m,mixed,3.973141563033891
mdp.39015063926052,"Rawson, Marion Nicholl,",The priceless thing,1914,u,high_female,3.972059399311131
njp.32101067646032,"Hofland,",William and his Uncle Ben,1829,f,high_male,3.971090461440712
hvd.32044004468302,"Croker, Marianne Nicholson,",The adventures of Barney Mahoney,1832,f,,3.969093988145639
mdp.39015058734933,"Lewis, Damien.",Operation certain death / | $c: Damien Lewis.,2004,m,high_male,3.96897146309518
uiuo.ark:/13960/t5gb2c896,"Boyle, Frederick,",The treasure of Thorburns,1887,m,mixed,3.9664438847351406
mdp.39015056909156,"Gray, John MacLachlan.",The fiend in human / | $c: John MacLachlan Gray.,2002,m,mixed,3.966024391050005
uc2.ark:/13960/t15m64303,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,,3.9651385022878847
uc2.ark:/13960/t5fb4z20n,"Winter, John Strange,",Army society,1887,m,,3.964949843384481
uc1.b3810837,"Buchan, John,",The path of the king / | $c: John Buchan.,1923,m,high_male,3.963456927131845
wu.89015991284,"Arlen, Michael.","""Piracy""; | a romantic chronicle of these days.",1924,m,,3.9632527207729926
mdp.39015030851755,"Blackmore, R. D.",Mary Anerley,1880,m,mixed,3.963116594890222
mdp.39015001697328,"Hughes, M. V. (Mary Vivian),","A London family, 1870-1900; | a trilogy | $c: by M. V. Hughes.",1946,f,,3.9619651347068143
nyp.33433075765390,"Smith, B.",Joe Smith & his waxworks,1896,u,,3.960552893183889
mdp.39015030749108,"Haines, Pamela,",A kind of war / | $c: Pamela Haines.,1976,f,high_female,3.960043164470493
mdp.39015063923042,"Lipsett, H. Caldwell.",Where the Atlantic meets the land,1896,m,,3.955748361660887
mdp.39076006608181,"Huxley, Aldous,",Collected works.,1970,m,,3.950331169429704
mdp.39015063525862,"Baring-Gould, S.",Dartmoor idylls,1896,m,mixed,3.9499150768258486
uc2.ark:/13960/t4mk66m3m,"Cushing, Paul.",The bull i' th' thorn,1840,m,,3.948901218236026
mdp.39015014459088,"Jones, Gwyn,",Twenty-five Welsh stories; | $c: selected by Gwyn Jones and Islwyn Ffowc Elis; with an introduction by Gwyn Jones.,1971,u,,3.9487063050967928
uc1.b3325125,"Stockton, Frank Richard,",The shadrach,1893,m,mixed,3.948303545576584
nyp.33433082132113,"Hugo, Victor,",The man who laughs,1889,m,,3.946547954504195
uc2.ark:/13960/t3513x02s,"Stanton, Coralie.","Raven, V.C",1913,u,mixed,3.946267620084924
mdp.39015022236049,"Finney, Patricia,",Firedrake's eye / | $c: Patricia Finney.,1992,f,high_male,3.945457988763336
uc2.ark:/13960/t0vq2vj8x,"Herbert, A. P.",The secret battle,1919,u,mixed,3.9447213054397703
inu.30000110625906,"Rusbridge, Jane.",The devil's music / | $c: Jane Rusbridge.,2009,f,,3.944695370899982
inu.32000009614910,"Wilson, Colin,",The world of violence.,1963,m,,3.942999992114
mdp.39015009309934,"Thomas, Dylan,",The death of the king's canary / | $c: [by] Dylan Thomas and John Davenport ; with an introduction by Constantine FitzGibbon.,1976,m,,3.942207241834703
mdp.39015025157937,,Classic Welsh short stories / | $c: selected by Gwyn Jones and Islwyn Ffowc Elis ; with an introduction by Gwyn Jones.,1992,u,,3.9401103230890464
uiuo.ark:/13960/t4cn7r52t,"Savile, Charles Stuart,","Leonard Normandale; or, The three brothers",1850,m,high_male,3.940032702271429
mdp.39015005633568,"Sterne, Laurence,",The works of Laurence Sterne,1803,m,,3.939385981038422
uc2.ark:/13960/t5fb5910q,"Dawson, Alec John,",Mere sentiment,1897,m,mixed,3.9389204731956458
mdp.39015016440920,"Haliburton, Thomas Chandler,","The attaché, or, Sam Slick in England",1844,m,high_male,3.938713616132971
uiuo.ark:/13960/t86h53w8p,"Middlemass, Jean.","Nelly Jocelyn, widow",1887,f,,3.938093175284527
uiuo.ark:/13960/t02z1pv4v,"Hatton, Joseph,",Under the great seal,1893,m,,3.934839065082238
njp.32101067630457,"Bristow, Amelia,",Emma de Lissau,1830,f,high_female,3.933910306845004
uiuo.ark:/13960/t8cg02x3m,"Eden, Eleanor.",Dumbleton Common,1867,f,high_female,3.933059330199996
inu.30000107606992,"Doughty, Anne,",The hawthorns bloom in May / | $c: Anne Doughty.,2006,f,,3.932239646413011
mdp.39015024893383,"Brookner, Anita.",A closed eye / | $c: Anita Brookner.,1991,f,high_female,3.930817610062893
mdp.39015028701145,"Tongue, Ruth L.","Forgotten folk tales of the English counties; | $c: collected by Ruth L. Tongue, with an introduction by Katharine Briggs.",1970,f,mixed,3.930766106314121
mdp.39015011328922,,--and other stories : | a collection of contemporary short stories.,1981,u,,3.92695857058708
uc2.ark:/13960/t8nc5wf3m,"Maeterlinck, Maurice,",Three plays. with introd. by H. Granville Barker,1911,m,high_female,3.926804366606456
nyp.33433075909923,"Borrow, George Henry,",Wild Wales,1862,m,high_male,3.9254170755642783
mdp.39015001002784,"Freeling, Nicolas.",One damn thing after another / | $c: Nicolas Freeling,1981,m,high_female,3.924839326890055
