htid,author,title,year,authgender,female_category,transit
uc1.32106019365722,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,2.282306042024862
njp.32101076478989,"Balzac, Honoré de,",Comedy of human life,1887,f,,2.2820890242928376
nyp.33433075771620,"Prest, Thomas Peckett.",Ernnestine de Lacy;,1842,m,,2.281034905536642
mdp.39015080859328,"Marshall, Michael,",Bad things / | $c: Michael Marshall.,2009,m,high_female,2.280276369495983
uc1.b3073047,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,2.279427407835152
nyp.33433082227798,"Smollett, T.",The works of Tobias Smollett,1895,m,,2.2788906360383767
njp.32101032329045,"Lewis, M. G.",Feudal tyrants;,1806,m,,2.278682921271505
uiuo.ark:/13960/t3611cz09,"Ouida,",Tricotrin,1869,f,,2.2782157014626145
uc2.ark:/13960/t4th8f473,"Knight, F. A.",The Rajpoot's rings,1911,u,,2.277956217681496
njp.32101035036035,"Blessington, Marguerite,",Two friends,1835,f,,2.2762451060730218
nyp.33433082167747,"Dickens, Charles,",The personal history of David Copperfield,1866,m,mixed,2.275923911311797
mdp.39015026255326,,The Apocrypha according to the authorized version.,1929,u,,2.2749375814001103
nyp.33433074857768,"Hawkins, Laetitia Matilda,","The countess and Gertrude; or, Modes of discipline",1812,f,high_female,2.274588299517787
mdp.39015062628295,"Haig, Matt,",The last family in England / | $c: Matt Haig.,2005,m,,2.2744330975504354
njp.32101064912056,"Marks, Mary A. M.",Thorough,1894,f,,2.273218081176618
uiuo.ark:/13960/t70v94t43,"Vincent, Francis,",Arundel,1840,m,mixed,2.273192243868064
uc2.ark:/13960/t1gh9pw4v,"Carter, Thomas Thellusson,",Shakespeare's stories of the English kings,1912,m,high_male,2.2722624917630485
njp.32101010941746,"Reynolds, George W. M.",The mysteries of the court of London,1850,m,,2.271600859078143
uc2.ark:/13960/t9959jp2r,"Lever, Charles James,",The knight of Gwynne,1872,m,mixed,2.271423785214167
uiuo.ark:/13960/t81j9x38m,"King, Richard Ashe,",A Geraldine,1893,m,mixed,2.2709208584080844
uva.x000274092,,The British novelists,1810,m,,2.2699929630218145
mdp.39015032434956,"Clarke, Lindsay.",Alice's Masque / | $c: Lindsay Clarke.,1994,u,high_female,2.269967198973975
mdp.49015001015586,"Amadi, Elechi,",The great ponds.,1969,u,high_male,2.2699156726327616
mdp.39015070494409,"Richardson, Samuel,",The works of Samuel Richardson,1883,m,,2.269314704781068
