htid,author,title,year,authgender,female_category,urban_others
uiuo.ark:/13960/t6h13973w,"Briscoe,",The young bride. A novel,1857,f,high_female,4.75132740209296
uiuo.ark:/13960/t34177b5n,Clergyman.,"Antipodes, or, the new existence",1855,u,,4.750217718312089
uc2.ark:/13960/t4rj4b345,"Baring-Gould, S.",A book of fairy tales,1895,m,high_male,4.74612953136717
njp.32101064912049,"Marks, Mary A. M.",Thorough,1894,f,,4.7447333459859555
mdp.39015039496289,"Robins, Elizabeth,","Time is whispering, | $c: by Elizabeth Robins.",1923,f,mixed,4.742804488048133
uc1.32106018079001,"Keegan, Mel",Fortunes of war / | $c: Mel Keegan,2000,m,,4.732887653079335
mdp.39015000619463,"Greene, Robert,","Groats-vvorth of witte, | bought with a million of repentance, The repentance of Robert Greene 1592.",1923,m,high_male,4.729474082482028
mdp.39015014135555,"Morris, Jean,",A dream of fair children.,1966,f,mixed,4.727387330601954
uiuo.ark:/13960/t07w71f0t,"Tabor, Eliza.",Eglantine,1875,f,,4.72411186696901
uiuo.ark:/13960/t2k65444z,"Somers, Robert,",The martyr of Glencree,1878,m,high_female,4.722773212430339
uiuo.ark:/13960/t7vm4v912,"Ley, Beatrice.",Fiesole; a novel,1886,f,high_female,4.708873872813316
uc2.ark:/13960/t4vh5g41s,"La Motte-Fouqué, Friedrich Heinrich Karl,",Sintram and his companions,1901,m,,4.706768332862657
uiuo.ark:/13960/t3st84v0x,,"Millicent, or, The trials of life",1855,u,high_female,4.698217809377643
uiuo.ark:/13960/t5w67362v,"Riddell, J. H.,",The Earl's promise,1873,f,,4.697187950147178
mdp.39015058718951,"Basham, A. L. (Arthur Llewellyn)",Golden furrow : | a novel / | $c: by A.L. Basham.,2004,m,,4.696709954676749
inu.30000054447648,"White, T. H. (Terence Hanbury),",The sword in the stone / | $c: T. H. White.,1957,m,high_male,4.691839951955559
uc1.$b33738,"Savile, Frank (Frank Mackenzie)","The River of the Giraffe; | a chronicle of desert, stream, and forest shooting in the southern Sudan.",1925,m,high_male,4.691238330544652
uiuo.ark:/13960/t0tq6k46g,"Walford, Lucy Bethia,",Troublesome daughters,1880,f,high_female,4.688379071075826
njp.32101063577561,,Laxdæla saga,1899,u,,4.6875732433319275
mdp.39015032502802,"Persaud, Lakshmi.",Sastra / | $c: Lakshmi Persaud.,1993,u,mixed,4.686694474387215
uc1.$b398528,"Sitwell, Constance,",Seek paradise / | $c: by Constance Sitwell.,1948,f,,4.684498992832717
uc2.ark:/13960/t85h7rj52,"Thomas, Annie,",Only herself,1870,f,high_female,4.683499510834496
uc2.ark:/13960/t0zp47s8z,"Everett-Green, Evelyn,",Sir Aylmer's heir;,1890,f,mixed,4.681355720616691
uiuo.ark:/13960/t9960352k,"Braddon, M. E.",Sir Jasper's tenant,1865,f,,4.679968176216402
uiuo.ark:/13960/t9j394d6m,,"Eva Desmond, or, Mutation",1858,u,high_female,4.679566672126161
uc1.$b236188,"De la Mare, Walter,",The Walter De La Mare omnibus : | Henry Brocken ; The return ; Memoirs of a midget.,1933,m,,4.671747451561765
uiuo.ark:/13960/t3rv0x09k,"Davenport, Selina,",The hypocrite;,1814,f,high_female,4.66929703733103
uiuo.ark:/13960/t7br9c195,"Oliphant,",The house on the moor,1861,f,mixed,4.667589812207304
uiuo.ark:/13960/t2j682d0m,"Reade, Charles,",White lies,1857,m,high_female,4.664831832812427
mdp.39015059417702,"James, G. P. R.",The Step-mother,1846,m,mixed,4.660527198836732
nyp.33433008160214,,Tales of our coast,1896,m,high_male,4.659615115791436
uc2.ark:/13960/t4pk07g42,"Crawford, F. Marion",A tale of a lonely parish,1886,m,,4.650297619047619
mdp.39015059271778,,Amadis de Gaule / | $c: translated by Anthony Munday.,2004,u,high_male,4.649440775595602
mdp.39015038144393,"de Tudèle, Guillaume,",The song of the Cathar wars : | a history of the Albigensian Crusade / | $c: William of Tudela and an anonymous successor ; translated by Janet Shirley.,1996,u,high_male,4.648928421998729
uiuo.ark:/13960/t5cc1cg2j,"Erroll, Henry.",The academician,1888,m,,4.64889240138537
uc2.ark:/13960/t1vd6ww14,"De Morgan, William,",A likely story,1911,m,,4.647963262498373
nyp.33433082305537,,"Holidays at Brighton, or, Sea-side amusements",1834,u,mixed,4.6470560899670055
uc1.$b663097,"Kaczér, Illés,","Fear not, my servant Jacob. | A novel | $c: by Illés Kaczér, translated from the Hungarian by Lawrence Wolfe.",1947,u,high_male,4.642489612429492
uiuo.ark:/13960/t23b6k457,"Macquoid, Katharine S.",Appledore farm,1894,f,high_female,4.64101731099457
