htid,author,title,year,authgender,period,diff
wu.89031830839,"Laâbi, Abdellatif,",Rue du Retour / | $c: Abdellatif Laâbi ; translated from the French by Jacqueline Kaye ; foreword by Breyten Breytenbach ; introduction by Victor Reinking.,1989,u,1951-2009,0.22190746200599876
uc1.b5018339,"Łysek, Paweł.","At the border / | $c: [by] Paweł Łysek ; edited, with an introduction by Thomas E. Bird ; chief translator [from the Polish] John Zbigniew Kłosek.",1977,u,1951-2009,0.22190746200599876
inu.39000001971774,,More modern African stories : | a collection of contemporary African writing / | $c: edited and with an introduction by Charles R. Larson.,1975,u,1951-2009,0.22190746200599876
mdp.39015059226624,"Rushforth, Peter,",Pinkerton's sister / | $c: Peter Rushforth.,2004,m,1951-2009,0.22190746200599876
uc1.32106014511114,"Selenić, Slobodan",Premeditated murder / | $c: Slobodan Selenić,1996,u,1951-2009,0.22190746200599876
inu.39000005570515,"McLeish, Kenneth,",In the beginning : | Creation myths from around the world / | $c: concept and illustrations by Helen Cherry ; stories retold by Kenneth McLeish.,1984,m,1951-2009,0.22190746200599876
mdp.39015032519186,"Mendoza, Eduardo,",The year of the flood / | $c: Edwardo Mendoza ; translated from the Spanish by Nick Caistor.,1995,m,1951-2009,0.22190746200599876
mdp.39015073678107,"Donald, Elsie Burch.",A model American / | $c: Elsie Burch Donald.,2007,f,1951-2009,0.2219908439788164
uc1.$b301050,"Key, Alexander,",Island light / | $c: by Alexander Key..,1951,m,1951-2009,0.22204072426612675
mdp.39015048736949,"Boyle, Jimmy,",Hero of the underworld / | $c: Jimmy Boyle.,1999,m,1951-2009,0.22204072426612675
inu.30000001742802,"Shell, Ray.",Iced / | $c: Ray Shell.,1993,m,1951-2009,0.22209759414783758
uc1.b3834609,"Cusack, Dymphna.",Black lightining.,1964,u,1951-2009,0.22209759414783758
mdp.39015015521092,"Badr, Liyānah.",A compass for the sunflower / | $c: Liana Badr ; translated from the Arabic by Catherine Cobham.,1989,u,1951-2009,0.22209759414783758
uc1.b2834851,"Szymański, Leszek,",On the wallaby track.,1967,u,1951-2009,0.22223913696453956
mdp.39015016451703,"Blechman, Burt,","The Octopus papers, | $c: selected, adapted, compiled & annotated by Burt Blechman.",1966,m,1951-2009,0.22223913696453956
uc1.32106018682770,"Ndebele, Njabulo S. (Njabulo Simakahle)",The cry of Winnie Mandela : | a novel / | $c: Njabulo S. Ndebele,2003,u,1951-2009,0.22223913696453956
mdp.39015061210400,"MacLeod, Alison,",The wave theory of angels / | $c: Alison Macleod.,2005,f,1951-2009,0.22223913696453956
uc1.b4350622,"Perutz, Kathrin,",The garden / | $c: Kathrin Perutz.,1962,f,1951-2009,0.22223913696453956
mdp.39015019834483,"Brodkey, Harold.",The abundant dreamer / | $c: Harold Brodkey.,1989,m,1951-2009,0.22223913696453956
mdp.39015018860497,"Dawkins, Cecil,",Charleyhorse / | $c: Cecil Dawkins.,1986,m,1951-2009,0.22223913696453956
mdp.39015022101409,"Amosov, Nikolaĭ Mikhaĭlovich.",Russian surgeon | $c: [by] Prof. N. Amosoff; translated from the Russian by George St. George.,1966,u,1951-2009,0.22223913696453956
uc1.b3671775,"Nowak-Solinski, Witold.",Krysia : a romantic polish trilogy.,1989,u,1951-2009,0.22223913696453956
uc1.b4381825,"Gill, Brendan,",Ways of loving.,1974,m,1951-2009,0.22232874269930658
mdp.39015046362615,"Canetti, Elias,","Auto da fé, | $c: by Elias Canetti, translated from the German under the personal supervision of the author by C. V. Wedgwood.",1971,m,1951-2009,0.22237978394062952
inu.30000042632582,"Carroll, Jonathan,",The panic hand / | $c: Jonathan Carroll.,1995,m,1951-2009,0.22237978394062952
uc1.32106005659294,"Kenan, Amos,",The road to Ein Harod / | $c: Amos Kenan ; translated by Dina Hecht.,1985,m,1951-2009,0.22243579379836453
mdp.39015063642469,"Parker, Richard,","A Moor of Spain, | the story of a rogue. | $c: Illustrated by John Harwood.",1953,m,1951-2009,0.22248468638135954
uc1.$b703651,"Joyeux, Odette.",Open arms / | $c: by Odette Joyeux ; translated from the French by Elspeth Grant and Peter de Polnay.,1954,f,1951-2009,0.22256593435016037
