htid,author,title,year,authgender,female_category,urban_generics
njp.32101068970167,"Jersey, Margaret Elizabeth Leigh Child-Villiers,","Maurice, or, the red jar",1894,f,high_male,18.548574078367725
uc2.ark:/13960/t5n874m25,,The History of little King Pippin,1810,m,high_male,18.5459940652819
uiuo.ark:/13960/t6834fm8s,"Tabor, Eliza.",A man's mistake,1881,f,high_female,18.539804961251807
uc2.ark:/13960/t1pg1tn2w,"Paton, Margaret (Whitecross)",Letters and sketches from the New Hebrides,1905,f,high_male,18.513783952957358
uc1.31175029135012,"Clement, George.",The strange cult / | $c: by George Clement.,1920,m,high_female,18.511890804526775
inu.39000005907436,"Simpson, Jacqueline.",The Northmen talk; | a choice of tales from Iceland. | $c: Translated and with an introd. by Jacqueline Simpson. Foreword by Eric Linklater.,1965,f,high_male,18.49112426035503
inu.39000005845891,"Mohanti, Prafulla.",Indian village tales / | $c: [by] Prafulla Mohanti ; illustrated by the author.,1975,u,,18.488275352047577
uc2.ark:/13960/t7np1zf1s,"Crichton, Madeline.",Like a sister,1893,f,high_female,18.42541654602406
uiuo.ark:/13960/t7cr6dx7f,Author of Rare pale Margaret.,Pomegranate seed,1886,u,high_female,18.421295017039697
uc1.b3322502,"Gascoigne, Caroline Leigh,",The school for wives,1842,f,high_female,18.41479321721783
uc2.ark:/13960/t85h7fg1h,"Ellis, Havelock,",Seaweed,1898,f,high_female,18.40942562592047
nyp.33433022846665,"Lymburner, A. L.",The Mohawk chief,1857,u,mixed,18.38419627636461
njp.32101067487007,"Walpole, Horace,",The castle of Otranto;,1811,m,mixed,18.383028787823083
uc1.$b243178,"Plaidy, Jean,","The sixth wife, | $c: by Jean Plaidy [pseud.]",1953,f,high_female,18.38220602456822
uiuo.ark:/13960/t14m9t26n,"Roche, Regina Maria,",Contrast,1828,f,high_female,18.350436881554987
uc1.31822010542447,"La Croix, Robert de",Mysteries of the Pacific / | $c: by Robert de La Croix. Translated from the French by James Cleugh,1957,m,high_male,18.33732825127379
uiuo.ark:/13960/t03x8kq7w,"Broughton, Rhoda,"," Good-bye, Sweetheart!",1872,f,high_female,18.332813903606066
mdp.39015004174440,"Malory, Thomas, Sir,","Le morte Darthur; | the history of King Arthur and of his noble knights of the round table, | $c: by Sir Thomas Malory.",1929,m,high_male,18.330713568852453
uiuo.ark:/13960/t9572451c,"Croffts,",Ankerwick Castle,1800,f,mixed,18.31401205061993
uiuo.ark:/13960/t1ng57b21,"Duchess,",A point of conscience,1896,f,mixed,18.291806577211023
njp.32101032329045,"Lewis, M. G.",Feudal tyrants;,1806,m,,18.22946337017204
mdp.39015005604429,"Collins, Wilkie,",Poor Miss Finch,1872,m,high_female,18.22544880167674
mdp.39015008290317,"Jones, Gwyn,","Eirik the Red, | and other Icelandic sagas.",1961,u,high_male,18.2144385854667
uc2.ark:/13960/t83j3b321,,The amulet,1865,u,,18.173557473875512
uc1.b3322561,"Grey, Elizabeth Caroline.",The trials of life,1829,f,high_female,18.13894431344096
njp.32101067179463,"Trollope, Frances Milton,",Mrs. Mathews;,1851,f,high_female,18.118403768627985
uc1.b4375980,"Jones, Gwyn,","Eirik the Red, | and other Icelandic sagas.",1961,u,high_male,18.104626637337173
mdp.39015009159974,,Persian fables.,1960,u,high_male,18.088906977795865
