htid,author,title,year,authgender,female_category,urban_global_fraction
nyp.33433074870100,"Hood, Tom,",From nowhere to the North Pole,1875,m,high_male,0.1428571428571428
uc1.b4974537,"McCrory, Moy.",The fading shrine / | $c: Moy McCrory.,1990,u,high_female,0.1428571428571428
uiuo.ark:/13960/t7pn9gh3v,"Gifford, George,",King's baynard,1866,f,,0.1428571428571428
uiuo.ark:/13960/t11n8nh7x,,Miss Russell's hobby,1865,u,high_female,0.1428571428571428
hvd.32044009594987,"Brown, Charles Brockden,","Carwin, the biloquist",1822,m,high_female,0.1428571428571428
uc1.b3578772,"Hewlett, J.","Peter Priggins, the college scout",1841,m,high_male,0.1428571428571428
dul1.ark:/13960/t5bc4sx44,,The affecting history of Caroline;,1805,u,,0.1428571428571428
uiuo.ark:/13960/t7sn0fs60,"Banks, G. Linnaeus","Wooers and winners, or, Under the scars",1880,f,,0.1428571428571428
mdp.39015012296037,"Raven, Simon,",Close of play / | $c: Simon Raven.,1986,m,,0.1428571428571428
mdp.39015012416254,"Saʻdāwī, Nawāl.",Woman at point zero / | $c: Nawal El Saadawi ; translated by Sherif Hetata.,1983,u,high_male,0.1428571428571428
mdp.39015067702079,"Griffiths, Niall,",Runt / | $c: Niall Griffiths.,2007,m,,0.1428571428571428
uiuo.ark:/13960/t8kd2ht61,"Roche, Regina Maria,",The discarded son;,1807,f,,0.1428571428571428
mdp.39015050824534,"Donovan, Anne.",Hieroglyphics : | and other stories / | $c: Anne Donovan.,2001,f,high_female,0.1428571428571428
mdp.39015000538689,"Osbourne, Ivor.",The mercenary / | $c: Ivor Osbourne.,1977,m,high_male,0.1428571428571428
uiuo.ark:/13960/t8v98s93w,"Slingsby, Henry.",My grandmother's guests and their tales,1825,m,,0.1428571428571428
mdp.39015029157487,,By Creek and Gully;,1899,f,mixed,0.1428571428571428
mdp.39015060403303,"Wilson, Anna,",Hatching stones / | $c: Anna Wilson.,1991,f,,0.1428571428571428
mdp.39015076168940,"Garrood, Frances.",Dead Ernest / | $c: Frances Garrood.,2007,f,high_female,0.1428571428571428
njp.32101068970282,"Jocelyn, Robert,",Only a horse dealer,1893,f,high_female,0.1428571428571428
mdp.39015028010760,"Gusev-Orenburgskiĭ, S. I. (Sergeĭ Ivanovich),","The land of the fathers, | $c: by Sergey Gussiev Orenburgsky ; translated by Nina N. Selivanova.",1925,u,,0.1428571428571428
njp.32101068169547,"Gaspey, Thomas William,","Calthorpe; or, Fallen fortunes",1821,m,mixed,0.1428571428571428
