htid,author,title,year,authgender,female_category,intl_subcountry_intensity
uc2.ark:/13960/t39z91j6z,"Donald, Charles H.",In nature's garden,1922,m,high_male,29.943481678332148
uiuo.ark:/13960/t5bc4cm63,"Hardy, Iza Duffus.",A broken faith,1879,f,,29.931718267701804
uc1.$b372446,"Jefferies, Richard,","After London, or, Wild England",1886,m,mixed,29.931158335827597
uiuo.ark:/13960/t4th95j1n,"Smith, Horace,","Jane Lomax; or, A mother's crime",1838,m,,29.916410030796303
mdp.39015055583572,"Baker, Jo.",Offcomer / | $c: Jo Baker.,2001,f,high_female,29.910154497451884
mdp.39015051155912,"Banim, John,",Tales,1826,m,,29.899656751940483
mdp.39015006945011,"Martineau, Harriet,",Illustrations of political economy,1832,f,,29.890540839445947
mdp.39015070201515,"Hyne, Charles John Cutcliffe Wright,","Ben Watson, | $c: by C. J. Cutcliffe-Hyne. Illustrated by Gilbert Holiday.",1926,m,,29.868578255675025
mdp.39015009215792,"Ewing, Juliana Horatia Gatty,",Six to sixteen,1886,f,high_female,29.85888431629646
mdp.39015016453097,"Barker, A. L. (Audrey Lillian),","John Brown's body, | $c: by A. L. Barker.",1969,f,,29.8414820473644
mdp.39076005051995,"Thomas, Dylan,",Adventures in the skin trade.,1955,m,,29.840725129620644
uiuo.ark:/13960/t7mp5nr8p,"Robinson, F. W.","In bad hands, and other tales",1887,m,mixed,29.837831386414837
njp.32101068970662,"Kavanagh, Julia,","Seven years, and other tales",1860,f,,29.83091296153168
yul.11877203_000_00,"Goudge, Elizabeth,",The herb of grace | $c: by Elizabeth Goudge.,1948,f,high_female,29.82517371577244
nyp.33433074856869,"Gaskell, Elizabeth Cleghorn,",Ruth,1853,f,high_female,29.82310191652671
mdp.39015005899391,"Murdoch, Iris.",A word child / | $c: Iris Murdoch.,1975,f,mixed,29.819995662546088
uc1.b3940672,"Romanov, Panteleĭmon,",Without cherry blossom,1930,u,,29.801373843334176
mdp.39015070494391,"Richardson, Samuel,",The works of Samuel Richardson,1883,m,,29.78973033419494
uc1.$b244767,"Strong, L. A. G. (Leonard Alfred George),","The last enemy; | a study of youth, | $c: by L. A. G. Strong.",1936,m,high_male,29.778432366741512
uiuo.ark:/13960/t6xw50s5d,"Oliphant,",The son of his father,1887,f,mixed,29.77560024903229
uc1.32106017520799,"Osborne, Charles,",Blithe spirit : | a novelisation / | $c: by Charles Osborne,2004,m,high_female,29.775430568397297
uc2.ark:/13960/t0pr7sg01,"Mathers, Helen,",Eyre's acquittal,1884,f,,29.77485627905911
uiuo.ark:/13960/t05x2wh1c,"Oliphant,",The minister's wife,1869,f,high_female,29.765570472554092
umn.319510020453593,"Dickens, Monica,",The angel in the corner.,1956,f,high_female,29.75693663224055
njp.32101068584745,"Miller, Thomas,",Lady Jane Grey,1840,m,mixed,29.74032974590606
inu.32000001697616,"Stuart, Peter Alan.",An African Attila: | tales of the Zulu reign of terror.,1927,m,high_male,29.72298180953513
uc1.$b389713,"Davies, Rhys,",Nobody answered the bell.,1971,m,high_female,29.719338001746006
njp.32101068970670,"Kavanagh, Julia,",Nathalie,1850,f,high_female,29.718021694155837
mdp.39015009227243,"Martineau, Harriet,",The billow and the rock,1846,f,high_female,29.710177221207125
uiuo.ark:/13960/t0ms4cv12,"Trollope, Frances Milton,",Young love;,1844,f,high_female,29.70708811122334
uc2.ark:/13960/t4fn15j60,"Hocking, Silas K.",Dick's fairy,1883,m,high_male,29.7033904298505
uiuo.ark:/13960/t9s18b93d,"Day, Julia.",The Gilberts & their guests,1858,f,high_female,29.681769033434392
uiuo.ark:/13960/t2b85p07r,"Hardinge, William Money,",Eugenia,1883,m,high_female,29.66753815059984
mdp.39015063076981,"Edwards, Bruce.",Rachel Noble's experience,1863,m,,29.66332130320859
mdp.39015005513612,"Van Vogt, A. E. (Alfred Elton),",Supermind / | $c: A.E. Van Vogt.,1978,m,mixed,29.660388551090016
dul1.ark:/13960/t74t7bp9b,"Besant, Walter,",The revolt of man,1896,m,,29.65838927984038
uc2.ark:/13960/t6d21wp4w,"Skinner, M. L.",Letters of a V.A.D,1918,u,,29.658284977433915
uc2.ark:/13960/t0zp47s8z,"Everett-Green, Evelyn,",Sir Aylmer's heir;,1890,f,mixed,29.648586230572377
uiuo.ark:/13960/t1tf0629q,"Tennyson, Mary H.",Friend Perditus A novel,1890,f,mixed,29.64766095559092
uc2.ark:/13960/t47p9421d,"Gorky, Maksim,",Three of them,1905,m,,29.637074691871067
uiuo.ark:/13960/t78s5d297,"West,",The infidel father,1802,f,high_female,29.631695455892345
uiuo.ark:/13960/t2w38cs9p,"Saunders, John,","Israel Mort, overman",1873,m,high_male,29.629159325513353
inu.30000060951062,"Geldart, Edmund Martin,",Folk-lore of modern Greece,1884,m,high_male,29.626703535453288
mdp.39015001210247,"Szechter, Szymon.",A stolen biography / | $c: Szymon Szechter ; translated by Frances Carroll and Nina Karsov.,1983,u,,29.62611838596907
uiuo.ark:/13960/t2z32fb53,"Riddell, J. H.,","Frank Sinclair's wife, and other stories",1874,f,,29.58579881656805
mdp.39015078788786,"Waites, Martyn.",Speak no evil / | $c: Martyn Waites.,2009,m,,29.57559027948933
nyp.33433074868336,"Tynan, Katharine,",The way of a maid,1895,f,high_female,29.5674701509349
inu.32000009193022,"Chaplin, Sid.",The watchers and the watched / | $c: Sid Chaplin.,1962,m,mixed,29.564417580973657
mdp.39015019669392,"Gale, Patrick,",The cat sanctuary / | $c: Patrick Gale.,1990,m,high_female,29.53999103614065
uc1.$b686407,"Matthews, W. R. (Walter Robert),",The adventures of Gabriel in his search for Mr. Shaw : | a modest companion for Mr. Shaw's Black girl / | $c: by W.R. Matthews ; illustrated by Ruth Wood.,1933,m,high_male,29.533372711163615
mdp.39015018851314,"Figes, Eva.",The tree of knowledge / | $c: Eva Figes.,1990,f,mixed,29.52875579718955
uiuo.ark:/13960/t4jm2xs5q,"Wood, Henry,",Oswald Cray,1864,f,,29.5249759426122
njp.32101068971470,"Kernahan, Coulson,",The house of Rimmon,1885,f,,29.521602432580043
mdp.39015038154939,"Kʻiačʻeli, Leo,",Gvadi Bigva / | $c: Leo Kiacheli ; translated from the Russian version of the original Georgian by Stephen Garry.,1940,m,high_female,29.517971524996803
mdp.39015050470502,"Greenlaw, Lavinia,",Mary George of Allnorthover / | $c: Lavinia Greenlaw.,2001,f,high_female,29.515938606847698
uc1.$b198089,"Donald, Charles H.","Companions feathered, furred and scaled",1920,m,,29.51277098089719
uiuo.ark:/13960/t8jd57r2q,"Gaskell, Elizabeth Cleghorn,",Sylvia's lovers,1863,f,,29.50976896310049
umn.31951002134535d,"Carter, Reginald.",Nest for cuckoos.,1946,m,mixed,29.50277038209685
nyp.33433074859889,"Gwynne, Talbot.",The life and death of Silas Barnstarke: a story of the seventeenth century,1862,m,high_male,29.49539281964157
njp.32101064918962,"Craik, Georgiana M.",Patience Holt,1891,f,,29.48928248889544
nyp.33433074856877,"Gaskell, Elizabeth Cleghorn,",Ruth,1853,f,high_female,29.47852489461427
mdp.39015043790826,"Crewe, Candida,",The last to know / | $c: Candida Crewe.,1998,f,,29.47549550697852
nyp.33433074946934,"Cobb, Thomas,",The judgment of Helen,1899,m,high_female,29.47335763592647
uc1.b3579176,"Le Fanu, Joseph Sheridan,",The Wyvern mystery,1869,m,,29.47027186325794
mdp.39015063948015,"Molesworth,",This and that,1899,f,,29.462131953523492
uiuo.ark:/13960/t9m33dn3z,"Payn, James,",Less black than we're painted,1878,m,mixed,29.454117031025003
mdp.39015017905889,"Ngũgĩ wa Thiongʼo,",Matigari / | $c: Ngũgĩ Wa Thiong'o ; translated from the Gĩkũyu by Waugũi wa Goro.,1989,u,high_male,29.406757363297267
uiuo.ark:/13960/t6sx6p93x,"Gissing, Algernon,",The scholar of Bygate,1897,m,,29.395553922469222
mdp.39015029990739,"Liezi,","Ch'ung-hu-ch'en ching, or, The treatise of the transcedent master of the void / | $c: translated by Léon Wieger ; English edition by Derek Bryce.",1992,u,high_male,29.395138496325607
uiuo.ark:/13960/t15m6vx5z,"Spender, John Kent,",Mr. Nobody,1884,f,,29.390154298310065
mdp.39015080843736,"Nichols, Mary,",The summer house / | $c: Mary Nichols.,2009,f,,29.3839363896545
hvd.hn2he2,"Helme, Elizabeth,",Instructive rambles in London and the adjacent villages,1800,f,,29.38008030555284
uc1.b4974561,"Potter, Dennis.",Blackeyes / | $c: Dennis Potter.,1987,m,,29.379360998898267
uc2.ark:/13960/t8ff3p96v,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,,29.37477624682155
mdp.39015040054002,"D'Aguiar, Fred,",Feeding the ghosts / | $c: Fred D'Aguiar.,1997,m,high_male,29.36745064991445
wu.89100097930,"Duhamel, Georges,",The new book of martyrs,1918,u,high_male,29.355975070002707
uiuo.ark:/13960/t2988r476,"Marryat, Florence,",The Hampstead mystery,1894,f,,29.34864354238128
mdp.39015016455894,"Adamson, Margot Robert,","The forester's wife, | $c: by Margot Robert Adamson; with a preface by Sir Arthur Quiller-Couch.",1931,m,high_female,29.34788988671714
uc1.$b703707,"Boulle, Pierre,",The Chinese executioner. | $c: Translated from the French by Xan Fielding.,1962,m,high_male,29.344568110838622
mdp.39015038017987,"Gladkov, Fedor,",Cement / | $c: by Feodor Vasilievich Gladkov ; translated from the Russian by A. S. Arthur and C. Ashleigh.,1929,u,high_male,29.33739400120144
uiuo.ark:/13960/t17m0xg0w,"Strange, Calthorpe.",Two worlds of fashion,1872,u,,29.33354192740926
uiuo.ark:/13960/t6zw22w29,"Russell, William Clark,","Alone on a wide, wide sea",1892,m,high_female,29.328738497635367
mdp.39015000543895,"Peake, Mervyn Laurence,","Letters from a lost uncle, | from polar regions. | $c: Written and illustrated by Mervyn Peake.",1948,m,high_male,29.31691586045148
uc1.b3548014,"Rowcroft, Charles,",Fanny the little milliner,1853,m,,29.29864373914618
mdp.39015063948056,"Moncrieff, A. R. Hope",Cap and gown comedy,1893,u,high_male,29.29001015387019
uiuo.ark:/13960/t7dr36h2b,"Dalton, James,",The maiden's talisman,1834,m,,29.289545462866343
mdp.39015012924240,"Green, Henry,",Blindness : | a novel / | $c: by Henry Green.,1977,m,high_female,29.27721866422689
uiuo.ark:/13960/t0pr8fz2h,"Brookfield, Arthur Montagu,",The autobiography of Thomas Allen,1882,m,mixed,29.2668650309741
uiuo.ark:/13960/t2k653z0c,"Shipton, Helen.",Alston Crucis,1893,f,,29.26115581565472
njp.32101068574464,"Lawrence, D. H.","The Prussian officer, and other stories",1914,m,high_female,29.257160690078894
uiuo.ark:/13960/t5gb2gf86,"Gissing, Algernon,",The scholar of Bygate,1897,m,,29.234957700670577
uc2.ark:/13960/fk26970219,"Freeman, Mary Eleanor Wilkins,",A far-away melody,1905,f,high_female,29.213072850100417
uiuo.ark:/13960/t49p3c32k,"Church,",Measure for measure,1862,f,,29.2024091987589
dul1.ark:/13960/t3nw0276b,"Linton, E. Lynn",Under which Lord?,1879,f,high_female,29.2024091987589
mdp.39015030018512,"Bojer, Johan,",God and woman,1921,m,mixed,29.19951612230426
uc1.b4102789,"Gissing, George,",Thyrza;,1892,m,high_female,29.198686482277665
mdp.39015043041667,"Fane, Julian,",The social comedy / Julian Fane,1998,m,,29.189288365149658
mdp.39015027238271,"Fowles, John,",Mantissa / | $c: John Fowles.,1982,m,high_male,29.18900649839461
uc1.$b118707,"Hodder-Williams, Christopher,",The higher they fly : | a novel / | $c: by Christopher Hodder-Williams.,1963,m,,29.188862364089356
uc1.$b245076,"Wallace, Doreen Eileen Agnew,",The interloper.,1956,f,mixed,29.187575073810887
