htid,author,title,year,authgender,female_category,urban_metric_global_frac
mdp.39015066018634,"Defoe, Daniel,","The fortunate mistress, | or A history of the life and vast variety of fortunes of Mademoiselle de Beleau, afterwards call'd the Countess de Wintselsheim, in Germany. Being the person known by the name of the Lady Roxana, in the time of King Charles II.",1927,m,high_male,-0.0725601486067029
uc2.ark:/13960/t26972r4k,"Lever, Charles James,",[Charles Lever's novels,1872,m,,-0.07272737102515853
mdp.39015063964608,"Willcocks, M. P.",The power behind,1913,f,high_female,-0.0728701973200402
mdp.39015005311181,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,mixed,-0.07287319061299663
uc2.ark:/13960/t53f4nm3g,,Recollections of a French marchioness,1846,u,,-0.07287410615718265
mdp.39015054181535,"Rose, Lynda.",Shooting the shaman / | $c: Lynda Rose.,2001,f,mixed,-0.07290893625884665
uc2.ark:/13960/t1dj5hp5s,"Broughton, Rhoda,",Dear Faustina,1897,f,high_female,-0.07304076068325543
uc2.ark:/13960/t38054f9t,"Belloc, Hilaire,",Pongo and the bull,1910,m,,-0.07308125322356247
uc1.32106013217986,"Hocking, Mary.",The meeting place / | $c: Mary Hocking,1996,f,high_female,-0.07311071933662033
uc1.b3325430,"Edgeworth, Maria,",Harrington,1817,f,mixed,-0.07339401450295666
mdp.39015065764063,"Thomson, Richard,",Tales of an antiquary,1828,m,high_male,-0.07348692035057139
uc1.$b299880,"Coppard, A. E. (Alfred Edgar),",Polly Oliver; | tales / | $c: by A.E. Coppard.,1935,m,,-0.07351666963206874
uc2.ark:/13960/t7pn90h6h,"Gore,",The story of a royal favourite,1845,f,,-0.0735713004973247
mdp.39015059418114,"Strong, L. A. G. (Leonard Alfred George),","Sea wall, | $c: by L. A. G. Strong.",1933,m,high_male,-0.0736787486276562
mdp.39015034653686,"Powell, Anthony,","Books do furnish a room, | a novel.",1971,m,,-0.07377054203438815
uc1.32106013458853,,Contemporary Norwegian women's writing : | an anthology / | $c: edited by Janet Garton,1995,u,high_female,-0.07377313642377326
mdp.39015038923598,"Mann, Thomas,",Stories and episodes [from the novels. | $c: With an introd. by E.F. Bozman],1940,m,high_male,-0.07390145989733651
uc1.$b243207,"Grayland, Valerie.",The dead men of Eden.,1962,f,mixed,-0.07392860542019275
uc1.b3296373,"Turquan, Joseph,",The Empress Josephine,1913,m,high_female,-0.07394044888507781
mdp.39015029482273,"Carter, Angela,",The infernal desire machines of Doctor Hoffman: | a novel.,1972,f,,-0.07398966082256297
mdp.39076006257922,"Faulkner, William,",The collected short stories of William Faulkner / | $c: William Faulkner.,1958,m,mixed,-0.07406215144857417
inu.32000001379330,"Hadath, Gunby.",Men of the Maquis.,1947,u,high_male,-0.07425909009563672
mdp.39015063615911,"Méléra, Marguerite Yerta,",Six women and the invasion,1918,f,high_female,-0.07445208254128571
uiuo.ark:/13960/t1zc8d429,"Clarke, Charles.",Lord Falconberg's heir,1868,m,high_male,-0.07451227640918126
uiuo.ark:/13960/t59c78h4c,"Coulton,",My eldest brother,1861,f,high_female,-0.07454950070419414
njp.32101076207743,,Tales from  Blackwood,1858,u,mixed,-0.07459945580198857
mdp.39015051149857,"Hanley, Clifford.",The taste of too much / | $c: Clifford Hanley.,1989,m,mixed,-0.07478454302141405
mdp.39015025194179,"Ellis, Alice Thomas.",Pillars of gold / | $c: Alice Thomas Ellis.,1992,f,high_female,-0.07481018423088603
mdp.39015059378540,"Yonge, Charlotte M.",Heartsease;,1854,f,high_female,-0.07488490894816752
uc1.$b322956,"Bates, H. E. (Herbert Ernest),","The golden oriole, | five novellas.",1962,m,mixed,-0.07489088048129755
mdp.39015059246853,"McCall Smith, Alexander,",44 Scotland Street / | $c: Alexander McCall Smith.,2005,m,mixed,-0.07490189032875871
uc2.ark:/13960/t3gx4jc7q,"Merriman, Henry Seton,",Prisoners and captives,1891,m,mixed,-0.07496067043711362
mdp.39015078793505,"Brookmyre, Christopher,",A snowball in hell / | $c: Christopher Brookmyre.,2008,m,,-0.07499566041611094
mdp.39015058737548,"Beard, Richard,",Dry bones / | $c: Richard Beard.,2004,m,mixed,-0.07502842126896042
uc2.ark:/13960/t9d50n23x,"Lever, Charles James,",The Martins of Cro' Martin,1872,m,,-0.07514635370022374
uc1.32106009530954,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1974,m,high_male,-0.07535105990958224
uc1.$b557176,"Rogers, Stanley Reginald Harry,",Barenetha Rock. | A true drama of the sea / | $c: Stanley Rogers.,1957,m,high_male,-0.07537810605971004
uiuo.ark:/13960/t78s5647p,"Harrison, F. Bayford.",The ideal artist;,1893,m,,-0.07544308924776441
mdp.39015014516044,"Holden, Ursula.",Unicorn sisters / | $c: Ursula Holden.,1988,f,high_female,-0.07557787401635341
wu.89094365780,"May, William John,",Stories of Bible women / | $c: by William J. May.,1950,m,high_female,-0.07564479596641704
mdp.39015019637555,"Dick, Kay.",The shelf : | a novel / | $c: by Kay Dick.,1984,f,high_female,-0.07579003684145544
uc1.$b243834,"Niall, Ian.","No resting place, | $c: by Ian Niall [pseud.]",1948,u,,-0.07594718426872193
nyp.33433074856299,"Gissing, George,",In the year of jubilee,1894,m,,-0.07606414178708895
uc1.$b244767,"Strong, L. A. G. (Leonard Alfred George),","The last enemy; | a study of youth, | $c: by L. A. G. Strong.",1936,m,high_male,-0.07610323506690775
mdp.39015032509302,"Fine, Anne.",In cold domain / | $c: Anne Fine.,1994,f,,-0.07616406874470397
uva.x000236191,"Molesworth,",The carved lions,1895,f,high_female,-0.07625339524958569
mdp.39015047487759,"Murray, Donald S.",Special deliverance / | $c: Donald S. Murray.,1997,m,mixed,-0.07625422522134048
njp.32101068971033,"Kaye-Smith, Sheila,",Isle of Thorns,1913,f,,-0.07637721362068467
uc1.31158009967646,"Caird, Mona Alison.",The stones of sacrifice,1915,f,high_female,-0.07639080116749902
nyp.33433074868146,"Hofland,",Self-denial,1835,f,high_female,-0.07650554595622239
mdp.39015003928861,"Gerhardie, William Alexander,",Works.,1970,m,,-0.07651326952547861
uiuo.ark:/13960/t9z03gp2t,,"David Armstrong, or, Before the dawn",1880,u,mixed,-0.07657623933330268
uc1.b3834693,"De la Mare, Walter,",Ding dong bell / | $c: by Walter de la Mare.,1924,m,mixed,-0.07684661985897615
mdp.39015014117918,"Porter, Jane,",The pastor's fire-side,1817,f,,-0.07696544900329694
njp.32101068574530,"Orczy, Emmuska Orczy,",Lady Molly of Scotland Yard,1910,f,high_female,-0.07700863199094857
uc1.b3834727,"Eldershaw, M. Barnard.",Plaque with laurel.,1937,u,,-0.07701299577001475
uiuo.ark:/13960/t3ws9042s,"Collins, Mortimer,",Marquis and merchant,1871,m,mixed,-0.07711607462500117
uc1.32106006623703,"Sharpe, Tom.",The throwback / | $c: [by] Tom Sharpe.,1978,m,,-0.07715340174269648
mdp.39015060882324,"Nwokedi, David,",Fitzgerald's Wood / | $c: David Nwokedi.,2005,m,,-0.07731037002513552
uiuo.ark:/13960/t5q81zc29,"Wynne, Catherine Simpson.",The story of a kiss,1887,f,,-0.0774284418506272
uiuo.ark:/13960/t3zs39k16,"Noel, Augusta,",From generation to generation,1879,f,,-0.0775356219020305
uiuo.ark:/13960/t5h99sm6t,,Wedded life in the upper ranks,1831,u,,-0.07760426861353548
uiuo.ark:/13960/t9p27d82b,Royalist.,The loyalist's daughter,1867,u,,-0.0776552966436709
nyp.33433075728547,"Fletcher, J. S.",The making of Matthias,1898,m,high_male,-0.07768914758587506
mdp.39015003679985,"Galsworthy, John,","Captures, | $c: by John Galsworthy.",1923,m,high_male,-0.07775164923655742
njp.32101064790866,"Smythies, Gordon,","Cousin Geoffrey, the old bachelor",1840,f,,-0.07776868578770929
uc2.ark:/13960/t3610xn3z,"Martin, Mary Letitia,",Julia Howard,1850,f,,-0.07787177626275071
njp.32101067299915,"Grey,",The gambler's wife,1844,f,,-0.07788297466498234
nyp.33433074893490,"Mathew, Frank James,",The wood of the brambles,1896,m,high_male,-0.0779213773985204
mdp.39015003941419,"Gillies, John.",Voyagers in aspic.,1954,m,,-0.07812480447389175
inu.32000006737318,"Reeman, Douglas.",Path of the storm / | $c: Douglas Reeman.,1966,m,high_male,-0.07817417791388342
hvd.hxcqxf,,The hundred merry tales,1831,u,high_male,-0.07820992243728297
uc1.b3401748,"Disraeli, Benjamin,",Endymion,1880,m,,-0.07821916838916661
uc2.ark:/13960/t0ms3ms44,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,,-0.07881147227437231
uc2.ark:/13960/t2k64b10s,"White, Stewart Edward,",Rules of the game,1911,m,high_male,-0.07890647663581968
mdp.39015031644456,"Hook, Theodore Edward,",Maxwell,1830,m,mixed,-0.07899033401539662
mdp.39015063761228,"Black, William,",Madcap Violet,1876,m,,-0.07901365892253878
