htid,author,title,year,authgender,female_category,home
mdp.39015011573626,"Weiss, Peter,","The conversation of the three walkers; | and, The shadow of the coachman's body; | $c: translated by S. M. Cupitt.",1972,m,high_male,104.26462771394692
uc1.$b703625,"Vilmorin, Louise de,",Julietta / | $c: by Louise de Vilmorin ; [authorised trans. by Alison Brothers].,1952,f,high_female,103.9155374511597
uc1.32106006786252,"Troyat, Henri,",Sylvie / | $c: Henri Troyat ; translated by Anthea Bell.,1982,m,high_female,103.7608766883897
mdp.39015067683493,"Seiffert, Rachel.",Afterwards / | $c: Rachel Seiffert.,2007,f,,103.38410641670687
inu.30000045074337,"Lees-Milne, James.",Ruthenshaw : | a ghost story / | $c: James Lees-Milne.,1994,m,mixed,103.21854180350942
uc1.32106012974736,"Dunn, Stephen",The light of the body / | $c: Stephen Dunn,1996,m,mixed,103.14240528089115
uc1.32106018449808,"Lecasble, Guillaume",Lobster / | $c: Guillaume Lecasble ; translated by Polly McLean,2005,u,high_male,102.88546976570173
mdp.39015016441175,"Hanley, James,",Say nothing / | $c: James Hanley.,1962,m,high_female,102.72681169785314
mdp.39015053482041,"Crace, Jim,",The devil's larder / | $c: Jim Crace.,2001,m,,102.70814119225287
mdp.39015018832629,"Khmelik, Maria.",Little Vera / | $c: Maria Khmelik ; translated by Cathy Porter.,1990,f,,102.6739877684032
uc1.$b242904,"Hay, Catherine.",Halo round the moon.,1964,f,,102.59787964382069
uc1.$b391733,"Thomas, Dylan,",The followers : | a story / | $c: by Dylan Thomas ; with illustrations by Meg Stevens.,1976,m,high_female,102.19724067450178
mdp.39015036896390,"Sutherland, Millie.",The Brae House.,1979,f,mixed,102.14217441010551
mdp.39015050960239,"Lowndes, Marie Belloc,",The lodger | $c: [by] Mrs. Belloc Lowndes.,1932,f,high_female,102.0988148116961
inu.30000124594304,"Davies, Deborah Kay.","Grace, Tamar & Laszlo the beautiful / | $c: Deborah Kay Davies.",2008,f,high_female,102.04882643849595
mdp.39015025293294,"McCabe, Eugene,",Death and nightingales.,1992,m,,101.98808779134598
mdp.39015031238259,"Hanagan, Eva.",Holding on : | a novel / | $c: by Eva Hanagan.,1980,f,high_female,101.93809808993488
mdp.39015015365524,"Humphreys, Emyr.",Outside the house of Baal.,1965,m,mixed,101.69976031840271
mdp.39015019831984,"Dickens, Monica,",Closed at dusk / | $c: Monica Dickens.,1990,f,high_female,101.63749294184076
mdp.39015016415252,"Henrey, Robert, Mrs.,",Paloma.,1957,f,high_female,101.49215055388801
inu.30000126982184,"Way, Camilla.",Little bird / | $c: Camilla Way.,2008,f,high_female,101.4073577651582
uc1.$b119758,"Jacot de Boind, Bernard Louis,",The tulip tree: | a novel | $c: by B. L. Jacot.,1967,m,mixed,101.32099638685503
mdp.39015061187947,"Maguire, Susie.",Furthermore / | $c: Susie Maguire.,2005,f,,101.0230589140823
mdp.39015008008206,"Braine, John.",Stay with me till morning.,1970,m,mixed,101.00033308620486
inu.30000064961950,"Thomas, Ruth,","Sea monster tattoo, | and other stories / | $c: Ruth Thomas.",1997,f,high_female,100.96291496511505
inu.32000007703517,"Simenon, Georges,",Account unsettled; | $c: translated from the French by Tony White.,1966,m,high_male,100.91870824053453
mdp.39015047113249,"Ekman, Kerstin,",Witches' rings / | $c: Kerstin Ekman ; translated by Linda Schenck.,1997,f,,100.86868809836436
inu.30000092858632,"Wigley, Anna.",Footprints / | $c: Anna Wigley.,2004,f,,100.52416170029439
uiuo.ark:/13960/t3rv17w9b,"Collins, Wilkie,",Man and wife,1870,m,,100.4833779338502
mdp.39015079193598,"McCall Smith, Alexander,",La's orchestra saves the world / | $c: Alexander McCall Smith.,2008,m,,100.47574660743037
mdp.39015054153757,"King, Martin.",The estate : | a novel / | $c: Martin King.,2001,m,,100.45500206819122
mdp.39015019996431,"Pullinger, Kate.",When the monster dies / | $c: Kate Pullinger.,1989,f,high_female,100.380010038001
uc1.$b242718,"Kendall, Carol,",The baby-snatcher / | $c: Carol Kendall.,1952,f,,100.06003602161297
uc1.32106017645752,"More, Veronica",Into the rising sun / | $c: Veronica More,2005,f,,99.92681416427405
uc1.$b244596,"Royde-Smith, Naomi Gwladys.",Miss Bendix / | $c: by Naomi Royde Smith ; illus. by H. Wessenborn.,1947,f,high_female,99.79718636319737
mdp.39015037433326,"Pullinger, Kate.",Where does kissing end? / | $c: Kate Pullinger.,1992,f,high_female,99.7630627260257
uc1.$b787413,"Laverty, Maura,",Never no more : | the story of a lost village / | $c: by Maura Laverty.,1942,f,high_female,99.66324314684067
mdp.39015073668447,"Moore, Charlotte,",Grandmother's footsteps / | $c: Charlotte Moore.,2008,f,mixed,99.63564611762867
uc1.b3347153,"Lytton, David.",The grass won't grow till spring.,1965,m,high_female,99.56794623330903
uc1.32106001881017,,A Book of contemporary nightmares / | $c: edited by Giles Gordon.,1977,u,mixed,99.06439185470556
mdp.39015029087049,"Brookner, Anita.",A family romance / | $c: Anita Brookner.,1993,f,high_female,98.85577283625166
mdp.39015080878039,"Grace, Harriet.",Cells / | $c: by Harriet Grace.,2008,f,,98.65979831492557
mdp.39015070701001,"Yan, Lianke,",Serve the people! / | $c: Yan Lianke ; translated by Julia Lovell.,2007,u,high_male,98.63719628802062
uc1.32106014498908,"Fink, Jon Stephen",If he lived / | $c: Jon Stephen Fink,1997,m,high_female,98.59033122891984
mdp.39015032027016,"McCrory, Moy.","The water's edge, and other stories / | $c: Moy McCrory.",1985,u,high_female,98.58240990316462
mdp.39015060120865,"Cooke, Sophie.",The glass house / | $c: Sophie Cooke.,2004,f,,98.51517222404658
uc1.32106017435006,"Moyes, Jojo,",Night music / | $c: Jojo Moyes,2008,f,mixed,98.18099799657693
mdp.39015059172737,"Ferguson, Alex.",The pineapple king of Jarrow & other stories / | $c: Alex Ferguson.,2004,m,,98.17953843788074
inu.30000110600156,"Hayden, Torey L.",The sunflower forest : | a novel / | $c: Torey Hayden.,2008,u,,98.02123582644549
mdp.39015014624897,"Djebar, Assia,",A sister to Scheherazade / | $c: Assia Djebar ; translated by Dorothy S. Blair.,1988,u,high_male,97.97308149433042
mdp.39015038028505,"Doyle, Roddy,",The woman who walked into doors / | $c: Roddy Doyle.,1996,m,,97.91562121341934
mdp.39015073951637,"Trollope, Joanna.",Friday nights / | $c: Joanna Trollope.,2008,f,,97.88926277148975
uc1.$b119613,"Greig, Desmond.","The angel upstairs, | and other stories.",1969,m,,97.72505170337038
nyp.33433074862784,"Hall, Evelyn Beatrice,",Matthew Hargraves,1914,f,,97.6970149121171
uc1.b3346547,"De la Roche, Mazo,",Possession / | $c: by Mazo De La Roche.,1923,f,,97.69672567943633
uc2.ark:/13960/fk26970219,"Freeman, Mary Eleanor Wilkins,",A far-away melody,1905,f,high_female,97.37690950033473
mdp.39015010346792,"Lessing, Doris May,",The good terrorist / | $c: Doris Lessing.,1985,f,high_female,97.19117504130625
mdp.39015078771626,"Kelly, Julia,",With my lazy eye / | $c: Julia Kelly.,2009,f,high_female,96.96831417733793
inu.39000003576993,"Jhabvala, Ruth Prawer,",The householder.,1960,f,mixed,96.96554871092859
uc1.b3477144,"Blackwood, Caroline.",The stepdaughter / | $c: Caroline Blackwood.,1976,f,high_female,96.96186166774402
uc1.32106001758629,"Beckett, Samuel,",First love; | $c: translated from the original French by the author.,1973,m,high_female,96.95559433779329
mdp.39015029283606,"Bourdouxhe, Madeleine,",La femme de Gilles / | $c: Madeleine Bourdouxhe ; translated by Faith Evans.,1992,f,high_female,96.95290858725762
mdp.39015051321019,"Bainbridge, Beryl,",Sweet William / | $c: Beryl Bainbridge.,1975,f,high_female,96.82572982393854
mdp.39015050740557,"Sarif, Shamim.",The world unseen / | $c: Shamim Sarif.,2001,u,high_female,96.69545625234697
uc1.b4949063,"White, Terence De Vere.",Johnnie Cross : | a novel / | $c: by Terence de Vere White.,1983,m,,96.4984835952578
njp.32101063603953,"Eiloart, Elizabeth,","Ernie Elton, the lazy boy",1866,f,,96.3862794896117
uc1.$b794636,"Matheson, Jean.",The island.,1952,f,mixed,96.38513110083761
mdp.39015056673455,"Cusk, Rachel,",The lucky ones / | $c: Rachel Cusk.,2003,f,high_female,96.31849315068493
mdp.39015001770703,"Troyat, Henri,",The children / | $c: Henri Troyat ; translated from the French by Anthea Bell.,1983,m,,96.26011622517737
mdp.39015040052121,"Hamilton, Julia,",After Flora / | $c: Julia Hamilton.,1997,f,high_female,96.21681934685759
mdp.39015033987820,"Trevor, William,",Felicia's journey / | $c: William Trevor.,1994,m,,95.8667122125376
uc1.32106006623703,"Sharpe, Tom.",The throwback / | $c: [by] Tom Sharpe.,1978,m,,95.76982639171896
uc1.32106001617320,"Ibrāhīm, Ṣunʻ Allāh.","The smell of it, & other stories, | $c: by Sonallah Ibrahim; translated from the Arabic by Denys Johnson-Davies ; translation of Tilka al-rāʾiḥah.",1971,u,high_male,95.71471545382448
uc1.b3158833,"Prou, Suzanne.",The Bernardinis' Terrace,1975,f,high_female,95.68581769771602
inu.30000107312005,"Taylor, Debbie,",Hungry ghosts / | $c: Debbie Taylor.,2006,f,high_female,95.55495107168016
