htid,author,title,year,authgender,female_category,intensity
uiuo.ark:/13960/t7xk8z63q,"Senior, Henry.",Charles Vernon;,1849,m,,439.90125957339075
mdp.39015059177488,"Winkler, Anthony C.",The annihilation of Fish and other stories / | $c: Anthony C Winkler.,2004,m,mixed,439.79307363179635
uc1.32106006539883,,Saturday night reader / | $c: edited by Emma Tennant.,1979,u,mixed,439.76977950713353
mdp.39015014551033,"Selvon, Samuel.",Ways of sunlight.,1957,m,high_male,439.7524356658474
uc2.ark:/13960/t2x34w21d,"Kemp, John,",Wild Dayrell,1861,m,mixed,439.72733373362064
mdp.39015012970136,"Streatfeild, Noel.",Away from the vicarage.,1965,f,high_female,439.52927832128177
mdp.39015031045266,"Lawrence, James Henry,",The empire of the Nairs;,1811,m,,439.4904458598726
uc1.b3338160,"Dautert, Erich,","Big game in Antarctica, | $c: by Erich Dautert.",1937,m,high_male,439.4224733207783
mdp.39015008298674,"McGrady, Samuel Hugh,",Legends and myths of Greece and Rome. | With a frontispiece.,1948,m,high_male,439.4145921515173
uc1.$b302196,"Parry, Edward Abbott, Sir,","Berrington; | or, Two hundred years ago, | $c: by His Honour Sir Edward Abbott Parry.",1928,m,,439.33566685392447
mdp.39015059433204,"Sterndale, Robert Armitage,",Seonee;,1877,m,high_male,439.3338882427194
mdp.39015030594983,"Dostoevskai͡a, L. Ḟ.",The emigrant,1916,u,high_female,439.2274494199749
mdp.39015049026852,"Baroness. Jenssen, Carla","I spy; | the true story of a woman secret service agent, | $c: by Baroness Carla Jenssen.",1930,f,high_male,439.21075447070814
uc1.$b396489,"Glanville, Brian.","The things he loves, and other stories.",1973,m,,439.20812209203825
uiuo.ark:/13960/t43r1gx91,"Savage, M. W.",My uncle the curate,1849,m,mixed,439.1932854621634
uc2.ark:/13960/t5m90407w,"Travers, John,",Sahib-log,1910,m,mixed,439.1715433895089
mdp.39015058232490,,Mordecai's first brush with love : | new stories by Jewish women in Britain / | $c: edited by Laura Phillips and Marion Baraitser.,2004,u,,439.1666757704535
uc2.ark:/13960/t51g0tc9h,"Cunninghame Graham, R. B.",Faith,1909,m,,439.1638864301763
nyp.33433074951629,"Cuthbertson, Catherine.",Romance of the Pyrenees,1803,f,high_female,439.15234754929423
uc2.ark:/13960/t82j6nt1h,"Hunt, Leigh,",A jar of honey from Mount Hybla,1883,m,high_male,439.0854909085904
uiuo.ark:/13960/t23b6pf8z,"Smart, Hawley,",Beatrice and Benedick,1891,m,mixed,438.9619363098748
mdp.39015011690503,"King, William,",A miscellany of the wits,1920,m,high_male,438.9258616671414
mdp.39015050923211,"Tennant, Emma.",The time of the crack. -,1973,f,,438.9210707632633
mdp.39015022366028,"Courtauld, Augustine,",From the ends of the earth;,1958,u,high_male,438.8881500199494
nyp.33433074879838,"De Longueville, Thomas,",The prigment;,1892,m,high_male,438.8331865822138
mdp.39015030760329,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,,438.83132869294496
mdp.39015000541642,"Pater, Walter,",Imaginary portraits,1887,m,high_male,438.7990762124712
nnc1.1002266598,"Cobbold, Richard,",Zenon,1847,m,,438.7540411556422
uiuo.ark:/13960/t43r15q84,"Clarke, Charles,",Crumbs from a sportsman's table,1865,m,,438.73142413825394
uiuo.ark:/13960/t85h86f40,"Wood,",Seadrift,1871,f,,438.7185706522459
mdp.39015011535955,"Williamson, Henry,",The phoenix generation.,1965,m,mixed,438.7136153816808
uiuo.ark:/13960/t6rx9ws21,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,438.63325231190447
wu.89006961346,"Richards, Grant,",Double life,1920,m,high_female,438.63304855178154
uc1.b4974558,"Pickering, Paul,",The blue gate of Babylon / | $c: Paul Pickering.,1989,m,,438.6188606110063
mdp.39015014117579,"Porter, Anna Maria,",The fast of St. Magdalen,1818,f,mixed,438.3960459723421
nyp.33433074928833,"Belloc, Hilaire,","Emmanuel Burden, merchant, of Thames St., in the city of London, exporter of hardware",1904,m,high_male,438.36805555555554
mdp.39015063932985,"Lawless, Emily,",With Essex in Ireland;being extracts from a diary kept in Ireland during the year 1599,1890,f,high_male,438.2811635880987
uc1.$b251833,"Priestley, J. B. (John Boynton),","The balconinny, | and other essays, | $c: by J. B. Priestley.",1929,m,,438.26028995167474
uc1.b3810890,"Campion, Sarah.","The pommy cow, | $c: by Sarah Campion.",1944,f,mixed,438.25063690403977
uc1.32106014434176,"Redmon, Anne",The head of Dionysos / | $c: Anne Redmon,1997,f,high_female,438.04909086459634
mdp.39015062611069,"Bucknell, Katherine.",Leninsky Prospekt / | $c: Katherine Bucknell.,2005,f,,437.731889217854
mdp.39015030709730,"Newman, John Henry,",Callista;,1856,m,high_male,437.6807289437131
njp.32101063606022,"Cobbold, Richard,","Zenon, the martyr;",1847,m,high_male,437.6419944995815
uc2.ark:/13960/t3mw29z63,"Hutton, Catherine,",Oakwood Hall,1819,f,mixed,437.57792064927776
umn.31951002116505o,"Wheatley, Dennis,",Mediterranean nights : | a collection of short stories / | $c: Dennis Wheatley.,1965,m,mixed,437.52135609335767
uc1.b3322566,"Griffin, Gerald,",The Duke of Monmouth,1836,m,high_male,437.4520337682272
mdp.39015038101666,"Naher, Gaby,",The underwharf / | $c: Gaby Naher.,1996,u,,437.4323736948702
mdp.39015021836377,"Chernilo, Capel.",Queer stories from Russia,1892,u,,437.3919235072729
uc2.ark:/13960/t19k4d241,"Banerjea, S. B.",Tales of Bengal,1910,u,high_male,437.3455029473285
uiuo.ark:/13960/t7gq7kp8t,"Henty, G. A.",Dorothy's double,1894,m,,437.3357786516655
ien.35558005344532,"Hooper, Henry,","Wash. Boltor, M.D.; or, The life of an orator",1872,u,mixed,437.11752216810294
mdp.39015016435698,"Higgins, Aidan,","Langrishe, go down.",1966,m,high_female,437.078291778175
mdp.39015069313578,"Woodward, Gerard,",A curious Earth / | $c: Gerard Woodward.,2007,m,,437.0614732823147
mdp.39015073483789,"Henty, G. A.",In times of peril,1893,m,high_male,437.00448944502807
uiuo.ark:/13960/t58d05x5c,"Bradshaw, John,",Roger North,1885,f,high_female,436.992038137487
uc1.b3741295,"Sinclair, Clive,",Hearts of gold / | $c: Clive Sinclair.,1979,m,,436.97744123678814
inu.39000001845168,"Ramdoyal, Ramesh Dutt,",Tales from Mauritius / | $c: by Ramesh Ramdoyal ; edited by Rodney Phillips ; cover design and illustrations by Nazal Rosunally.,1979,u,high_male,436.9632950832131
mdp.39015048944790,"Francis, Dick.",Second wind / | $c: Dick Francis.,1999,m,high_male,436.95789910642105
uc1.b3123857,"Hudson, Marianne Spencer Stanhope.",Almack's,1826,f,high_female,436.93164750539336
uiuo.ark:/13960/t02z1vj99,"Savage, M. W.",My uncle the curate,1849,m,mixed,436.7228318696501
uc2.ark:/13960/t8ff43d6j,"Balzac, Honoré de,",A harlot's progress =,1896,m,mixed,436.7188172590024
mdp.39015043112203,"Wall, Alan.",Silent conversations / | $c: Alan Wall.,1998,m,,436.70752642833475
mdp.39015014859014,"Thacker, Eric.",Musrum | $c: [by] Eric Thacker & Anthony Earnshaw.,1968,m,,436.607892527288
mdp.39015065676994,"Paustovsky, Konstantin,",Story of a life / | $c: Konstantin Paustovsky ; translated by Manya Harari and Michael Duncan.,1965,m,,436.587970103215
uc1.32106008648922,"Caudwell, Sarah.",The sirens sang of murder / | $c: Sarah Caudwell.,1989,f,high_female,436.5454040544293
uc1.$b684911,"Armstrong, Thomas,","Dover harbour,",1942,m,mixed,436.5367604225848
nyp.33433075757942,"Welles, Charles Stuart.",The Ellwoods,1901,m,mixed,436.505657343059
inu.30000027270366,"Freemantle, Brian.","Clap hands, here comes Charlie / | $c: Brian Freemantle.",1991,m,high_male,436.4880408175304
uc2.ark:/13960/t1gh9d91g,"Provost, Maxime.",My Austrian love,1917,u,,436.3591666154507
mdp.39015016434675,"Graves, Charles,","Seven pilots, | $c: by Charles Graves; with 17 illustrations.",1943,m,high_male,436.34810203832535
uc1.b4084614,"Feuchtwanger, Lion,",Little tales / | $c: by Lion Feuchtwanger.,1935,m,mixed,436.3376251788269
mdp.39015050607830,"Mikdadi, F. J.",Tamra / | $c: Faysal Mikdadi.,1988,u,,436.30808270433334
mdp.39015061210277,"Harding, John,",One big damn puzzler / | $c: John Harding.,2005,m,,436.2782112593339
njp.32101065836577,"Meeke, Mary,",Which is the man?,1801,f,high_male,436.2396145228134
uiuo.ark:/13960/t6f197f0z,"Chamier, Frederick,",Count Königsmark,1845,m,mixed,436.13359900790056
uc2.ark:/13960/t5r78887q,"Heath, Christopher.",Peter's progress,1911,m,mixed,436.0300073428664
mdp.39015031219705,"Black, William,",Sabina Zembra,1887,m,high_female,436.0052263818668
uc1.b3476899,"Nobbs, David.",A piece of the sky is missing.,1969,m,,435.9874817840847
mdp.39015020685536,"Huxley, Elspeth Joscelin Grant,",The flame trees of Thika;,1959,m,mixed,435.92046580773047
uiuo.ark:/13960/t5z610t1j,"Cobbold, Richard,","Freston Tower, or, The early days of Cardinal Wolsey",1850,m,mixed,435.8989669791605
mdp.39015040364625,"Kishtainy, Khalid.",Tales from old Baghdad : | grandma and I / | $c: Khalid Kishtainy ; with illustrations by the author.,1997,m,,435.89387965366245
inu.30000026000749,"Mason, David N.",The Game show handbook / | $c: David N. Mason ; with a foreword by Michael Barrymore.,1991,m,high_male,435.84379358437945
mdp.39015031325395,"Jenkins, Elizabeth,",Dr. Gully.,1972,f,high_female,435.794828457568
mdp.39015031241493,"Lucas, E. V.",Landmarks,1914,m,high_male,435.76405927961525
mdp.39015047757466,"Cleugh, James.",Prelude to Parnassus; | scenes from the life of Alexander Sergeyevich Pushkin (1799-1837) | $c: by James Cleugh.,1936,m,,435.6768298426855
mdp.39015055445939,"Rushdie, Salman.",The Moor's last sigh / | $c: Salman Rushdie.,1995,m,,435.6463063264577
mdp.39015008801758,"Emecheta, Buchi.",The rape of Shavi.,1983,f,,435.63590948288675
uc2.ark:/13960/t7fq9xv4q,"Lawless, Emily,","Major Lawrence, F.L.S",1887,f,,435.6184554973822
mdp.39015063964228,"Thomson, Basil,","Mr. Pepper, | investigator, | $c: by Basil Thomson.",1925,m,mixed,435.6073137916584
njp.32101066121896,"Gore,",The debutante;,1846,f,high_female,435.5981335937621
