htid,author,title,year,authgender,female_category,shops
hvd.hxcsht,"Colman, George,",The circle of anecdote and wit,1826,m,high_male,9.978584422662133
mdp.39015057606405,"Liddle, Rod.",Too beautiful for you / | $c: Rod Liddle.,2003,m,,9.975283464305111
mdp.39015029273334,"Palmer, William,",Leporello.,1992,m,mixed,9.971945593064845
mdp.39015031241543,"Lucas, E. V.",Genevra's money,1922,m,mixed,9.970835306727821
uc1.b3295283,"Watts, Stephen.",The pale horse; | $c: twelve stories by Stephen Watts.,1943,m,,9.969095803010667
uc1.b3716770,"Raeburn, Anna.",Keeper of dreams.,1990,f,high_female,9.9682676812148
uc1.$b614959,"Frank, Leonhard,",The cause of the crime / | $c: by Leonhard Frank.,1928,u,high_male,9.964873819785257
mdp.39015054439123,"Graham, Laurie,",Mr Starlight / | $c: Laurie Graham.,2004,f,mixed,9.964046399242733
mdp.39015056807244,"Enquist, Anna.",The masterpiece / | $c: Anna Enquist ; translated by Jeannette K. Ringold.,1999,f,,9.962865682456298
uc2.ark:/13960/t2s46m716,"Blaker, Richard.",The voice in the wilderness,1922,m,high_female,9.962143853357242
inu.32000002848879,"Eliot, George,",Felix Holt,1866,f,,9.96157677529529
uc2.ark:/13960/t47p9676w,"Adams, Johns Bernard Pye,",Nothing of importance;,1917,m,high_male,9.961331920635352
njp.32101063606550,"Crawfurd, Archibald.",Tales of my grandmother,1825,m,high_male,9.960868018498754
uc1.b3321953,"Brooks, Shirley,",Aspen court;,1855,m,mixed,9.960820771631582
mdp.39015041614374,"Pak, Kyŏng-ni,",Land : | a novel / | $c: Park Kyong-ni ; translated from the Korean by Agnita Tennant,1996,u,high_male,9.96019751837848
mdp.39015008515531,"Mackenzie, Compton, Sir,","The heavenly ladder, | $c: by Compton Mackenzie.",1924,m,,9.960088502500694
coo.31924013628957,"Huxley, Aldous,","Limbo, | $c: by Aldous Huxley.",1923,m,,9.959167413604222
mdp.39015046441278,"Sánchez Ferlosio, Rafael,",The one day of the week / | $c: Rafael Sanchez Ferlosio ; translated from the Spanish by J.M. Cohen.,1962,m,mixed,9.958992384299941
uiuo.ark:/13960/t6ww7z58t,"Munster, Wilhelmina Fitzclarence,",Dorinda,1889,f,high_female,9.958175662218682
inu.30000055995835,"Verdelle, A. J.",This rain coming / | $c: A. J. Verdelle.,1995,f,,9.957544650535445
uc2.ark:/13960/fk76t0hb7b,"Pennell, Elizabeth Robins,",The lovers,1917,f,mixed,9.956936250715655
mdp.39015073927488,"Borchard, Ruth.",We are strangers here : | an 'enemy alien' in Prison in 1940 / | $c: Ruth Borchard ; introduction by Charmian Brinson.,2008,f,high_female,9.952229299363058
mdp.39015047667145,"Black, William,",Green pastures and Piccadilly,1877,m,high_female,9.95041377137266
uc1.$b244796,"Swinnerton, Frank,","English maiden, | parable of a happy life.",1945,m,high_female,9.943010848348152
uiuo.ark:/13960/t6vx11m1v,"Yates, Edmund Hodgson,",Broken to harness,1864,m,,9.94299350391091
inu.30000111289793,"Brown, Clare,",Dream laboratory / | $c: Clare Brown.,2007,f,high_female,9.942911118660358
mdp.39015038426048,"Wickham, Madeleine,",The tennis party / | $c: Madeleine Wickham.,1995,f,,9.942883657213562
uiuo.ark:/13960/t4jm2s41m,"Lewes, George Henry,","Rose, Blanche, and Violet",1848,m,mixed,9.942475676443435
uc1.b2849084,"Tripp, Miles,",Malice and the maternal instinct / | $c: Miles Tripp.,1969,m,mixed,9.942334460131239
uiuo.ark:/13960/t4th9616r,"Carey, Rosa Nouchette,","The old, old story",1894,f,,9.940604885807302
mdp.39015030727252,"Comfort, Alex,",Letters from an outpost.,1947,m,high_male,9.939765023954834
uc2.ark:/13960/t1bk1cd1t,"Reid, Forrest,",The spring song,1916,m,,9.937517856477399
mdp.39015081739347,,The black book / | $c: edited by Tony Reed.,1989,u,,9.935419771485344
mdp.39015008011788,"Maclaren-Ross, J. (Julian),",The funny bone.,1956,m,high_male,9.933939303630854
mdp.39015033499461,"Vilmorin, Louise de,","Love story. | $c: Translated by Francis Wyndham, with drawings by Docie Masterman.",1957,f,,9.933445912387008
uc1.32106017921815,"Dickson, Jack",Oddfellows / | $c: Jack Dickson,1997,m,high_male,9.93183152002167
wu.89002047405,"Leasor, James.","Boarding party / | $c: James Leasor ; with a foreword by Admiral of the Fleet, the Earl Mountbatten of Burma.",1978,m,high_male,9.93114406779661
inu.30000107641973,"Baker, Carleen.",Hate loves games / | $c: Carleen Baker.,2006,f,high_female,9.930749572977769
wu.89119430957,"Love, Robertus.",The life and death of outlaw Harry Tracy : | a fine moral - a thrilling story / | $c: by Frank James.,2007,u,high_male,9.922111425311305
mdp.39015050561847,"Humphreys, Emyr.",Jones : | a novel / | $c: Emyr Humphreys.,1984,m,,9.92175983671618
uc2.ark:/13960/t3125wc06,"Rodziewiczówna, Maria,",Distaff,1901,f,high_female,9.919088577460997
inu.30000104170877,,The second century of humour / | $c: with illustrations by Fougasse ; and stories by Anthony Armstrong ... [et al.],1936,u,,9.918789907631268
mdp.39015025047344,"Forster, Margaret,",Private papers / | $c: Margaret Forster.,1986,f,high_female,9.917593811421462
wu.89044447696,"Bielski, Nella.",After Arkadia / | $c: Nella Bielski ; translated by Jonathan Steffen with the participation of John Berger.,1992,f,,9.916945580761126
mdp.39015053230317,"Wakefield, Tom.","Trixie Trash, star ascending / | $c: Tom Wakefield.",1977,m,high_female,9.913422774436587
uiuo.ark:/13960/t79s29p78,"Melville, Julia.",Old memories,1856,f,,9.904749327302442
uiuo.ark:/13960/t3417br2t,"Gibbon, Charles,",In honour bound,1874,m,mixed,9.90442232456792
uc1.b3322648,"Burdett, C. D.,",English fashionables abroad,1827,f,high_female,9.90421211992586
mdp.39015049860375,"Kayira, Legson.",The detainee.,1974,u,high_male,9.902670891806247
mdp.39015049991782,"Martín Gaite, Carmen.",The farewell angel / | $c: Carmen Martin Gaite ; translated from the Spanish by Margaret Jull Costa.,1999,f,,9.901200166905946
