htid,author,title,year,authgender,female_category,gb_england_intensity
inu.39000005886747,"Robertson, R. MacDonald.","Selected Highland folk tales; | gathered orally | $c: by R. MacDonald Robertson, edited by Jeremy Bruce Watt.",1961,m,high_male,20.70368160173424
njp.32101068971348,"Kennedy, Grace,","Dunallan, or, Know what you judge",1825,f,high_female,20.702096826664302
mdp.39015050472052,"Barker, Pat,",Border crossing / | $c: Pat Barker.,2001,u,,20.696875989188925
uc1.$b243902,"Plomer, William,",Sado.,1951,m,mixed,20.69341761197961
uiuo.ark:/13960/t5j96rh1t,"Pickering, Ellen,",The fright,1839,f,,20.688777134126937
mdp.39015005533776,"Haggard, H. Rider (Henry Rider),","She, | a history of adventure, | $c: by H. Rider Haggard. With illustrations.",1927,m,mixed,20.687752850312616
inu.30000055840536,"Mousley, K. M. (Keith M.),",The baobab tree / | $c: K.M. Mousley.,1997,m,high_male,20.687336763983343
wu.89098869050,"Pansy,","Workers together, or, An endless chain",1887,f,mixed,20.68680182043856
uiuo.ark:/13960/t2b85hw0z,"Ashe, Thomas,","The spirit of  The book;  or, Memoirs of Caroline Princess of Hasburgh",1811,m,,20.685197155785392
wu.89009176827,"Beckett, Samuel,",Ill seen ill said / | $c: by Samuel Beckett ; translated from French by the author.,1982,m,high_female,20.68466232288758
uc1.31822033011412,"Webster, Jason,",Duende : | a journey in search of flamenco / | $c: Jason Webster,2003,m,,20.680579056213578
mdp.39015042048168,"Hird, Laura.",Nail and other stories / | $c: Laura Hird.,1997,f,high_female,20.676719490761936
uc1.b3578350,"Crowe, Eyre Evans,",Today in Ireland,1825,m,,20.676602039031064
uc1.$b266677,"Houghton, Claude,","Captain of the guard, | $c: by Claude Houghton [pseud.] Based on La marseillaise, by Houston Branch.",1930,m,mixed,20.67610875633206
uiuo.ark:/13960/t7wm1zd3s,"Woollam, Wilfred.",All for naught,1890,m,,20.67343721735535
mdp.39015030709805,"(Percy Howard), Newby, P. H.",The snow pasture / | $c: by P.H. Newby.,1949,u,,20.661360304607484
njp.32101063690547,"Fielding, Henry,",The works of Henry Fielding,1893,m,mixed,20.660953748979253
nyp.33433074889894,"Williams, Robert Folkestone",The youth of Shakspeare,1839,m,,20.660654821224572
inu.30000039095900,"Roberts, Michèle.",The book of Mrs. Noah / | $c: Michèle Roberts.,1993,f,high_female,20.653817238502025
mdp.39015030051588,"James, G. P. R.",The gipsy;,1835,m,,20.64030822860288
nyp.33433074856877,"Gaskell, Elizabeth Cleghorn,",Ruth,1853,f,high_female,20.63496742622999
uiuo.ark:/13960/t6g16kp69,"Lawrence, George A.","Sans merci; or, Kestrels and falcons",1866,m,mixed,20.63380160599756
uiuo.ark:/13960/t4hm5hr35,"Caine, Hall,",The scapegoat,1891,m,high_female,20.633446817290828
mdp.39015016444443,"Farmer, Philip José.",The gate of time / | $c: Philip José Farmer.,1970,m,,20.62147984894766
uiuo.ark:/13960/t95722b09,"Nomad,",A railway foundling,1890,u,,20.621036894471843
mdp.39015013125623,"Carr, Emily,",The house of all sorts. | $c: With a foreword by Ira Dilworth.,1946,u,mixed,20.61260667023952
uiuo.ark:/13960/t4dn4h00w,"Davenport, Selina,",The hypocrite;,1814,f,high_female,20.610482491395125
mdp.39015031241857,"Jefferies, Richard,",The dewy morn,1884,m,,20.610443874013978
inu.39000001881668,"Bradley, Martha.","The British housewife, or, The cook, housekeeper's and gardiner's companion / | $c: by Martha Bradley, 1756.",1996,f,high_male,20.601848672554215
uiuo.ark:/13960/t4wh34n3w,"Nicholson, Jessie L.",After long waiting,1897,f,,20.592777818636467
uiuo.ark:/13960/t4wh35c1r,"Parker, Emma,",The guerrilla chief,1815,f,high_female,20.59076784845195
mdp.39015030224540,"Benzoni, Juliette.",Marianne and the rebels; | $c: translated [from the French] by Anne Carter.,1973,f,high_female,20.584731119747
mdp.39015007067815,"Koestler, Arthur,",The call-girls: | a tragi-comedy with prologue and epilogue.,1972,m,,20.57808592142337
uc1.b3872896,"Grimshaw, Beatrice Ethel.",The star in the dust / | $c: by Beatrice Grimshaw.,1930,f,,20.578037061044743
mdp.39015030224524,"Benzoni, Juliette.",Marianne and the lords of the east / | $c: Juliette Benzoni ; translated by Anne Carter.,1975,f,high_female,20.566257626653872
uiuo.ark:/13960/t1vd7d824,"Oliphant,",Carità,1877,f,,20.56132414927521
uc1.b2822358,"Mataamu, Bwana",The beautiful Nyakiemo : | the origin of the Kikuyu-Masai / | $c: Bwana Mataamu ; illustrated by Ruth Yudelowitz.,1951,u,high_male,20.55287226389888
mdp.39015050794257,"Davies, Stevie",The element of water / | $c: Stevie Davies,2001,m,mixed,20.547342054538515
mdp.39015019854291,"Taylor, Elisabeth Russell.",Tomorrow.,1991,f,high_female,20.546068852159618
uc1.32106011608509,"McCabe, Pat,",The dead school / | $c: Patrick McCabe,1995,u,mixed,20.545253153249725
uc1.$b322705,"Benson, Stella,","Collected short stories, | $c: by Stella Benson.",1936,f,,20.534182079525955
uc2.ark:/13960/t0ft8sk7n,"Langdon, Samuel,","The appeal to the serpent ; or, Life in an ancient Buddhist city",1889,m,,20.534081686532577
inu.30000035441025,"Bolger, Dermot,",Night shift / | $c: Dermot Bolger.,1993,m,,20.53317819376476
