htid,author,title,year,authgender,female_category,female_fraction
uva.x030446087,"La Motte-Fouqué, Friedrich Heinrich Karl,",The magic ring,1825,m,mixed,0.3664835376725344
uva.x002037474,"La Motte-Fouqué, Friedrich Heinrich Karl,",The magic ring,1825,m,mixed,0.3664835376725344
mdp.39015060383612,"Rendell, Ruth,",Thirteen steps down / | $c: Ruth Rendell.,2004,f,mixed,0.3664469197544897
mdp.39015057018973,"Lloyd, Josie.",Love lives / | $c: Josie Lloyd & Emlyn Rees.,2003,f,mixed,0.3663893056881735
uiuo.ark:/13960/t3bz6wf26,"Helme, Elizabeth,",St. Margaret's cave,1801,f,mixed,0.366322959459803
uiuo.ark:/13960/t7np2rz8s,"Helme, Elizabeth,",St. Margaret's cave,1801,f,mixed,0.366322959459803
uiuo.ark:/13960/t44q8kw5h,"Helme, Elizabeth,",St. Margaret's cave,1801,f,mixed,0.366322959459803
uiuo.ark:/13960/t8mc9mw3b,"Helme, Elizabeth,",St. Margaret's cave,1801,f,mixed,0.366322959459803
inu.30000006000214,"O'Faoláin, Seán,",The collected stories / | $c: Sean O'Faolain.,1980,u,mixed,0.366261632275385
uc2.ark:/13960/t22b92q40,"Wilson, John Mackay,",Wilson's tales of the borders and of Scotland,1857,m,mixed,0.3662584018695673
mdp.39015066189237,"Thackeray, William Makepeace,",Works,1883,m,mixed,0.3662451837445861
uc1.b3321926,"Besant, Walter,",The ivory gate,1892,m,mixed,0.3662312801801996
uc1.b3321924,"Besant, Walter,",The ivory gate,1892,m,mixed,0.3662312801801996
uc1.b3321925,"Besant, Walter,",The ivory gate,1892,m,mixed,0.3662312801801996
mdp.39015003930743,"Godden, Rumer,",The lady and the unicorn.,1956,f,mixed,0.3661707023705239
dul1.ark:/13960/t87h2bk96,"Riddell, J. H.,",Mitre Court,1885,f,mixed,0.3661290557310871
dul1.ark:/13960/t18k82d6j,"Riddell, J. H.,",Mitre Court,1885,f,mixed,0.3661290557310871
dul1.ark:/13960/t8qc0s39h,"Riddell, J. H.,",Mitre Court,1885,f,mixed,0.3661290557310871
uiuo.ark:/13960/t4mk6zg0g,"Sherer, Moyle,",The broken font,1836,m,mixed,0.3661274287039184
uiuo.ark:/13960/t23b6pc44,"Sherer, Moyle,",The broken font,1836,m,mixed,0.3661274287039184
mdp.39015060383257,"Boyd, William,",Fascination / | $c: William Boyd.,2004,m,mixed,0.3661232082284714
mdp.39015055060597,"Enquist, Per Olov.",The march of the musicians.,1985,m,mixed,0.3660946002511511
mdp.39015061473073,,London Aphrodite : | stories from the new Elizabethan era / | $c: edited by Denys Val Baker.,1955,u,mixed,0.3660444132977092
mdp.39015063973997,"Yonge, Charlotte M.",Lady Hester;,1874,f,mixed,0.3660241587176537
mdp.39015007061354,"Solzhenit͡syn, Aleksandr Isaevich,",Stories and prose poems | $c: [by] Alexander Solzhenitsyn. Translated by Michael Glenny.,1971,m,mixed,0.3660069848661234
mdp.39015082701932,"Billingham, Mark.",In the dark / | $c: Mark Billingham.,2008,m,mixed,0.3659951027845795
