htid,author,title,year,authgender,female_category,gb_suba1_intensity
mdp.39015015327607,"Morrison, Nancy Brysson.",The gowk storm / | $c: Nancy Brysson Morrison ; introduced by Edwin Morgan.,1988,f,high_female,40.29658284977434
mdp.39015018504202,"Rees, David,",The hunger / | $c: David Rees.,1986,m,,40.29629629629629
mdp.39015012355734,"Scargill, William Pitt,",Blue-stocking Hall,1827,m,mixed,40.286030818813586
uc1.32106016105071,"Aidoo, Ama Ata,","Our Sister Killjoy : | or, Reflections from a black-eyed squint / | $c: Ama Ata Aidoo",1977,f,high_male,40.2669121030833
mdp.39015016993365,,The way we lived then : | the English story in the 1940s / | $c: introduction by Woodrow Wyatt.,1989,u,,40.25990002124827
mdp.39015061751379,"Sutcliffe, William,",Bad influence / | $c: William Sutcliffe.,2004,m,high_male,40.256175663311986
mdp.39015000630882,"Lawrence, D. H. (David Herbert),",Works.,1954,m,,40.25411323848
njp.32101063877300,Moira.,Philip Graham,1884,u,,40.25116728385123
uc1.b4104878,"Aguilar, Grace,",Home influence;,1847,f,high_female,40.24013572889024
njp.32101062932916,"Wedgwood, Julia,",Framleigh Hall,1858,f,,40.223173738160106
mdp.39015059982119,"Barker, Pat,",Double vision / | $c: Pat Barker.,2003,u,mixed,40.22045155609666
mdp.39015059412513,"Monkhouse, Allan Noble,","Marmaduke, | $c: by Allan Monkhouse.",1924,m,,40.219868615095855
inu.39000003458853,,The New improved sun : | an anthology of utopian science fiction / | $c: edited by Thomas M. Disch.,1976,u,,40.21577845266326
uc2.ark:/13960/t9n29rb96,"Horton, Samuel.",Mustard and cress,1921,m,,40.211108318673034
uiuo.ark:/13960/t4th8s06z,"Armstrong, F. C.",The frigate and the lugger,1861,m,,40.20235183758249
mdp.39015080862736,"Thorpe, Adam,",Hodd / | $c: Adam Thorpe.,2009,m,,40.19891016288004
uc1.$b119742,"Ford, John,",The blue comedian; | a novel.,1968,m,,40.19332006626996
mdp.39015073632484,,The children's hours : | stories about childhood / | $c: edited by Richard Zimler and Raša Sekulović.,2008,u,mixed,40.1892548546793
mdp.39015065767892,"Eliot, George,",The works of George Eliot,1878,f,,40.18466254228735
uiuo.ark:/13960/t2b85k82p,"Chorley, Henry Fothergill,",A prodigy,1866,m,,40.17484090762999
uiuo.ark:/13960/t7np2nx64,"Pickering, Percival,",A life awry,1893,f,high_female,40.17101374422541
mdp.39015000519630,"Kennett, John.",Two eggs on my plate | $c: [by] Oluf Reed Olsen; retold by John Kennett.,1972,m,high_male,40.15833859216338
uc2.ark:/13960/t4jm23s9q,"Scott, Evelyn,",The narrow house,1921,f,high_female,40.15407266399964
uc2.ark:/13960/t8x92777n,,A book for the household,1866,u,mixed,40.152930291021455
uc1.$b247901,,"A national gallery, | being a collection of English characters, | $c: compiled by C. C. & D. G.",1933,u,,40.15009960313171
njp.32101066458942,"Gibbon, Charles,",By mead and stream,1884,m,mixed,40.14774369680424
mdp.39015026940091,"Unsworth, Barry,",Sacred hunger / | $c: Barry Unsworth.,1992,m,high_male,40.143326543659576
inu.30000126982879,,The darker sex : | tales of the supernatural and macabre by Victorian women writers / | $c: edited by Mike Ashley.,2009,u,high_female,40.13339576306008
ncs1.ark:/13960/t7vm4kg7w,"Paludan-Müller, Frederik,",The fountain of youth,1867,m,mixed,40.13002126891127
mdp.39015066189112,"Thackeray, William Makepeace,",Works,1883,m,,40.12943334692214
nyp.33433074942677,"Cooper, Katherine,",Margaret and Elizabeth;,1873,f,,40.12651654628711
mdp.39015014135506,"Morrison, Nancy Brysson.","The other traveller, | a novel.",1957,f,,40.123969229066375
mdp.39015064952313,"Afolabi, Segun,",Goodbye Lucille / | $c: Segun Afolabi.,2007,u,high_female,40.10350523732682
uiuo.ark:/13960/t7kp8942d,"Carr, Alice Vansittart (Strettell),",Margaret Maliphant,1889,f,mixed,40.10201953770392
mdp.39015030062650,,"The story of Burnt Njal, from the Icelandic of the Njals saga, | $c: by George Webbe Dasent.",1923,u,,40.10184595798855
mdp.39015059371495,"Jacks, L. P.",Philosophers in trouble,1916,m,,40.09783872649264
uiuo.ark:/13960/t68346m01,,The Hallow isle tragedy,1860,u,,40.082455336692625
uc1.b3862766,"Firbank, Ronald,",Sorrow in sunlight.,1924,m,high_female,40.07837548984681
uc2.ark:/13960/t0pr7q82g,"St. Clair, William.",Prince Baber and his wives,1901,m,,40.07599596271449
mdp.39015058850085,"Perriam, Wendy,",Virgin in the gym and other stories / | $c: Wendy Perriam.,2004,f,high_female,40.07017695856527
uc1.$b396517,"Hill, Susan,",I'm the king of the castle,1973,f,,40.05889740591573
mdp.39015048919545,,12 Irish ghost stories / | $c: selected and introduced by Patricia Craig.,1998,u,mixed,40.04374008532396
uiuo.ark:/13960/t6251zv5c,"Daniel,",Reaping the whirlwind. A novel,1864,f,high_female,40.03135789701932
mdp.39015061190032,"Sambrook, Clare.",Hide & seek / | $c: Clare Sambrook.,2005,f,,40.029354860230825
uiuo.ark:/13960/t2q533w9z,"Lewis, Arthur,",The master of Riverswood,1876,f,,40.02882075094068
nyp.33433081998316,"Crosland, Newton,",Mrs. Blake,1862,f,high_female,40.024290603952736
nyp.33433074920996,"Baldwin, Alfred,",The story of a marriage,1895,f,mixed,40.02387865302689
uiuo.ark:/13960/t56d65s95,"Crommelin, May.",Dust before the wind,1894,f,high_female,40.018832391713744
mdp.39015000630726,"Lawrence, D. H. (David Herbert),",Works.,1954,m,,40.016292347598664
uiuo.ark:/13960/t7jq1pv37,"Black, William,",Highland cousins,1894,m,,40.01280409731114
uiuo.ark:/13960/t7fr08z44,,Happiness;,1821,u,high_female,40.00677037652525
uc1.b3327179,"Roberts, Morley,",The reputation of George Saxon,1892,m,high_male,40.00492368291482
uc1.$b322943,"Beachcroft, T. O. (Thomas Owen),",Collected stories of T.O. Beachcroft.,1948,m,mixed,40.00247902686927
uc1.b3435480,"Middleton, Stanley,",Him they compelled / | $c: Stanley Middleton.,1964,m,,40.0
mdp.39015070493674,"Jacks, L. P.",The legends of Smokeover,1921,m,high_male,39.995000624921886
nyp.33433074901889,"Michael Michaelowitch,",Never say die,1908,m,mixed,39.98827010743514
mdp.39015080841565,"James, Reina.",The old joke / | $c: Reina James.,2009,f,,39.97983625649672
njp.32101068971462,"Kernahan, Coulson,",The house of Rimmon,1885,f,,39.979270008143935
uiuo.ark:/13960/t5x642z7w,"Oliphant,",A poor gentleman,1889,f,mixed,39.976014391365176
nnc1.1002390230,"Stretton, Hesba,",The Clives of Burcot,1867,m,,39.97022907076109
mdp.39015030931227,"Lindsay, Maurice,","No Scottish twilight; | new Scottish short stories, | $c: ed. by Maurice Lindsay and Fred Urquhart.",1947,m,,39.968025579536366
nyp.33433074955026,"Lathom, Francis,",Men and manners,1800,m,,39.96057223539441
uc1.b4949039,"Swift, Graham,",Shuttlecock / | $c: Graham Swift.,1981,m,,39.9560483468185
uiuo.ark:/13960/t1bk2000s,"Ponsonby, Emily,",The two brothers,1858,f,mixed,39.95538315547638
nyp.33433082225594,"Smollett, T.",The works of Tobias Smollett,1895,m,high_male,39.95205753096285
mdp.39015003940312,"Gogarty, Oliver St. John,",Tumbling in the hay ...,1939,m,,39.948792910905105
uc2.ark:/13960/t8mc8xq2z,"Kingsley, Charles,",Two years ago,1893,m,,39.94757756487978
mdp.39015006995933,"Oliphant,",The Ladies Lindores,1883,f,mixed,39.94239885638606
mdp.39015060120865,"Cooke, Sophie.",The glass house / | $c: Sophie Cooke.,2004,f,,39.93858333407294
uiuo.ark:/13960/t8ff4cc9v,"Peart, Emily.",Maude Maynard,1876,f,mixed,39.92585198916298
uiuo.ark:/13960/t71v6158f,"Jolly, Emily.",Bond and free,1860,f,mixed,39.90506794362885
uc1.b3495079,,Nineteenth century short stories / | $c: edited with an introduction by Peter Keating.,1981,u,mixed,39.89503173871416
uc1.b3325737,"Russell, William Clark,",Heart of oak,1896,m,high_female,39.89062715318726
uiuo.ark:/13960/t5x645d9x,"Wingfield, Lewis,",My lords of Strogue;,1879,m,mixed,39.88784476589357
uc2.ark:/13960/t7pn90472,"Livingstone, W. P.","Mary Slessor of Calabar, pioneer missionary",1916,u,high_female,39.88625982681644
njp.32101009810746,"Smollett, T.",[Smollett's novels],1894,m,high_male,39.883368096539314
uiuo.ark:/13960/t4bp0bm60,"Baring-Gould, S.",In the roar of the sea;,1892,m,,39.88168433646848
mdp.39015000513641,"Binder, Pearl.",Russian families / | $c: by Pearl Binder ; with forty-seven drawings by the author.,1942,f,mixed,39.88070467471219
mdp.39015002752965,"Hon., Sackville-West, Edward,","Mandrake over the water-carrier, | a recital,",1928,m,mixed,39.87276961694954
uc1.31175021780286,"Goodsir, Robert Anstruther.","An Arctic voyage to Baffin's Bay and Lancaster Sound, in search of friends with Sir John Franklin / | $c: by Robert Anstruther Goodsir.",1996,m,high_male,39.85757559653504
uc2.ark:/13960/t00z72m00,"Kingston, William Henry Giles,","Owen Hartley; or, Ups and downs",1877,m,high_male,39.845246205061635
hvd.hn5bux,,"Goody Two Shoes; or, The history of little Margery Meanwell",1825,u,high_female,39.8406374501992
umn.31951002076536k,"Watts, Stephen.",The sound of a trumpet.,1946,m,mixed,39.830615068550586
uiuo.ark:/13960/t2b85ht7f,"Armstrong, F. C.",The wild gazelle,1868,m,,39.81809418027118
uiuo.ark:/13960/t1dj5z40k,"Lyle, Max.","Fair oaks, or, The experiences of Arnold Osborne, M.D",1856,m,mixed,39.81287946650741
uiuo.ark:/13960/t1dj62711,"Roche, Regina Maria,",Contrast,1828,f,high_female,39.80396547005996
mdp.39015025267892,"Hamilton, Elizabeth,",Memoirs of modern philosophers / | $c: Elizabeth Hamilton.,1992,f,high_female,39.77513788714468
inu.30000027337702,"Diski, Jenny.",Like mother / | $c: Jenny Diski.,1990,f,mixed,39.77179219924295
uiuo.ark:/13960/t6h13np7s,"Smart, Hawley,",Tie and trick,1885,m,high_male,39.75868208612076
mdp.39015030711108,"Redgrove, Peter.","The terrors of Dr. Treviles : | a romance / | $c: [by] Peter Redgrove, Penelope Shuttle.",1974,m,,39.74625987694559
uc2.ark:/13960/t13n2ck6c,"Quiller-Couch, Arthur,",Hocken and Hunken;,1912,m,,39.74398251264769
mdp.39015081739347,,The black book / | $c: edited by Tony Reed.,1989,u,,39.741679085941385
mdp.39015060118844,"Trigell, Jonathan.",Boy A / | $c: Jonathan Trigell.,2004,m,high_male,39.72545298051246
mdp.39015063943040,"Henty, G. A.",In Greek waters,1893,m,high_male,39.72036860502066
mdp.39015012268150,"Kennedy, Margaret,",The game and the candle.,1928,f,high_female,39.71405877680698
inu.30000054116946,"Winter, John Strange,",Garrison gossip gathered in Blankhampton,1887,m,high_female,39.712625004512795
mdp.39015005498665,"Cooper, William,",Scenes from provincial life | $c: [by] William cooper [pseud.],1961,m,high_male,39.70388585773201
nyp.33433081852695,"James, Henry,",The madonna of the future,1879,m,mixed,39.6925153146955
uc1.31822001403641,"Huskinson, Janet",Roman sculpture from Cyrenaica in the British Museum / | $c: Janet Huskinson,1975,f,high_male,39.68883949833307
nyp.33433074935010,"Carey, Rosa Nouchette,",Averil,1891,f,high_female,39.68874403165477
mdp.39015043089377,"Faber, Michel.",Some rain must fall / | $c: Michel Faber.,1998,m,high_female,39.687171705381104
mdp.39015054153674,"Humphreys, Emyr.",Ghosts and strangers / | $c: Emyr Humphreys.,2001,m,,39.686357513950355
inu.30000092821648,"Petley, Dexter,",White lies / | $c: Dexter Petley.,2004,m,,39.671857067966386
njp.32101064710419,"Parry, Edward Abbott,",Butterscotia,1896,m,high_female,39.65930766180053
uc2.ark:/13960/t9571db21,"Boldrewood, Rolf,",Plain living;,1898,m,mixed,39.65064566254085
njp.32101064909334,"Maginn, William,",Tales of military life,1829,m,high_male,39.64185633244482
mdp.39015073316765,"Carlyle, Thomas,",[Works],1885,m,high_female,39.629694422923805
inu.30000111494716,"Suckling, Maurice.",Photocopies of heaven : | fiction / | $c: Maurice Suckling.,2006,m,,39.625538659666155
uc1.32106012468267,"Nafzāwī, ʻUmar ibn Muḥammad",The perfumed garden of sensual delight = | ar-rawd̲ al-ʻât̲ir fı̂ nuzhatiʼl khât̲ir / | $c: by Muhammad ibn Muhammad al-Nafzawi ; translated from the Arabic with a short introduction and notes by Jim Colville,1999,u,high_male,39.618530152531335
uc1.31822006734099,"Kelman, Janet Harvey",The story of Chalmers of New Guinea;,1906,f,high_male,39.61616339466502
njp.32101063693509,"Neale, W. Johnson",Gentleman Jack,1837,m,,39.61023528479758
uc1.b3325475,"Lytton, Rosina Bulwer Lytton,",Memoirs of a Muscovite,1844,f,mixed,39.609664758201006
mdp.39015053114644,"Nicoll, Ruaridh.",White male heart / | $c: Ruaridh Nicoll.,2001,u,,39.60070534086494
inu.32000009269517,"Mortimer, John,",Charade / | $c: John Mortimer.,1947,m,,39.5918988883813
uc2.ark:/13960/t9183883t,"Rae, Herbert,",Maple leaves in Flanders fields,1917,m,,39.58044725905403
inu.32000001859521,"Mackenzie, Compton, Sir,","The three couriers, | $c: by Compton Mackenzie.",1929,m,,39.579986496239904
mdp.39015024518659,,"The story of Burnt Njal, from the Icelandic of the Njals saga, | by George Webbe Dasent.",1923,u,,39.56907995506995
inu.39000002132194,"Lurie, Morris.",Running nicely / | $c: by Morris Lurie.,1979,m,high_male,39.56478733926805
mdp.39076006766047,"Bowen, Elizabeth,",The cat jumps | and other stories.,1949,f,high_female,39.559971395097605
uva.x000457847,"Brontë, Charlotte,",Jane Eyre,1850,f,high_female,39.54786671449199
uc1.b4692515,"Welsh, James C.,",The underworld;,1920,m,high_male,39.54022988505747
mdp.39015048883907,"Lang, Andrew,",A monk of Fife,1896,m,high_male,39.53944454988297
mdp.39015014137973,"Leiber, Fritz,","Gather, darkness! / | $c: Fritz Leiber.",1968,m,high_male,39.53930334298433
uc2.ark:/13960/t6c24sm33,"Mackarness, Henry S.,",Sweet flowers,1877,f,high_female,39.537712895377126
uc2.ark:/13960/t2n58f36m,,Dacia Singleton,1867,u,high_female,39.518439586185494
njp.32101067646016,"Hofland,",Tales of the manor,1822,f,high_female,39.5181941765989
uc1.32106015176412,"Schmidt, Susan.",Out of America / | $c: Susan Schmidt.,1993,f,high_female,39.51319740793426
