htid,author,title,year,authgender,female_category,windows
uc2.ark:/13960/t9h41mt6s,"Lytton, Edward Bulwer Lytton,",Rienzi,1835,m,,8.75771773875728
mdp.39015047764389,"Ouida,",Chandos,1877,f,high_male,8.752214310220486
uc1.b3477354,"Hughes, Richard Arthur Warren,",In the lap of Atlas : | stories of Morocco / | $c: Richard Hughes.,1979,m,high_male,8.751777704846297
uiuo.ark:/13960/t7dr3b84t,"Tasma,",Not counting the cost,1895,u,high_female,8.750948019368765
mdp.39015063947207,"Profugus, Fato",The white olive,1899,u,,8.745539774714896
uc1.$b244757,"Macaulay, Rose, Dame.","What not, | a prophetic comedy.",1924,f,,8.738203425375742
uc1.b3477908,"Beaver, Harold Lowther.","Pardoner's tale, | $c: by Harold Beaver.",1966,m,high_male,8.734997641550637
hvd.hnncap,"Gore,",The Tuileries,1831,f,,8.733243089821405
nyp.33433067303812,"Mills, John,",The English fireside,1844,m,,8.731717965509715
mdp.39015050556151,"Herbert, A. P. Sir, (Alan Patrick),",The Singing Swan: | a yachtsman's yarn | $c: [by] A. P. Herbert.,1968,m,,8.727717047413323
njp.32101013572068,"Freytag, Gustav,",Our forefathers,1873,m,,8.727689842839242
uc1.b5302290,"Pickthall, Marmaduke William,",Saïd the fisherman,1903,m,high_male,8.727308996608818
njp.32101064710856,"Philips, F. C.",The fatal phryne,1889,m,high_female,8.727272727272727
uiuo.ark:/13960/t04x5nx9j,"Fisher,",Family failings,1849,f,mixed,8.726891917443602
uc1.b3472662,"Cilento, Diane.",The manipulator / | $c: Diane Cilento.,1967,f,high_male,8.72630807358023
njp.32101074206598,"Hargrave, John,",At Suvla Bay;,1916,m,,8.724480893386843
hvd.hnp65z,"Smallwood, Edward.","Manuella, the executioner's daughter",1837,m,mixed,8.722958827634333
nyp.33433082120555,"Louvet de Couvray, Jean-Baptiste,",The amours of the Chevalier de Faublas,1898,m,,8.722536125837122
uc1.b4103716,"Gregory,",Damer's gold,1913,m,,8.722197993894461
mdp.39015059376254,,The New British novelist;,1830,u,high_male,8.721247138340782
