htid,author,title,year,authgender,female_category,intl_subcity_intensity
nyp.33433075727374,"Fitzgerald, Percy Hetherington,",Never forgotten,1865,m,mixed,27.145587213342605
uiuo.ark:/13960/t7vm4x99r,"Wilkins, W. H.",The holy estate,1895,m,high_female,27.144975047503703
nyp.33433074895420,"Manning, Anne,",Selvaggio,1865,f,,27.140918505821013
njp.32101068169125,"Fullerton, Georgiana,",Ellen Middleton,1844,f,,27.135990075980775
uiuo.ark:/13960/t9x06r476,"Speight, T. W.",In the dead of night,1874,m,,27.135661346946392
uc1.$b164984,"Soler, Bartolomé,","Marcos Villarí, | $c: by Bartolemé Soler, tr. from the Spanish by William Stirling.",1948,u,high_male,27.135121105225277
uc2.ark:/13960/t7cr5pp96,"Villamaria,",Fairy circles,1877,f,mixed,27.13428077197028
inu.39000000559786,"Dark, Eleanor,",Waterway / | $c: Eleanor Dark.,1979,f,,27.13093654669499
uiuo.ark:/13960/t9377zh6g,"MacDonald, George,",St. George and St. Michael,1876,m,,27.13084205566106
mdp.39015063946860,"Oliphant,",The heir presumptive and the heir apparent,1892,f,high_female,27.129246924022148
uiuo.ark:/13960/t9474sq87,"Hardinge, William Money,",Eugenia,1883,m,high_female,27.127082402502072
uiuo.ark:/13960/t9x06cj0n,"Chamier, Frederick,",The life of a sailor,1832,m,high_male,27.126817873558892
mdp.39015019380834,"Clark, Elizabeth.","Stories to tell and how to tell them, | $c: by Elizabeth Clark; illustrated by Gladys M. Rees.",1955,f,,27.12640906624872
uc1.$b87099,"Charques, Dorothy.",The nunnery.,1959,f,,27.12393654321967
uc2.ark:/13960/t3pv6qg0p,Bartimeus.,A tall ship on other naval occasions,1918,u,,27.121755820746053
njp.32101067643930,"Fendall, Percy.",Spiders and flies,1886,m,high_female,27.119869824624843
mdp.39015009047831,"Innes, Michael,",Carson's conspiracy / | $c: by Michael Innes.,1984,m,mixed,27.11669750526384
mdp.39015017688303,"Carter, Lin.",Tower at the edge of time / | $c: Lin Carter.,1970,m,high_male,27.114967462039044
mdp.39015005387413,"Lively, Penelope,",Treasure of time / | $c: Penelope Lively.,1979,f,high_female,27.110957756198545
inu.30000041996913,,The Dedalus book of Portuguese fantasy / | $c: edited by Eugňio Lisboa & Helder Macedo ; translated by Margaret Jull Costa.,1995,u,mixed,27.109821888470194
mdp.39015039496289,"Robins, Elizabeth,","Time is whispering, | $c: by Elizabeth Robins.",1923,f,mixed,27.101739931703612
nyp.33433074942446,"Cartwright, Fairfax L.,",Olga Zanelli,1890,m,high_male,27.099454999849453
mdp.39015043769168,"Jooste, Pamela.",Frieda and Min / | $c: Pamela Jooste.,1999,f,,27.097428366636947
mdp.39015000607815,"Raworth, Tom.",A serial biography.,1969,m,high_male,27.096074940001547
uc2.ark:/13960/t9j38vw47,"Bagnold, Enid.",A diary without dates,1918,f,high_male,27.09374435546993
uiuo.ark:/13960/t6h13j133,"Lefroy, Ella Napier.",A Scots thistle,1892,f,high_female,27.09236412137379
uc2.ark:/13960/t6xw4n10m,"Stables, Gordon,",Shireen and her friends,1895,m,,27.090132741650436
hvd.hwkd36,"Hook, Theodore Edward,",Precepts and practice,1840,m,,27.090074497704865
uiuo.ark:/13960/t78s5cv0s,"Winter, John Strange,",The soul of the bishop,1893,m,mixed,27.086201837347353
