htid,author,title,year,authgender,female_category,trains
uiuo.ark:/13960/t0xp7kn27,"Pardoe,",A life-struggle,1859,f,,1.2670256572695597
mdp.39015001817363,"Carter, Winifred.","Dr. Johnson's ""dear mistress.""",1949,f,,1.264894128361456
mdp.39015017718365,"Pombo, Alvaro.",The resemblance / | $c: Alvaro Pombo ; translated from the Spanish by Margaret Jull Costa.,1989,m,mixed,1.2644303109234134
mdp.39015078794321,"Young, Robyn,",Requiem / | $c: Robyn Young.,2008,f,high_male,1.2642225031605563
mdp.39015065785639,"Howison, John.",Tales of the colonies,1830,m,,1.2639348820748755
inu.32000006175014,"Eaton, Charlotte A.",Continental adventures,1826,f,,1.2629930409083445
mdp.39015022378494,"Ouida,",Folle-Farine,1877,f,,1.2629824066550752
uiuo.ark:/13960/t2c82w79h,"Lee, Holme,",Kathie Brande,1856,f,high_female,1.2619888944977284
uc1.b4949047,"Turner, George.",Beloved son / | $c: by George Turner.,1978,m,high_male,1.2619251930745545
mdp.39015070756120,"Johnston, Jennifer,",Foolish mortals / | $c: Jennifer Johnston.,2007,f,,1.2613362596334556
uiuo.ark:/13960/t19k4xz4w,,"Piso and the praefect, or, The ancients off their stilts",1837,u,high_male,1.2612408087076066
uiuo.ark:/13960/t9w09bq3r,"Caddell, Cecilia Mary,",Home & the homeless,1858,f,,1.2606366214938545
uc2.ark:/13960/t2794d130,"Quiller-Couch, Arthur,",Mortallone and Aunt Trinidad;,1917,m,high_male,1.26031886067175
inu.32000002425082,"Bowen, Marjorie,",The governor of England,1913,f,,1.2601918011921414
uc1.32106012860455,"Evans, Martina,",Midnight feast / | $c: Martina Evans,1996,f,high_female,1.2599536337062796
mdp.39015030743366,"Heath, Catherine.",Joseph and the Goths / | $c: Catherine Heath.,1975,f,,1.2598583919167485
mdp.39015053481142,"MacLaverty, Bernard,",The anatomy school / | $c: Bernard MacLaverty.,2001,m,,1.2596996875944775
mdp.39015039770170,"Mullens, Hannah Catherine.",Faith and victory;,1885,f,high_male,1.2592872434202242
njp.32101063607970,"Moodie, Susanna,","Flora Lyndsay, or, Passages in an eventful life",1854,f,high_female,1.2586532410320956
uc2.ark:/13960/t1xd0w07q,"Craik, Dinah Maria Mulock,",The head of the family,1852,f,,1.2583998187904262
mdp.39015063553161,"Gresley, W.",The siege of Lichfield,1840,u,high_male,1.2578458132602106
inu.39000005781823,"Ćurčija-Prodanović, Nada.","Yugoslav folk-tales, | $c: re-told by Nada Ćurčija-Prodanović; illustrated by Joan Kiddell-Monroe.",1957,f,high_male,1.2576085316162784
uc1.b4091228,"Lewis, Hilda Winifred,",Wife to the Bastard | $c: [by] Hilda Lewis.,1966,f,,1.2574108652872868
uiuo.ark:/13960/t0rr2bv7p,"Keary, Annie,",Clemency Franklyn,1866,f,high_female,1.2567708529703778
mdp.39015013097582,"Farrell, Kathleen.",The cost of living.,1956,f,mixed,1.2556977284428092
uiuo.ark:/13960/t8jd54p32,"Besant, Walter,",Children of Gibeon,1886,m,,1.2552406296286998
uc1.b4084443,"Stephens, James,",Irish fairy tales,1920,m,high_male,1.2552091178390319
nyp.33433074895065,"Marshall, Emma,",In the choir of Westminister abbey,1897,f,mixed,1.2536198272511878
nyp.33433074940713,"Blagden, Isa,",The cost of a secret,1863,u,high_female,1.2532898859506203
uiuo.ark:/13960/t6251zn27,"Cuthbertson, Catherine.",Forest of Montalbano,1810,f,mixed,1.2529915172474282
uc1.b5041314,"Angulo, Jaime de.","Red Indian tales; | $c: written and illustrated by Jaime de Angulo, with a foreword by Carl Carmer.",1954,m,high_male,1.2527246761706712
njp.32101067179281,"Trollope, Frances Milton,",The attractive man,1846,f,high_female,1.2523481527864746
uc1.32106002044300,"White, Patrick,",A fringe of leaves / | $c: Patrick White.,1976,m,high_female,1.2516271152498248
uc1.b3739869,"Baring-Gould, S.",In exitu Israel;,1870,m,,1.251517464926223
uiuo.ark:/13960/t51g1929n,"Peacock, Edward,","Ralf Skirlaugh, the Lincolnshire squire",1870,m,,1.2512199394409549
mdp.39015018936255,"King, Francis Henry,",Visiting cards / | $c: Francis King.,1990,m,,1.2495158126226087
uiuo.ark:/13960/t5s75zw2t,"Marryat, Frederick,",Peter Simple,1837,m,,1.248969600079934
uc1.$b784248,"Henriques, Robert David Quixano,","A stranger here, | a novel.",1953,m,,1.2487512487512487
mdp.39015032027016,"McCrory, Moy.","The water's edge, and other stories / | $c: Moy McCrory.",1985,u,high_female,1.2478786063691725
mdp.39015030224540,"Benzoni, Juliette.",Marianne and the rebels; | $c: translated [from the French] by Anne Carter.,1973,f,high_female,1.2475594618028483
nyp.33433073355822,"Gogolʹ, Nikolaĭ Vasilʹevich,",Home life in Russia,1854,m,high_male,1.2472715933894605
mdp.39015022221298,"(Clive Staples), Lewis, C. S.","The pilgrim's regress, | an allegorical apology for Christianity, reason and romanticism, | $c: by C. S. Lewis ...",1944,m,high_male,1.2471471508923337
uc2.ark:/13960/t3xs5q555,"Trollope, Frances Eleanor,",A charming fellow,1876,f,,1.2466030068064524
uiuo.ark:/13960/t3bz6g13b,"Carey, Rosa Nouchette,",The search for Basil Lyndhurst,1889,f,,1.2458575237335858
uc2.ark:/13960/t38053876,"Ouida,",Pascarel,1873,f,mixed,1.2455006289778177
uc1.32106019992277,"Saramago, José",Death at intervals / | $c: José Saramago ; translated from the Portuguese by Margaret Jull Costa,2008,u,high_male,1.244539582581424
coo.31924014518272,"Wenter, Josef,",Laikan; | the story of a salmon. | $c: Translated from the German by Charles Ashleigh; with a foreword by Major J.S. Egerton.,1934,u,high_male,1.2444776305145915
